Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Kevin Collington,6,MPRO,United States,00:23:32,02:17:30,01:14:31,04:00:28,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
2,Jack Moody,10,MPRO,New Zealand,00:25:24,02:16:03,01:15:32,04:02:35,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
3,Sam Betten,5,MPRO,Australia,00:23:46,02:16:54,01:18:13,04:03:11,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
4,Jack Tierney,12,MPRO,Australia,00:23:18,02:13:45,01:21:55,04:03:42,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
5,Lindsey Lawry,1,MPRO,Australia,00:23:29,02:13:28,01:23:11,04:05:00,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
6,Nick Baldwin,4,MPRO,Seychelles,00:25:27,02:18:53,01:16:23,04:06:03,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
7,Sam Douglas,2,MPRO,Australia,00:23:35,02:19:55,01:21:10,04:09:15,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
8,TJ Tollakson,11,MPRO,United States,00:25:17,02:22:50,01:16:55,04:10:46,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
9,Alexander Polizzi,15,MPRO,Australia,00:23:30,02:21:21,01:24:23,04:15:04,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
10,Pete Jacobs,13,MPRO,Australia,00:23:31,02:21:12,01:24:37,04:15:04,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
1,Yu Shinozaki,300,M35-39,Japan,00:28:11,02:18:01,01:23:23,04:15:11,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
11,Mitchell Kibby,14,MPRO,Australia,00:26:08,02:29:49,01:15:17,04:15:53,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
12,Shen Yen Hsieh,9,MPRO,Taiwan,00:25:24,02:21:30,01:26:17,04:18:58,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
1,Yuki Sakakibara,125,M25-29,Japan,00:28:07,02:23:33,01:23:45,04:21:28,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
1,Ken Koike,472,M40-44,Japan,00:26:20,02:27:54,01:24:38,04:24:20,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
13,Rodrigo Acevedo,3,MPRO,Colombia,00:28:02,02:17:03,01:34:32,04:25:23,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
2,Taiichi Sugiyama,270,M35-39,Japan,00:28:10,02:28:26,01:24:18,04:26:29,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
1,Team 半田消防署,1770,RELAY,Japan,00:32:05,02:30:59,01:19:36,04:27:15,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
3,Takahiro Kondo,376,M35-39,Japan,00:30:55,02:26:06,01:25:44,04:28:47,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
1,Chung Yau Liu,62,M18-24,Hong Kong,00:30:25,02:26:51,01:26:53,04:30:46,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
1,Courtney Gilfillan,22,FPRO,Australia,00:26:58,02:32:58,01:25:39,04:30:53,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
2,Team Tri Funs! Nagoya,1717,RELAY,Japan,00:35:19,01:43:04,02:02:45,04:32:43,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
1,Pipatpon Ingkanont,167,M30-34,Thailand,00:28:12,02:33:33,01:25:02,04:33:19,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
2,Tatsuki Hachiya,68,M18-24,Japan,00:28:06,02:32:36,01:26:00,04:33:56,Ironman 70.3 Japan,06/09/2019,"Centrair Tokoname, Japan"
