Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Soo Man Hong,111,M35-39,Korea Republic of,00:08:37,02:25:03,01:29:51,04:08:13,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
1,Pipatpon Ingkanont,16,M30-34,Thailand,00:07:22,02:36:52,01:22:43,04:11:28,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
1,Richard Platt,260,M40-44,Ireland,00:09:07,02:28:53,01:31:41,04:15:02,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
2,Chan-Il Jeong,115,M35-39,Korea Republic of,00:11:19,02:23:53,01:35:30,04:15:56,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
1,Robert Chatterton,306,M45-49,United Kingdom,00:09:03,02:31:13,01:32:34,04:17:42,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
2,Mark Lee,245,M40-44,Hong Kong,00:09:42,02:35:31,01:28:13,04:18:38,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
3,Jae Hyeong Jeong,228,M40-44,Korea Republic of,00:08:57,02:29:14,01:36:53,04:20:32,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
1,Joseph Kelleher,416,M50-54,United States,00:08:24,02:32:14,01:37:45,04:22:49,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
2,Il Hwan Oh,355,M45-49,Korea Republic of,00:09:11,02:34:17,01:32:46,04:22:54,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
1,Junghyun Cho,459,M55-59,Korea Republic of,00:09:07,02:32:24,01:37:07,04:23:16,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
2,Gi Yeop Lee,64,M30-34,Korea Republic of,00:09:27,02:31:13,01:38:20,04:23:44,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
3,Ralf Eberhardt,312,M45-49,Switzerland,00:08:16,02:39:12,01:32:36,04:24:17,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
1,조봉우 조,38,M25-29,Korea Republic of,00:09:21,02:34:32,01:37:10,04:24:42,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
1,Sakata Akira,1,M18-24,Japan,00:09:15,02:47:51,01:23:40,04:24:46,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
4,영철 김,379,M45-49,Korea Republic of,00:09:06,02:34:42,01:36:10,04:25:07,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
2,Andres I Torres,413,M50-54,Colombia,00:07:58,02:36:50,01:37:43,04:25:42,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
4,Young Hoon Kim,234,M40-44,Korea Republic of,00:09:39,02:43:47,01:29:31,04:27:33,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
5,Minsoo Lim,350,M45-49,Korea Republic of,00:10:58,02:30:07,01:41:36,04:27:48,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
2,Iztok Fister,14,M25-29,Slovenia,00:09:31,02:34:26,01:38:57,04:28:08,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
3,Chang-Ki Ahn,42,M30-34,Korea Republic of,00:09:54,02:35:30,01:36:50,04:28:08,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
3,Dave Robati,151,M35-39,New Zealand,00:07:36,02:38:39,01:37:34,04:28:34,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
5,Go Aono,199,M40-44,Japan,00:08:41,02:41:32,01:32:59,04:28:50,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
3,윤성 조,39,M25-29,Korea Republic of,00:09:44,02:35:46,01:39:28,04:29:00,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
4,佐藤 俊,194,M35-39,Japan,00:08:41,02:42:58,01:33:43,04:29:27,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
6,Siu Yuen Wong,271,M40-44,Hong Kong,00:10:08,02:40:15,01:33:40,04:29:37,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
5,Myeung Jin Oh,146,M35-39,Korea Republic of,00:09:39,02:40:14,01:36:07,04:30:37,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
4,Hyechang Rhim,23,M25-29,Korea Republic of,00:09:38,02:43:08,01:33:33,04:30:45,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
7,Martin Drueke,214,M40-44,Germany,00:11:21,02:40:25,01:31:43,04:31:16,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
3,Jae Ho Lee,425,M50-54,Korea Republic of,00:11:52,02:41:34,01:31:24,04:31:27,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
4,David Perez Barbosa,72,M30-34,Colombia,00:10:10,02:43:54,01:31:23,04:31:57,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
6,Hun Lee,133,M35-39,Korea Republic of,00:10:00,02:46:04,01:32:02,04:32:42,Ironman 70.3 Jeju Korea,07/08/2018,"Jeju, Korea
"
