Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Team 鐵人私塾閃耀跑團聯隊,3024,MRELAY,Taiwan,00:25:38,02:31:34,01:15:33,04:16:12,Ironman 70.3 Kenting,04/25/2021,"Kenting, Taiwan"
2,Team 海軍官校,3021,MRELAY,Taiwan,00:27:32,02:24:51,01:20:58,04:17:07,Ironman 70.3 Kenting,04/25/2021,"Kenting, Taiwan"
1,Chih-Yuan Wang,3,M40-44,Taiwan,00:35:05,02:23:38,01:31:34,04:37:02,Ironman 70.3 Kenting,04/25/2021,"Kenting, Taiwan"
3,Team 南投鐵人maicoin,3019,MRELAY,Taiwan,00:35:48,02:26:20,01:32:47,04:39:35,Ironman 70.3 Kenting,04/25/2021,"Kenting, Taiwan"
1,Chang Tai Li,9,M25-29,Taiwan,00:34:31,02:30:08,01:30:59,04:41:15,Ironman 70.3 Kenting,04/25/2021,"Kenting, Taiwan"
2,Yu Jen Lee,1150,M40-44,Taiwan,00:36:48,02:30:56,01:33:15,04:48:18,Ironman 70.3 Kenting,04/25/2021,"Kenting, Taiwan"
3,Jen Mao Hsu,4,M40-44,Taiwan,00:37:56,02:26:59,01:37:22,04:48:29,Ironman 70.3 Kenting,04/25/2021,"Kenting, Taiwan"
4,Team Xterra Taiwan,3012,MRELAY,Australia,00:36:21,02:38:22,01:30:49,04:49:35,Ironman 70.3 Kenting,04/25/2021,"Kenting, Taiwan"
1,Team Maicoin-Ifb,3029,XRELAY,Taiwan,00:34:22,02:39:30,01:31:53,04:50:31,Ironman 70.3 Kenting,04/25/2021,"Kenting, Taiwan"
1,Yueh Kang Lin,15,M45-49,Taiwan,00:37:23,02:28:23,01:37:40,04:50:40,Ironman 70.3 Kenting,04/25/2021,"Kenting, Taiwan"
1,Chien-Hsu Chen,1304,M50-54,Taiwan,00:39:27,02:31:00,01:37:44,04:55:20,Ironman 70.3 Kenting,04/25/2021,"Kenting, Taiwan"
1,Chun Yi Chen,1095,M30-34,Taiwan,00:39:34,02:32:36,01:38:09,04:57:44,Ironman 70.3 Kenting,04/25/2021,"Kenting, Taiwan"
1,Chia Wei Chiang,1060,M18-24,Taiwan,00:27:59,02:36:48,01:48:05,04:58:24,Ironman 70.3 Kenting,04/25/2021,"Kenting, Taiwan"
2,San Luis Wong Ting,1074,M25-29,Taiwan,00:37:16,02:26:56,01:49:08,05:01:06,Ironman 70.3 Kenting,04/25/2021,"Kenting, Taiwan"
