Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jan Frodeno,1,M PRO,GER,00:22:40,02:14:56,01:12:08,03:53:05,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
2,Patrick Dirksmeier,28,M PRO,GER,00:22:41,02:23:14,01:16:39,04:05:56,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
3,Lukasz Wojt,24,M PRO,GER,00:21:57,02:19:04,01:21:02,04:06:24,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
4,Dominik Sowieja,22,M PRO,GER,00:26:20,02:24:19,01:15:31,04:09:44,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
5,Felix Hentschel,29,M PRO,GER,00:27:50,02:22:35,01:16:32,04:10:46,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
6,Markus Rolli,2,M PRO,GER,00:22:44,02:21:36,01:22:53,04:11:09,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
1,Uwe Heller,3038,MTR,GER,00:24:21,02:26:38,01:18:41,04:12:14,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
7,Marc Duelsen,26,M PRO,GER,00:26:18,02:20:28,01:23:43,04:14:23,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
1,Vincent Van De Walle,283,M 25,BEL,00:26:33,02:25:40,01:18:51,04:15:37,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
1,Thomas Heuschmidt,1578,M 35,GER,00:27:54,02:18:55,01:24:49,04:16:27,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
2,Dieter Claus,3001,MTR,,00:30:11,02:24:24,01:21:26,04:18:25,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
2,Elias Schipperges,443,M 25,GER,00:26:09,02:24:59,01:22:50,04:18:41,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
2,Benjamin Pernet,469,M 35,FRA,00:25:04,02:26:04,01:23:42,04:19:07,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
1,Joel Junod,216,M 30,SUI,00:28:17,02:25:27,01:22:27,04:20:22,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
8,Philipp Fahrenholz,12,M PRO,GER,00:27:53,02:25:16,01:23:55,04:21:05,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
2,Leon Kriszeleit,294,M 30,GER,00:28:06,02:30:07,01:19:26,04:21:44,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
1,Niklas Hempfling,438,M 18,GER,00:26:55,02:27:13,01:23:01,04:22:02,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
3,Julien Viennot,1456,M 30,FRA,00:33:12,02:22:15,01:21:47,04:23:28,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
1,Peter Johan Dillo,2098,M 45,NED,00:27:15,02:27:37,01:23:19,04:23:35,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
2,Julius Ott,1026,M 18,GER,00:26:01,02:27:05,01:26:11,04:23:36,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
3,Ronny Seidel,223,M 35,GER,00:28:12,02:28:40,01:22:35,04:23:54,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
4,Jaryd De Mooij,214,M 30,BEL,00:28:07,02:26:06,01:24:25,04:23:56,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
1,Christoph Heintz,3051,MTR,,00:28:23,02:33:35,01:19:07,04:24:12,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
9,Benjamin Dicke,25,M PRO,GER,00:29:51,02:23:10,01:26:39,04:24:18,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
4,Georg Weiler,479,M 35,GER,00:27:47,02:26:38,01:26:00,04:24:49,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
5,Till Schaefer,218,M 30,GER,00:26:58,02:29:21,01:23:39,04:24:57,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
5,Christian Burkhardt,1516,M 35,GER,00:28:25,02:28:25,01:23:25,04:25:09,Ironman 70.3 Kraichgau,06/02/2019,Kraichgau Germany
