Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jan Frodeno,2,MPRO,GER,00:23:29,02:11:02,01:11:06,03:49:05,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
2,Patrick Lange,1,MPRO,GER,00:25:24,02:14:18,01:12:19,03:55:34,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
3,Nicholas Kastelein,32,MPRO,AUS,00:23:31,02:15:37,01:14:32,03:57:12,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
4,Andi Boecherer,4,MPRO,GER,00:24:33,02:14:36,01:15:44,03:58:43,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
5,Marc Duelsen,10,MPRO,GER,00:25:44,02:14:03,01:17:09,04:00:17,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
6,Markus Rolli,3,MPRO,GER,00:25:23,02:14:11,01:17:18,04:00:20,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
7,Julian Mutterer,21,MPRO,GER,00:25:39,02:14:09,01:18:57,04:01:57,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
8,Bas Diederen,8,MPRO,NED,00:24:35,02:21:21,01:14:57,04:04:34,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
9,Tom Lecomte,17,MPRO,FRA,00:26:30,02:16:21,01:20:31,04:06:37,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
10,Tobias Drachler,9,MPRO,GER,00:25:31,02:20:27,01:17:10,04:06:48,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
11,Stenn Goetstouwers,14,MPRO,BEL,00:25:27,02:20:46,01:18:52,04:09:09,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
-,Simon Stützel,2678,RELAY,,00:23:38,02:25:04,01:19:09,04:10:22,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
12,Philipp Mock,19,MPRO,GER,00:29:06,02:18:00,01:21:14,04:12:45,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
13,David Berthou,6,MPRO,FRA,00:27:02,02:21:43,01:20:27,04:12:55,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
14,Vincent Morizot,33,MPRO,FRA,00:26:28,02:15:52,01:27:39,04:13:38,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
1,Roy Lagerburg,1082,M30,NED,00:27:30,02:21:41,01:22:15,04:15:18,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
1,Ralf Preissl,126,M40,GER,00:28:00,02:23:11,01:20:02,04:15:40,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
15,Simon Schwarz,25,MPRO,GER,00:30:00,02:25:51,01:16:22,04:15:45,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
16,Richard Westover,30,MPRO,GBR,00:29:13,02:23:02,01:20:30,04:16:52,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
17,Philipp Fahrenholz,12,MPRO,GER,00:29:04,02:23:32,01:21:27,04:17:39,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
18,Christian Jais,16,MPRO,GER,00:29:15,02:23:11,01:22:16,04:18:16,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
1,Matt Lewis,339,M25,AUS,00:26:40,02:25:41,01:23:18,04:19:31,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
19,Felix Hentschel,15,MPRO,GER,00:29:02,02:23:25,01:23:24,04:19:41,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
1,Achim Groenhagen,135,M50,GER,00:29:48,02:22:33,01:22:47,04:20:32,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
1,Laura Philipp,51,FPRO,GER,00:28:31,02:27:27,01:21:12,04:20:49,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
2,Daniel Wiesner,1745,M40,GER,00:27:48,02:20:26,01:28:09,04:21:33,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
2,Wouter Gryp,192,M30,BEL,00:28:50,02:25:08,01:22:36,04:21:38,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
1,Koen Lintermans,120,M35,BEL,00:29:45,02:23:24,01:24:00,04:21:38,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
20,Stefan Schumacher,24,MPRO,GER,00:29:14,02:17:11,01:29:58,04:21:46,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
2,Jens Müller,217,M35,GER,00:27:32,02:25:55,01:23:14,04:21:53,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
3,Felix Hohm,193,M30,GER,00:27:40,02:27:33,01:22:39,04:22:10,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
-,Thorsten Metzger,2676,RELAY,,00:26:51,02:25:17,01:27:23,04:22:10,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
2,Frank Horlacher,2099,M50,GER,00:28:17,02:25:46,01:23:58,04:22:35,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
2,Carsten Speike,936,M25,GER,00:26:10,02:27:27,01:23:32,04:22:51,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
3,Christopher Gassert,117,M35,GER,00:27:25,02:25:03,01:24:40,04:22:56,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
4,Tjebbe Venema,1181,M30,NED,00:28:05,02:22:47,01:28:39,04:23:36,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
21,Hans Christian Tungesvik,28,MPRO,NOR,00:28:59,02:29:03,01:23:02,04:24:50,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
3,Michiel De Wilde,861,M25,NED,00:28:21,02:24:56,01:27:54,04:25:05,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
22,Fabian Rahn,23,MPRO,GER,00:29:58,02:22:03,01:29:41,04:25:34,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
5,Daniel Lunkenheimer,110,M30,GER,00:25:44,02:29:53,01:25:22,04:25:36,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
6,David Albert,960,M30,GER,00:28:47,02:33:12,01:19:18,04:26:01,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
4,Sven Abbing,202,M35,GER,00:29:22,02:30:37,01:22:02,04:26:40,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
7,Jan Simon Seewald,112,M30,GER,00:27:53,02:25:11,01:28:40,04:27:04,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
5,Micha? Miga?a,1361,M35,POL,00:28:07,02:33:20,01:21:19,04:27:11,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
3,Jörg Schuhmachers,1694,M40,GER,00:28:05,02:27:00,01:27:33,04:27:20,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
8,Patrick Feil,1004,M30,GER,00:27:53,02:25:16,01:29:28,04:28:12,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
1,Philipp Becker,128,M45,GER,00:29:36,02:22:55,01:30:38,04:28:24,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
9,Christian Kaiser,1058,M30,GER,00:31:39,02:31:53,01:20:10,04:28:28,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
4,Tim Heinzemann,879,M25,GER,00:29:43,02:30:38,01:24:07,04:28:42,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
-,Sven Adam,2620,RELAY,,00:25:07,02:35:10,01:26:05,04:29:02,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
6,Ronny Seidel,1436,M35,GER,00:28:03,02:33:01,01:22:31,04:29:11,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
4,Moritz Gmelin,122,M40,GER,00:27:23,02:33:57,01:23:20,04:29:31,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
10,Nico Muschiol,346,M30,GER,00:33:04,02:28:51,01:23:26,04:29:47,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
11,Simon Schlichenmaier,1137,M30,GER,00:29:10,02:34:38,01:22:28,04:30:28,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
12,Julian Hegg,1035,M30,SUI,00:28:08,02:22:13,01:35:29,04:30:47,Ironman 70.3 Kraichgau,06/03/2018,"Kraichgau, Germany"
