Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Nicholas Marcantonio,2287,M25-29,USA,00:29:25,02:18:06,01:22:39,04:16:40,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
2,Zach Looney,65,M25-29,USA,00:30:16,02:21:21,01:22:09,04:18:45,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
3,Nicolas Proulx-Begin,985,M25-29,CAN,00:22:50,02:25:32,01:24:10,04:19:13,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
1,Matt Schafer,127,M18-24,USA,00:25:09,02:31:31,01:21:40,04:24:18,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
1,Joe Klinedinst,43,M40-44,USA,00:30:08,02:23:35,01:23:38,04:24:42,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
1,Colin Martin,70,M30-34,USA,00:27:48,02:27:54,01:28:27,04:28:56,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
4,Riley Carpenter,867,M25-29,USA,00:29:56,02:31:31,01:22:41,04:29:16,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
1,Arthur Mathisen,44,M45-49,USA,00:29:29,02:28:20,01:29:25,04:32:48,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
2,Timothy Walton,46,M45-49,GBR,00:33:27,02:27:16,01:27:12,04:33:56,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
1,Brenton Towne,2313,M35-39,USA,00:34:47,02:28:11,01:24:26,04:35:25,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
5,Samuel Fradette,41,M25-29,CAN,00:29:27,02:32:09,01:27:21,04:35:35,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
2,James Mellstrom,1178,M30-34,USA,00:29:06,02:36:04,01:25:35,04:36:14,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
3,Paul Jung,69,M30-34,CAN,00:30:17,02:32:43,01:27:39,04:38:30,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
2,Derek Tietjen,1663,M40-44,USA,00:34:17,02:31:29,01:25:43,04:38:54,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
-,Team Brookline Rowing Has Beens,4009,URELAY,USA,00:30:29,02:47:27,01:17:03,04:40:17,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
1,Rich Burke,2343,M50-54,USA,00:33:09,02:37:16,01:23:55,04:40:44,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
4,Drew Davis,2294,M30-34,USA,00:31:21,02:35:43,01:27:32,04:41:09,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
6,Matthew Morabito,2289,M25-29,USA,00:31:55,02:31:38,01:29:40,04:41:09,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
7,Martin Degallaix,191,M25-29,BEL,00:30:31,02:36:14,01:30:41,04:42:54,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
2,Matthew Musiak,1396,M35-39,USA,00:26:16,02:40:57,01:28:27,04:43:31,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
5,Charles-A Beaulne,1040,M30-34,CAN,00:36:00,02:34:07,01:31:43,04:46:12,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
8,William Duggan,894,M25-29,CAN,00:29:07,02:38:42,01:32:18,04:46:33,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
6,John Evans,1091,M30-34,USA,00:33:32,02:39:23,01:25:17,04:46:51,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
9,Richard Sheldon,67,M25-29,GBR,00:32:39,02:39:53,01:29:44,04:47:02,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
2,Mike Marshall,2283,M18-24,CAN,00:28:54,02:42:42,01:28:56,04:48:21,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
3,Yves St-Louis,1653,M40-44,CAN,00:32:12,02:38:50,01:30:18,04:48:23,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
10,Connor Mangan,66,M25-29,USA,00:31:34,02:35:30,01:33:54,04:48:34,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
3,Eric Nielsen,1402,M35-39,CAN,00:35:03,02:39:10,01:26:42,04:49:22,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
4,Kevin Van Geest,148,M40-44,CAN,00:30:04,02:39:35,01:32:41,04:50:07,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
7,Andrew Hakanson,1124,M30-34,USA,00:39:56,02:35:36,01:27:17,04:51:26,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
5,Bart Rolet,146,M40-44,CAN,00:33:08,02:34:46,01:36:59,04:52:00,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
6,Robert Scheungrab,1641,M40-44,USA,00:34:05,02:36:33,01:34:54,04:52:23,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
3,Shawn Noftall,88,M45-49,CAN,00:36:10,02:33:39,01:36:05,04:52:45,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
4,Greg Galloway,2306,M35-39,CAN,00:32:55,02:40:41,01:28:54,04:52:48,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
8,Jake Bond,1048,M30-34,USA,00:28:26,02:40:54,01:36:59,04:53:22,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
4,Dwayne Smith,2337,M45-49,USA,00:32:30,02:44:17,01:27:55,04:53:24,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
3,Michael Gingras,805,M18-24,USA,00:31:37,02:42:46,01:32:38,04:53:44,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
5,Leander Schneider,2336,M45-49,DEU,00:30:57,02:36:50,01:36:41,04:53:48,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
5,John McEntire,74,M35-39,USA,00:32:31,02:38:16,01:34:41,04:55:08,Ironman 70.3 Lake Placid,09/08/2019,"Lake Placid, NY, USA
"
