Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Rob Shannon,1542,M35-39,,00:28:42,02:16:59,01:42:18,04:31:30,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
2,Cameron Storm,1517,M35-39,,00:29:26,02:24:24,01:33:10,04:31:32,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
1,Antoine Loucheux,1307,M30-34,,00:29:37,02:21:03,01:40:22,04:34:50,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
2,Colin Mitchell,1281,M30-34,,00:34:34,02:22:43,01:36:34,04:37:30,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
3,Michael Gee,1494,M35-39,,00:29:26,02:24:34,01:41:02,04:40:50,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
1,Loh Chwan Chyin,1254,M25-29,,00:30:58,02:23:47,01:43:43,04:41:58,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
2,Gregory Britton,1224,M25-29,,00:32:17,02:27:12,01:39:32,04:43:22,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
3,David Halpin,1342,M30-34,,00:30:05,02:24:41,01:46:07,04:44:22,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
4,Jamie Edmunds,1371,M30-34,,00:29:26,02:29:14,01:40:30,04:44:39,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
5,Aldrian Yeo,1319,M30-34,,00:27:22,02:27:35,01:47:50,04:46:54,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
4,Frank Bittner,1544,M35-39,,00:29:18,02:21:33,01:57:14,04:53:01,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
5,Vianney Dujardin,1489,M35-39,,00:34:27,02:28:30,01:46:03,04:54:35,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
6,Dave Walsh,1346,M30-34,,00:29:32,02:28:34,01:52:01,04:56:01,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
1,Team Tri Grils Tri,1897,FRELAY,,00:47:53,03:06:30,00:59:18,04:56:32,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
6,Thomas Dekeyser,1520,M35-39,,00:30:22,02:31:15,01:53:15,04:59:57,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
7,Anthony Hughes,1532,M35-39,,00:30:33,02:41:49,01:42:12,05:00:00,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
1,Jeremy Snoad,1863,M55-59,,00:37:09,02:26:19,01:52:45,05:02:00,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
8,Ryan Hoa,1443,M35-39,,00:43:54,02:33:56,01:40:53,05:04:10,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
9,Jerome Sebart,1469,M35-39,,00:34:27,02:30:12,01:53:56,05:04:26,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
1,Hoong Soon Yow,1581,M40-44,,00:29:28,02:39:23,01:48:18,05:04:28,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
1,Gavin Mortlock,1814,M50-54,,00:29:29,02:32:34,01:58:51,05:05:01,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
1,Team Ssc,1895,MRELAY,,00:30:43,02:35:22,01:58:10,05:06:25,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
10,Simon Lorelli,1490,M35-39,,00:35:45,02:38:41,01:46:35,05:08:20,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
2,Jason Peter Dubois,1684,M40-44,,00:33:05,02:31:42,01:57:25,05:09:22,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
7,Mithun Liyanage,1301,M30-34,,00:34:21,02:41:06,01:50:44,05:10:06,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
3,Chris Manley,1226,M25-29,,00:26:53,02:36:29,02:01:45,05:10:15,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
11,Christian Bartoelke,1529,M35-39,,00:35:41,02:33:54,01:53:29,05:11:13,Ironman 70.3 Langkawi,11/11/2017,"Langkawi, Malaysia"
