Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Frederic Funk,11,M PRO,GER,00:00:00,00:02:45,20:25:00,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
2,Pieter Heemeryck,18,M PRO,BEL,00:00:00,00:02:46,20:23:21,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
3,Kenneth Vandendriessche,15,M PRO,BEL,00:00:00,00:02:54,20:18:51,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
4,Kévin Maurel,9,M PRO,FRA,00:00:00,00:02:57,20:16:13,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
5,Filipe Azevedo,7,M PRO,POR,00:00:00,00:03:08,20:15:55,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
6,Adrian Haller,30,M PRO,SUI,00:00:00,00:03:04,20:15:26,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
7,Pierre Balty,23,M PRO,BEL,00:00:00,00:02:56,20:13:04,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
8,Jan Stratmann,17,M PRO,GER,00:00:00,00:02:46,20:10:57,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
9,Fabian Dutli,28,M PRO,SUI,00:00:00,00:03:08,20:08:47,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
10,Per Van Vlerken,16,M PRO,GER,00:00:00,00:03:11,20:08:19,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
11,Nicholas Ward Muñoz,4,M PRO,DEN,00:00:00,00:03:43,20:07:54,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
12,Chris Mintern,42,M PRO,IRL,00:00:00,00:03:01,20:06:46,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
13,Tim Meyer,36,M PRO,GER,00:00:00,00:03:19,20:04:06,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
14,Harry Palmer,37,M PRO,GBR,00:00:00,00:03:05,20:01:57,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
1,Marian Borsinski,92,M 25,DEN,00:00:00,00:03:30,20:00:58,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
15,Jeremy Jurkiewicz,34,M PRO,FRA,00:00:00,00:03:04,19:59:38,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
1,Luis Hernandez Cano,465,M 30,ESP,00:00:00,00:03:12,19:58:56,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
16,Ashley Hurdman,33,M PRO,GBR,00:00:00,00:03:54,19:58:06,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
1,Oliver Martinussen,302,M 18,DEN,00:00:00,00:03:42,19:58:03,00:00:00,Ironman 70.3 Lanzarote,10/05/2019,"Lanzarote, Canary Islands, Spain"
