Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Tom Lecomte,19,MPRO,FRA,00:26:02,02:08:59,01:12:48,03:51:41,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
2,Emilio Aguayo Muñoz,2,MPRO,ESP,00:22:53,02:12:25,01:18:39,03:57:46,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
3,George Goodwin,6,MPRO,GBR,00:25:13,02:14:13,01:17:41,04:01:11,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
4,Andreas Giglmayr,7,MPRO,AUT,00:24:33,02:15:29,01:17:02,04:01:57,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
5,Manuel Küng,10,MPRO,CHE,00:22:50,02:12:02,01:23:56,04:03:02,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
6,Nicholas Ward Muñoz,11,MPRO,DNK,00:28:33,02:11:57,01:20:49,04:05:20,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
7,Nils Frommhold,9,MPRO,DEU,00:22:54,02:06:33,01:33:40,04:06:56,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
1,Sybren Baelde,243,M18-24,BEL,00:25:14,02:21:42,01:19:19,04:10:49,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
8,Romain Garcin,17,MPRO,FRA,00:31:09,02:13:16,01:23:40,04:11:55,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
2,Clément Mignon,236,M18-24,FRA,00:23:38,02:22:41,01:20:32,04:12:26,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
3,Finley Thompson,242,M18-24,GBR,00:23:29,02:17:01,01:28:28,04:14:01,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
9,Chris Standidge,16,MPRO,GBR,00:24:38,02:17:44,01:30:35,04:17:25,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
10,Erwan Jacobi,18,MPRO,FRA,00:27:45,02:19:27,01:26:26,04:18:31,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
1,Mathieu Paolillo,43,M30-34,FRA,00:25:36,02:19:54,01:28:44,04:18:52,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
2,Filip VAN Craenenbroeck,118,M30-34,BEL,00:24:47,02:22:44,01:27:06,04:19:22,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
1,Kevin Callebout,259,M25-29,FRA,00:25:56,02:23:10,01:26:29,04:19:45,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
3,Luis Hernández Cano,41,M30-34,ESP,00:27:35,02:17:32,01:29:49,04:20:03,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
11,Fred Limousin,15,MPRO,FRA,00:26:33,02:22:59,01:26:20,04:20:24,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
1,Tom Ward,49,M40-44,GBR,00:25:22,02:26:33,01:25:12,04:22:09,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
12,Davide Rossetti,14,MPRO,ITA,00:27:57,02:21:52,01:27:15,04:22:09,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
4,Jordi Pascual Sales,353,M30-34,ESP,00:25:30,02:27:19,01:25:28,04:23:00,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
5,Jacob Ferrer Tejera,83,M30-34,ESP,00:29:12,02:23:51,01:28:15,04:26:27,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
2,German Alcala Ordoñez,457,M40-44,ESP,00:26:49,02:31:44,01:24:57,04:27:59,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
1,Lucy Gossage,24,FPRO,GBR,00:29:29,02:26:30,01:27:46,04:28:01,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
6,Marco Tosi,346,M30-34,ITA,00:29:56,02:31:05,01:24:18,04:30:04,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
7,Simon Schlichenmaier,340,M30-34,DEU,00:28:24,02:32:16,01:24:52,04:30:14,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
2,Jenny Schulz,28,FPRO,DEU,00:29:31,02:28:56,01:27:49,04:30:40,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
2,Benoît Guimard,281,M25-29,FRA,00:28:45,02:23:57,01:32:27,04:31:19,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
13,Alain Djouad Guidert,22,MPRO,MAR,00:31:46,02:26:19,01:29:11,04:31:47,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
8,Alejandro Diaz Santana,81,M30-34,ESP,00:29:43,02:30:34,01:25:57,04:31:49,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
4,Alexander Jones,249,M18-24,GBR,00:26:00,02:21:02,01:38:54,04:32:09,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
3,Anna Noguera,29,FPRO,ESP,00:28:24,02:31:57,01:27:28,04:32:10,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
3,Pablo Eduardo López Manrique,285,M25-29,ESP,00:28:40,02:30:17,01:25:48,04:32:10,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
9,Jorn DE Bilde,329,M30-34,BEL,00:29:02,02:27:12,01:30:16,04:32:16,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
4,Iensen VAN Belleghem,73,M25-29,BEL,00:29:40,02:28:39,01:28:57,04:32:28,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
1,Marc-Olivier Demeure,90,M35-39,FRA,00:29:24,02:24:49,01:33:40,04:33:01,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
2,Olivier Cornelis,46,M35-39,BEL,00:29:28,02:29:14,01:30:09,04:34:43,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
3,Tom Williams,422,M35-39,GBR,00:28:59,02:28:08,01:33:01,04:35:03,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
5,Ronny Stiller,77,M25-29,DEU,00:29:20,02:19:56,01:40:52,04:35:12,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
4,Jeanne Collonge,31,FPRO,FRA,00:29:35,02:34:09,01:27:08,04:35:29,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
5,Bea Weiss,34,FPRO,AUT,00:25:23,02:27:44,01:38:20,04:35:39,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
4,Pierre Collet,374,M35-39,FRA,00:28:13,02:25:31,01:36:51,04:35:46,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
10,Cyril Pelizzari,42,M30-34,FRA,00:29:00,02:25:30,01:36:12,04:35:54,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
5,Zachary Pywell,72,M18-24,GBR,00:25:59,02:31:20,01:33:43,04:35:59,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
5,David Montañez Llados,393,M35-39,ESP,00:25:50,02:34:30,01:30:53,04:36:52,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
6,Julien Bauchet,385,M35-39,FRA,00:28:41,02:30:47,01:30:52,04:36:55,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
6,Camilla Pedersen,25,FPRO,DNK,00:25:31,02:28:38,01:38:44,04:37:34,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
3,Néstor González Báez,490,M40-44,ESP,00:30:58,02:29:20,01:31:42,04:38:06,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
1,Walter Reichmuth,53,M45-49,CHE,00:30:34,02:28:30,01:34:00,04:39:25,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
4,Fran Cuevas Egea,477,M40-44,ESP,00:30:47,02:33:12,01:30:11,04:39:42,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
6,Jaume Mas Riera,250,M25-29,ESP,00:28:16,02:31:50,01:34:27,04:39:45,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
7,Phil Murphy,48,M35-39,GBR,00:28:17,02:20:34,01:46:24,04:40:03,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
8,Phil Whitehead,123,M35-39,GBR,00:29:25,02:29:58,01:35:22,04:40:11,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
9,Richard Shephard,658,M35-39,GBR,00:28:10,02:29:40,01:38:01,04:41:07,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
10,David Fraga Paredes,389,M35-39,ESP,00:30:23,02:29:38,01:36:23,04:41:18,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
7,Marcos Borges Pintado,74,M25-29,ESP,00:29:44,02:34:51,01:32:03,04:41:27,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
2,Filippo Sensoli,52,M45-49,ITA,00:31:39,02:27:57,01:36:23,04:41:45,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
11,Cédric Dutheil,358,M35-39,FRA,00:30:55,02:29:12,01:36:57,04:41:52,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
11,Damian Martínez Baz,322,M30-34,ESP,00:26:50,02:33:16,01:37:22,04:42:57,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
8,Martin Stodola,292,M25-29,SVK,00:29:31,02:31:26,01:38:01,04:43:53,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
12,Eduardo Rodriguez Martin,367,M35-39,ESP,00:29:33,02:34:58,01:34:34,04:44:56,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
3,Hugo Debusscher,137,M45-49,BEL,00:31:32,02:35:55,01:31:38,04:45:34,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
13,Alessio Senesi,364,M35-39,ITA,00:28:33,02:36:46,01:35:46,04:46:12,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
7,Saleta Castro Nogueira,27,FPRO,ESP,00:27:58,02:39:47,01:33:48,04:46:12,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
14,Héctor Castro Pérez,414,M35-39,ESP,00:29:16,02:36:43,01:34:43,04:46:35,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
1,Alessandro Turci,598,M50-54,ITA,00:30:25,02:32:10,01:37:13,04:46:36,Ironman 70.3 Lanzarote,10/06/2018,"Lanzarote, Canary Islands, Spain"
