Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Mika Noodt,20,MPRO,DEU,00:25:04,02:06:14,01:12:42,03:47:13,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
2,Rodolphe Von Berg,1,MPRO,USA,00:25:02,02:05:22,01:16:06,03:49:41,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
3,Yvan Jarrige,3,MPRO,FRA,00:25:12,02:08:35,01:14:31,03:51:30,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
4,Emmanuel Lejeune,22,MPRO,BEL,00:25:48,02:12:13,01:12:54,03:54:27,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
5,Sybren Baelde,7,MPRO,BEL,00:25:14,02:11:08,01:14:41,03:54:37,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
6,Arnaud Guilloux,29,MPRO,FRA,00:25:49,02:07:45,01:17:33,03:55:01,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
7,Bertrand Billard,8,MPRO,FRA,00:25:16,02:08:20,01:19:03,03:56:11,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
8,Franck Guyon,17,MPRO,FRA,00:29:17,02:14:29,01:13:07,04:00:33,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
9,Pacome Thibault-Lopez,9,MPRO,FRA,00:27:19,02:10:55,01:19:10,04:01:03,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
10,Vincent Terrier,11,MPRO,FRA,00:26:25,02:11:23,01:19:41,04:01:16,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
11,Antoine Perche,12,MPRO,FRA,00:27:57,02:13:18,01:19:24,04:04:29,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
1,Victor Lemasson,136,M30-34,FRA,00:30:30,02:15:19,01:14:16,04:05:18,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
12,Binjamin Chiron,19,MPRO,FRA,00:30:57,02:16:40,01:15:58,04:07:07,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
1,Vincent Clavel,501,M25-29,FRA,00:26:39,02:16:39,01:21:48,04:10:01,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
13,Vincent van de Walle,14,MPRO,BEL,00:26:45,02:22:11,01:18:30,04:12:17,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
2,Arthur Reynes,1021,M25-29,FRA,00:27:41,02:17:16,01:22:53,04:12:43,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
3,Julen Lopetegui Garcia,184,M25-29,ESP,00:27:17,02:16:05,01:24:20,04:13:07,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
1,Pierre Massonneau,1399,M35-39,FRA,00:25:39,02:20:33,01:22:33,04:13:33,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
2,Maarten Vermeulen,109,M35-39,BEL,00:28:37,02:21:11,01:18:33,04:13:34,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
2,Maxime Toin,1237,M30-34,FRA,00:25:42,02:21:02,01:19:44,04:13:35,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
3,Ludovic Lemarechal,372,M35-39,FRA,00:28:36,02:19:57,01:21:47,04:15:10,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
3,Joseph Baghioni,115,M30-34,FRA,00:27:34,02:20:28,01:24:33,04:18:38,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
4,Boris Chenal,155,M25-29,FRA,00:30:20,02:20:39,01:22:58,04:19:46,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
1,Christophe Noclain-Argouet,1099,M45-49,FRA,00:30:03,02:19:20,01:24:55,04:19:50,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
5,Benjamin Jouglas,662,M25-29,FRA,00:32:00,02:20:24,01:20:26,04:19:56,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
2,Yannick Antoine,102,M45-49,BEL,00:29:36,02:21:25,01:24:04,04:20:06,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
14,Guillaume Doree,15,MPRO,FRA,00:25:17,02:22:25,01:28:42,04:20:30,Ironman 70.3 Les Sables d'Olonne-VendÃ©e,07/04/2021,"VendÄ—e, France"
