Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Julien Cougnaud,2950,MRELAY,FRA,00:22:21,02:07:18,01:11:57,03:45:51,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
1,Frederik VAN Lierde,1,M PRO,BEL,00:25:54,02:07:19,01:19:21,03:56:45,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
2,Denis Chevrot,2,M PRO,FRA,00:25:50,02:13:59,01:15:02,03:58:57,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
3,Arthur Horseau,11,M PRO,FRA,00:27:25,02:12:05,01:18:48,04:02:44,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
4,Andrey Bryukhankov,7,M PRO,RUS,00:24:35,02:19:26,01:15:38,04:04:00,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
5,Arnaud Chivot,22,M PRO,FRA,00:25:51,02:18:12,01:16:47,04:05:18,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
1,Guillaume Belgy,250,M 30,FRA,00:27:27,02:15:42,01:17:49,04:06:15,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
1,Franck Guyon,877,M 25,FRA,00:28:18,02:16:55,01:16:41,04:06:44,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
6,Sébastien Fraysse,3,M PRO,FRA,00:24:38,02:13:11,01:25:25,04:07:56,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
7,Antoine Mechin,5,M PRO,FRA,00:29:18,02:19:38,01:14:49,04:08:27,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
8,Quentin Kurc Boucau,13,M PRO,FRA,00:29:17,02:14:27,01:25:14,04:14:16,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
2,Valentin Andre,1141,M 30,FRA,00:30:38,02:20:58,01:17:51,04:14:32,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
1,Stephane Mettier,298,M 45,FRA,00:26:48,02:19:22,01:23:13,04:14:50,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
1,Ludovic LE Marechal Regnier,1436,M 35,FRA,00:31:25,02:17:42,01:20:35,04:15:15,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
9,Fergus Roberts,18,M PRO,GBR,00:25:56,02:18:34,01:26:05,04:15:45,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
1,François Fouss,278,M 40,BEL,00:28:44,02:19:14,01:24:27,04:17:58,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
2,Benjamin Proux,285,M 40,FRA,00:28:25,02:20:58,01:23:44,04:18:40,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
10,Danilo Melo,15,M PRO,BRA,00:35:09,02:14:40,01:24:09,04:19:24,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
2,Johan Yvalun,167,M 35,FRA,00:27:37,02:23:45,01:21:23,04:19:37,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
11,Michiel DE Wilde,8,M PRO,NED,00:29:53,02:21:35,01:24:14,04:20:33,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
3,Pascal Boutelet,1172,M 30,FRA,00:29:04,02:21:23,01:24:22,04:20:35,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
3,Lilian Jegou,1936,M 40,FRA,00:29:06,02:15:38,01:30:23,04:20:46,Ironman 70.3 Les Sables d'Olonne,06/16/2019,"VendÃ©e, France"
