Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Craig Alexander,1,MPRO,AUS,00:22:27,02:06:55,01:13:08,03:48:50,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
2,Ivan Kalashnikov,11,MPRO,RUS,00:22:22,02:07:04,01:14:54,03:50:40,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
3,Paul Schuster,9,MPRO,DEU,00:22:23,02:07:00,01:15:10,03:51:07,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
4,Sam Betten,2,MPRO,AUS,00:22:24,02:07:01,01:17:02,03:52:27,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
5,Daniil Sapunov,3,MPRO,UKR,00:22:25,02:07:00,01:18:04,03:54:01,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
6,Per Van Vlerken,7,MPRO,DEU,00:22:30,02:07:00,01:20:29,03:56:26,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
1,Miao Hao,776,M30-34,CHN,00:23:03,02:10:12,01:17:42,03:58:44,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
1,Edward Baker,52,M40-44,USA,00:24:13,02:07:59,01:20:55,04:01:14,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
2,Roy Lagerburg,71,M30-34,NLD,00:25:56,02:09:27,01:21:37,04:04:21,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
7,Blake Kappler,8,MPRO,AUS,00:23:45,02:06:39,01:27:27,04:04:39,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
8,Brad Williams,4,MPRO,USA,00:26:11,02:11:09,01:22:51,04:08:17,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
3,Mathew Pears,77,M30-34,HKG,00:23:28,02:12:37,01:25:41,04:09:17,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
1,Ivan Vasilyev,757,M35-39,RUS,00:22:56,02:17:24,01:21:59,04:10:50,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
1,Peng Cheng Li,140,M25-29,CHN,00:25:47,02:17:31,01:20:07,04:12:02,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
4,Yan Long Kai,66,M30-34,CHN,00:27:36,02:16:28,01:21:14,04:13:42,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
2,Qisheng Li,197,M25-29,CHN,00:29:14,02:15:24,01:20:05,04:14:29,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
1,Agnieszka Jerzyk,21,FEMPRO,POL,00:24:20,02:18:39,01:25:40,04:15:41,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
5,大樹 星,361,M30-34,JPN,00:27:10,02:16:47,01:24:11,04:15:42,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
1,Olaf Kasten,625,M45-49,HKG,00:27:10,02:16:07,01:26:27,04:16:56,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
6,David Sheridan,81,M30-34,IRL,00:23:24,02:21:37,01:27:31,04:20:22,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
3,Arthur Martirosov,132,M25-29,RUS,00:30:40,02:16:28,01:26:06,04:22:03,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
1,Christophe Jouffret,681,M55-59,FRA,00:25:17,02:18:33,01:30:13,04:22:25,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
2,Benjamin Larsson,119,M40-44,AUS,00:29:59,02:17:34,01:25:29,04:22:45,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
7,Junyu Cao,101,M30-34,CHN,00:27:24,02:22:30,01:25:19,04:23:11,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
2,Roger Canham,100,M55-59,GBR,00:29:18,02:16:46,01:28:26,04:23:13,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
2,Mark Rohde,80,M45-49,AUS,00:29:29,02:15:18,01:29:51,04:23:20,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
8,Yihui Wang,88,M30-34,CHN,00:25:47,02:19:29,01:29:46,04:23:24,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
9,Ernesto Fernandez,60,M30-34,PAN,00:26:31,02:20:22,01:27:52,04:23:30,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
10,Takayuki Tadokoro,356,M30-34,JPN,00:29:11,02:21:55,01:23:04,04:23:37,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
11,史彦 木田,362,M30-34,JPN,00:29:03,02:19:36,01:26:06,04:23:59,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
3,Brent Lorenzen,627,M45-49,USA,00:25:01,02:17:23,01:33:23,04:24:14,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
12,Yantao Zhou,155,M30-34,CHN,00:28:27,02:15:23,01:32:00,04:24:24,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
2,Kelsey Withrow,23,FEMPRO,USA,00:23:46,02:21:32,01:30:45,04:24:30,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
13,Ge Wan,87,M30-34,CHN,00:30:14,02:20:13,01:26:32,04:24:50,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
2,Alex Sidorenko,83,M35-39,KAZ,00:32:41,02:22:29,01:20:28,04:25:21,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
3,Michal Kosmowski,70,M35-39,POL,00:27:37,02:17:02,01:32:27,04:25:21,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
3,Sven Wetzel,564,M40-44,DEU,00:30:43,02:18:54,01:27:39,04:25:40,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
14,Ling Liao,125,M30-34,CHN,00:29:50,02:24:29,01:23:17,04:26:35,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
1,Songen Li,73,M18-24,CHN,00:28:32,02:24:18,01:25:44,04:27:30,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
15,Andrey Ovodkov,144,M30-34,RUS,00:28:39,02:21:51,01:28:21,04:27:32,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
1,Robert Loveridge,75,M50-54,NZL,00:28:27,02:20:20,01:31:20,04:27:37,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
4,Marcin Rabenda,210,M40-44,POL,00:32:49,02:23:27,01:21:44,04:27:45,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
2,Taro Shirato,252,M50-54,JPN,00:26:42,02:21:32,01:31:38,04:28:31,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
5,Alexis Girin,61,M40-44,FRA,00:28:44,02:20:55,01:30:56,04:28:36,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
16,Javier Cano,56,M30-34,ESP,00:29:50,02:22:26,01:27:52,04:28:42,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
3,Tomasz Socha,84,M50-54,POL,00:31:10,02:19:34,01:29:09,04:28:47,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
4,Ulrich Kirchhoff,68,M45-49,DEU,00:25:55,02:22:29,01:32:10,04:29:46,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
3,Laura Dennis,24,FEMPRO,AUS,00:24:45,02:25:18,01:32:21,04:29:56,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
6,Frank Ziewers,240,M40-44,DEU,00:30:18,02:15:58,01:34:45,04:30:34,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
1,Anastasiia Chernenko,808,FEM25-29,UKR,00:24:40,02:29:11,01:28:44,04:30:58,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
4,Timur Shimanovskiy,149,M50-54,RUS,00:32:51,02:20:03,01:28:48,04:31:09,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
7,Andrew Stevenson,85,M40-44,CHN,00:26:49,02:16:46,01:38:52,04:31:25,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
17,Meng Yang,246,M30-34,CHN,00:29:44,02:17:46,01:33:44,04:32:31,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
18,Aleksandr Naumenko,394,M30-34,RUS,00:31:09,02:27:27,01:23:01,04:33:11,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
1,Team Aqua-Gd先锋联队,1024,RELAY,CHN,00:28:27,02:27:54,01:28:25,04:33:16,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
5,Masahiro Ujiie,157,M45-49,JPN,00:31:12,02:25:05,01:28:14,04:33:36,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
8,Zhao Yong,92,M40-44,CHN,00:24:38,02:23:38,01:36:43,04:33:48,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
5,Martin Malleier,545,M50-54,AUT,00:28:46,02:19:16,01:35:26,04:33:50,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
6,Arlindo Jose Da Silva Tavares,103,M50-54,PRT,00:26:23,02:20:54,01:36:52,04:33:50,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
7,Fumiya Hirata,668,M50-54,JPN,00:27:13,02:30:26,01:26:35,04:34:00,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
4,Jethro Karl Ramos,211,M35-39,PHL,00:28:55,02:26:47,01:28:48,04:34:14,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
5,子龙 张,455,M35-39,CHN,00:31:24,02:20:49,01:31:55,04:34:42,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
6,Masayoshi Nara,768,M45-49,JPN,00:29:20,02:25:25,01:32:28,04:36:30,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
1,Constance Mochar,134,FEM40-44,AUT,00:29:27,02:25:13,01:32:30,04:36:31,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
9,琦 党,241,M40-44,CHN,00:23:12,02:26:00,01:38:54,04:37:02,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
19,Gregory Britton,346,M30-34,FRA,00:29:59,02:26:05,01:31:00,04:37:10,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
6,Dongdong Liu,126,M35-39,CHN,00:26:42,02:21:42,01:40:38,04:37:58,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
7,Enjie Yang,452,M35-39,CHN,00:34:48,02:24:38,01:28:12,04:38:29,Ironman 70.3 Liuzhou,04/14/2019,"Liuzhou, China"
