Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Lionel Sanders,13,MPRO,CAN,00:25:15,02:02:33,01:13:09,03:44:06,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
2,Francisco Serrano,2,MPRO,MEX,00:25:14,02:09:08,01:17:02,03:54:00,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
3,Robbie Deckard,21,MPRO,USA,00:25:14,02:09:05,01:17:30,03:54:35,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
4,Tomasz Szala,12,MPRO,POL,00:25:12,02:08:56,01:22:03,03:58:51,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
5,Nicholas Chase,22,MPRO,USA,00:25:10,02:09:06,01:24:21,04:01:27,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
6,Eric Lagerstrom,4,MPRO,USA,00:23:20,02:10:42,01:28:10,04:04:58,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
7,Joaquin Pereda,8,MPRO,MEX,00:23:15,02:19:47,01:25:14,04:11:11,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
8,Matt Franklin,18,MPRO,NZL,00:23:22,02:10:40,01:40:20,04:17:28,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
9,Garza Arturo,23,MPRO,MEX,00:25:14,02:24:40,01:25:13,04:18:00,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
1,Armen Vartanian,843,M40-44,ARM,00:29:21,02:19:58,01:23:40,04:18:47,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
1,Carlos Santiago,719,M25-29,MEX,00:26:01,02:23:44,01:25:20,04:19:24,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
10,Rodrigo Romero Garcia De La Cadena,17,MPRO,MEX,00:28:22,02:23:49,01:27:22,04:22:45,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
1,Ricardo Antonio Guzman Mejia,682,M30-34,MEX,00:27:25,02:31:44,01:24:02,04:26:50,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
1,Eduardo Perez Sandi,293,M18-24,MEX,00:30:09,02:28:43,01:24:30,04:26:59,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
2,Carlos Alberto Arcadia Vargas,188,M30-34,MEX,00:26:09,02:26:59,01:32:19,04:28:50,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
2,Leonardo Sanchez Ramirez,790,M25-29,MEX,00:26:11,02:30:27,01:30:36,04:31:06,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
3,Luis De La Vega,674,M30-34,MEX,00:31:33,02:28:47,01:26:37,04:31:29,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
1,Mirinda Carfrae,25,FPRO,AUS,00:28:19,02:30:36,01:28:42,04:31:35,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
1,Team Turismo Los Cabos4,866,MRELAY,MEX,00:29:16,02:32:50,01:29:00,04:34:03,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
4,DJ Snyder,629,M30-34,USA,00:31:08,02:28:16,01:32:26,04:35:20,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
2,Ewa Komander,29,FPRO,POL,00:28:22,02:31:53,01:32:44,04:36:12,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
3,Robbie Larocque,795,M25-29,USA,00:32:39,02:28:00,01:33:57,04:38:40,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
2,Inigo Fernandez Guerra Abdala,768,M18-24,MEX,00:36:13,20:12:39,13:54:11,04:38:48,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
1,Gerardo Mejia Arteaga,291,M35-39,MEX,00:30:56,02:30:17,01:33:22,04:39:01,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
5,Brett King,45,M30-34,USA,00:27:34,02:25:52,01:43:54,04:41:32,Ironman 70.3 Los Cabos,11/03/2019,"Los Cabos, Mexico"
