Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Terenzo Bozzone,4,MPRO,NZL,00:24:19,02:05:17,01:13:19,03:45:33,Ironman 70.3 Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
2,Matt Chrabot,2,MPRO,USA,00:24:19,02:05:34,01:16:45,03:49:25,Ironman 70.3 Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
3,Kevin Collington,15,MPRO,USA,00:24:24,02:07:55,01:16:00,03:51:02,Ironman 70.3 Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
4,Tim O'Donnell,5,MPRO,USA,00:24:20,02:07:42,01:16:54,03:51:42,Ironman 70.3 Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
5,Jackson Laundry,13,MPRO,CAN,00:25:19,02:06:51,01:20:59,03:55:53,Ironman 70.3 Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
6,Kennett Peterson,28,MPRO,USA,00:27:41,02:09:20,01:20:50,04:00:53,Ironman 70.3 Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
7,Robbie Deckard,22,MPRO,USA,00:26:55,02:12:23,01:19:31,04:01:48,Ironman 70.3 Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
8,Alan Carillo Avila,18,MPRO,MEX,00:27:56,02:09:46,01:21:47,04:02:29,Ironman 70.3 Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
9,Kevin Portmann,29,MPRO,FRA,00:27:57,02:11:15,01:23:43,04:05:46,Ironman 70.3 Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
10,Luke McKenzie,6,MPRO,AUS,00:25:16,02:14:39,01:23:30,04:06:41,Ironman 70.3 Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
11,Fraser Cartmell,19,MPRO,GBR,00:25:17,02:14:28,01:24:15,04:07:03,Ironman 70.3 Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
12,Francisco Serrano,1,MPRO,MEX,00:25:22,02:15:36,01:25:26,04:09:46,Ironman 70.3 Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
13,Scott Defilippis,23,MPRO,USA,00:27:58,02:16:45,01:21:55,04:10:36,Ironman 70.3 Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
14,Tyler Ems,24,MPRO,USA,00:27:55,02:18:37,01:23:51,04:13:58,Ironman 70.3 Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
15,Taylor Reid,9,MPRO,CAN,00:26:09,02:13:07,01:33:48,04:15:54,Ironman 70.3 Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
16,Justin Park,27,MPRO,USA,00:27:51,02:18:30,01:27:27,04:17:11,Ironman 70.3 Los Cabos,11/12/2017,"Los Cabos, Baja California, Mexico"
