Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Mark Saroni,876,M30-34,USA,00:28:53,02:08:32,01:20:54,04:01:26,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
1,Martin Gallardo,586,M25-29,ARG,00:30:53,02:06:24,01:23:18,04:04:36,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
2,Jacob Capin,1019,M30-34,USA,00:31:19,02:10:44,01:22:17,04:08:20,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
3,Klodian Mitri,901,M30-34,USA,00:32:42,02:15:07,01:18:55,04:10:30,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
2,Nicholas Bongi,863,M25-29,USA,00:28:58,02:15:49,01:21:45,04:10:59,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
1,Bear Schickel,873,M18-24,USA,00:25:33,02:15:35,01:24:36,04:12:12,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
1,Tim Hola,979,M45-49,USA,00:27:11,02:17:35,01:24:16,04:12:32,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
4,Yohann Miglis,584,M30-34,USA,00:29:27,02:09:33,01:29:10,04:13:45,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
1,Benjamin Fuqua,1183,M35-39,USA,00:29:00,02:14:44,01:25:54,04:14:27,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
2,Benjamin Gatte,526,M35-39,USA,00:30:24,02:14:44,01:25:38,04:14:51,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
3,Dylan Delacruz,797,M25-29,USA,00:29:32,02:10:00,01:31:37,04:16:03,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
5,Alfredo Valdes Islas,185,M30-34,USA,00:35:35,02:11:32,01:25:30,04:16:52,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
2,Dominic Pollizzi,312,M18-24,USA,00:31:58,02:08:13,01:34:51,04:19:26,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
6,David Hildenbrand,282,M30-34,USA,00:30:12,02:17:30,01:28:14,04:19:50,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
7,Alex Sharp,664,M30-34,USA,00:31:59,02:14:27,01:29:52,04:21:30,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
4,Kyle Marshall,106,M25-29,USA,00:27:54,02:16:13,01:35:23,04:22:55,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
5,Nassim Ennabaoui,619,M25-29,CAN,00:35:31,02:14:12,01:30:21,04:24:39,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
3,Andrew Logsdon,416,M18-24,USA,00:29:33,02:19:03,01:31:38,04:24:42,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
3,Emmanuel Lopez,108,M35-39,USA,00:38:43,02:16:17,01:25:46,04:25:16,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
1,Eric Surovik,923,M40-44,USA,00:34:01,02:21:23,01:26:11,04:25:51,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
4,Dane Shaw,540,M35-39,USA,00:33:54,02:21:22,01:26:19,04:26:07,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
1,Shawn Bonsell,1099,M55-59,USA,00:25:32,02:17:51,01:38:18,04:26:58,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
4,James Baran,475,M18-24,USA,00:32:13,02:20:29,01:28:21,04:26:58,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
6,Carlos Roldan,114,M25-29,GTM,00:35:22,02:15:41,01:31:03,04:27:32,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
2,Joshua Pay,492,M40-44,USA,00:34:51,02:19:07,01:29:33,04:27:59,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
5,Matthew Shaffer,285,M35-39,USA,00:34:11,02:15:27,01:33:23,04:28:28,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
7,William Derrick,755,M25-29,USA,00:31:47,02:18:55,01:33:30,04:28:34,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
3,Alexander Hoover,1149,M40-44,USA,00:34:49,02:17:21,01:30:05,04:29:07,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
8,Grant Rogers,258,M25-29,USA,00:25:31,02:19:32,01:39:36,04:30:17,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
4,Jeffrey Boyd,304,M40-44,USA,00:35:05,02:14:57,01:35:16,04:30:26,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
8,Michael Rourke,456,M30-34,USA,00:26:42,02:18:36,01:37:30,04:30:34,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
5,Matthew Begeman,153,M18-24,USA,00:33:25,02:19:12,01:32:53,04:30:37,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
9,Travis Vance,1155,M30-34,USA,00:31:08,02:18:09,01:36:27,04:30:41,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
5,Tony Forinash,1146,M40-44,USA,00:33:11,02:17:41,01:33:21,04:31:07,Ironman 70.3 Lubbock,06/27/2021,"Lubbock, Texas, USA"
