Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Reid Foster,24,M30-34,USA,00:28:19,02:11:06,01:23:52,04:08:21,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
2,Ryan Snapp,651,M30-34,USA,00:30:48,02:18:40,01:14:44,04:09:09,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
1,Tim Hola,169,M45-49,USA,00:25:47,02:21:24,01:24:06,04:14:17,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
3,Benjamin Fuqua,95,M30-34,USA,00:28:14,02:22:29,01:22:23,04:17:51,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
1,Sean Hale,946,M35-39,USA,00:28:31,02:19:33,01:27:51,04:19:23,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
2,Fernando Vargas Garibi,902,M35-39,MEX,00:31:28,02:19:08,01:27:17,04:20:50,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
1,Samuel Clarot,936,M25-29,USA,00:32:16,02:19:05,01:25:41,04:21:24,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
3,Joel Homan,7,M35-39,USA,00:32:51,02:21:29,01:24:39,04:22:50,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
1,Dave Kyle,90,M50-54,USA,00:29:02,02:19:28,01:32:23,04:24:21,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
2,Justin Mendoza,26,M25-29,USA,00:29:47,02:22:35,01:28:35,04:25:15,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
3,Greg Dundas,890,M25-29,USA,00:33:57,02:22:02,01:26:41,04:26:12,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
4,Travis Vance,860,M30-34,USA,00:30:14,02:21:55,01:33:05,04:28:48,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
4,Sebastian Haynes,429,M25-29,USA,00:30:07,02:21:50,01:31:53,04:28:50,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
1,Chris Phillips,109,M40-44,USA,00:33:24,02:21:10,01:31:38,04:30:17,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
1,Jana Richtrova,4,F35-39,CZE,00:34:02,02:18:51,01:33:41,04:30:46,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
4,Dane Shaw,855,M35-39,USA,00:33:47,02:27:18,01:26:32,04:31:12,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
2,Geoffrey Steffens,31,M50-54,USA,00:28:38,02:27:49,01:30:35,04:31:13,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
3,Shawn Bonsell,45,M50-54,USA,00:24:58,02:24:45,01:37:33,04:31:18,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
2,Madison Flowers,195,M40-44,USA,00:28:32,02:22:52,01:34:38,04:31:45,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
3,Troy Clifton,67,M40-44,USA,00:29:29,02:22:40,01:34:42,04:32:44,Ironman 70.3 Lubbock,06/30/2019,"Lubbock, Texas"
