Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Team Schwimmschule Grossmann,2004,ELAY,DEU,00:17:40,02:04:03,01:13:11,03:37:47,Ironman 70.3 Luxembourg,06/18/2017,"Region Moselle, Luxembourg"
1,Kenneth Vandendriessche,57,M PRO,BEL,00:24:43,02:07:31,01:14:36,03:50:29,Ironman 70.3 Luxembourg,06/18/2017,"Region Moselle, Luxembourg"
2,Bas Diederen,31,M PRO,NLD,00:21:48,02:10:43,01:15:09,03:51:13,Ironman 70.3 Luxembourg,06/18/2017,"Region Moselle, Luxembourg"
3,Tim Brydenbach,62,M PRO,BEL,00:21:41,02:11:03,01:16:38,03:52:38,Ironman 70.3 Luxembourg,06/18/2017,"Region Moselle, Luxembourg"
4,Evert Scheltinga,60,M PRO,NLD,00:21:52,02:10:39,01:16:52,03:52:46,Ironman 70.3 Luxembourg,06/18/2017,"Region Moselle, Luxembourg"
5,Robin Moussel,49,M PRO,FRA,00:21:54,02:12:47,01:15:17,03:53:34,Ironman 70.3 Luxembourg,06/18/2017,"Region Moselle, Luxembourg"
6,Lukasz Wojt,63,M PRO,DEU,00:19:12,02:09:34,01:21:15,03:53:43,Ironman 70.3 Luxembourg,06/18/2017,"Region Moselle, Luxembourg"
1,Jetze Plat,88,M HC,NLD,00:21:56,02:35:19,00:52:45,03:53:47,Ironman 70.3 Luxembourg,06/18/2017,"Region Moselle, Luxembourg"
7,Dominik Sowieja,53,M PRO,DEU,00:23:10,02:11:46,01:15:49,03:53:56,Ironman 70.3 Luxembourg,06/18/2017,"Region Moselle, Luxembourg"
8,Martijn Dekker,39,M PRO,NLD,00:21:07,02:11:19,01:18:07,03:54:04,Ironman 70.3 Luxembourg,06/18/2017,"Region Moselle, Luxembourg"
9,Marino Vanhoenacker,65,M PRO,BEL,00:21:51,02:10:37,01:18:34,03:54:41,Ironman 70.3 Luxembourg,06/18/2017,"Region Moselle, Luxembourg"
10,Adrian Haller,68,M PRO,CHE,00:21:44,02:10:22,01:18:34,03:55:04,Ironman 70.3 Luxembourg,06/18/2017,"Region Moselle, Luxembourg"
11,Franz Loeschke,32,M PRO,DEU,00:21:44,02:13:17,01:16:52,03:55:23,Ironman 70.3 Luxembourg,06/18/2017,"Region Moselle, Luxembourg"
12,Erik-Simon Strijk,54,M PRO,NLD,00:23:08,02:11:20,01:17:51,03:56:38,Ironman 70.3 Luxembourg,06/18/2017,"Region Moselle, Luxembourg"
13,Markus Hörmann,41,M PRO,DEU,00:21:48,02:10:45,01:21:04,03:57:06,Ironman 70.3 Luxembourg,06/18/2017,"Region Moselle, Luxembourg"
14,Yvan Jarrige,67,M PRO,FRA,00:21:39,02:11:01,01:21:33,03:57:31,Ironman 70.3 Luxembourg,06/18/2017,"Region Moselle, Luxembourg"
2,Team Team Freelander's,2047,ELAY,LUX,00:21:34,02:11:48,01:22:45,03:58:59,Ironman 70.3 Luxembourg,06/18/2017,"Region Moselle, Luxembourg"
