Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jerome Bergeron,1312,M25-29,CAN,00:31:13,02:20:43,01:22:28,04:19:52,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
-,Team Podium Hunters,4036,URELAY,USA,00:34:53,02:24:17,01:16:09,04:20:35,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
1,Guillaume Belanger,1424,M30-34,CAN,00:30:24,02:23:14,01:23:36,04:22:34,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
1,Patrice Brisindi,193,M45-49,CAN,00:29:55,02:21:41,01:26:34,04:24:09,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
2,Ross Bruck,288,M25-29,USA,00:33:53,02:18:10,01:25:37,04:24:58,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
1,Jeremie Toutant,1300,M18-24,CAN,00:28:38,02:23:20,01:28:21,04:25:12,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
2,Daniel Szajta,168,M30-34,USA,00:29:01,02:23:41,01:26:53,04:25:32,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
1,Nathaniel Thomas,1909,M40-44,USA,00:36:52,02:15:01,01:27:41,04:26:00,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
2,Brendan Corcoran,1776,M40-44,USA,00:32:35,02:21:36,01:26:30,04:26:52,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
2,Steve Juteau,1279,M18-24,CAN,00:35:28,02:20:44,01:25:12,04:26:59,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
2,Marco Cote,194,M45-49,CAN,00:37:09,02:19:58,01:25:27,04:28:24,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
3,Benjamin Saunders,124,M45-49,USA,00:30:04,02:25:26,01:27:47,04:29:42,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
4,Eric Reid,206,M45-49,USA,00:33:23,02:22:50,01:26:59,04:29:50,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
5,Sylvain Nadeau,122,M45-49,CAN,00:34:33,02:20:50,01:29:40,04:31:16,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
1,Subramani Venkatesh,1727,M35-39,IND,00:35:54,02:21:06,01:27:26,04:31:30,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
-,Team 4058,4058,URELAY,USA,00:26:41,02:17:47,01:42:59,04:31:57,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
1,Eddie Stern,59,M50-54,USA,00:33:52,02:20:46,01:30:57,04:32:09,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
3,Michael Anello,1420,M30-34,USA,00:33:17,02:30:46,01:22:28,04:32:30,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
4,James Poulin-Cadovius,1519,M30-34,CAN,00:31:38,02:30:17,01:24:43,04:32:51,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
3,Joseph Sullivan,189,M40-44,USA,00:35:50,02:22:17,01:28:53,04:33:00,Ironman 70.3 Maine,08/25/2019,"Old Orchard Beach, Maine, USA
"
