Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Matthew Hurley,1375,M30-34,USA,00:22:20,02:13:08,01:23:51,04:04:43,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
1,Benjamin Williams,1645,M35-39,USA,00:24:28,02:18:43,01:18:11,04:05:45,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
2,Joel Maley,1573,M35-39,CAN,00:31:20,02:11:20,01:22:13,04:09:47,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
2,Zev Myerowitz,26,M30-34,USA,00:25:10,02:11:38,01:32:05,04:13:39,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
3,Laurent Gervais Robert,110,M30-34,CAN,00:24:49,02:17:25,01:26:39,04:13:42,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
1,Antoine Matteau,24,M25-29,CAN,00:26:05,02:17:05,01:24:37,04:13:45,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
2,Stephen Garner,1253,M25-29,USA,00:28:34,02:18:37,01:20:54,04:15:23,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
4,Olivier Moraine,25,M30-34,FRA,00:28:34,02:19:25,01:22:17,04:15:28,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
3,Jeff Scarella,35,M35-39,USA,00:24:50,02:18:59,01:26:56,04:16:15,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
1,Chuck Perreault,1953,M45-49,CAN,00:23:41,02:17:52,01:31:40,04:17:53,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
5,Steven Vargo,28,M30-34,USA,00:29:03,02:16:57,01:28:48,04:19:45,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
1,Team Orange To Beat Laurent,4032,RELAY,CAN,00:27:47,02:18:13,01:29:21,04:19:58,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
3,Pierrick Varnier,1309,M25-29,FRA,00:25:21,02:20:52,01:27:15,04:20:17,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
6,Gabe Dakowicz,1345,M30-34,USA,00:27:53,02:16:31,01:30:44,04:20:19,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
7,Kurt Lindboombroberg,1397,M30-34,USA,00:25:39,02:15:18,01:33:54,04:20:25,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
4,Aubert Tremblay,1306,M25-29,CAN,00:22:09,02:21:39,01:31:51,04:20:41,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
8,Jerome McNicoll,1406,M30-34,CAN,00:36:55,02:07:11,01:28:12,04:21:01,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
5,Greg Dundas,103,M25-29,USA,00:28:38,02:20:42,01:27:24,04:21:22,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
1,Rusty Marks,39,M40-44,USA,00:28:10,02:17:23,01:30:05,04:22:35,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
2,Benjamin Saunders,46,M45-49,USA,00:25:48,02:20:39,01:30:26,04:22:35,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
2,Team Podium Hunters,4035,RELAY,USA,00:29:18,02:28:39,01:19:50,04:22:55,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
3,Neill Crump,1866,M45-49,GBR,00:26:22,02:19:42,01:31:25,04:23:30,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
4,Serge Laforge,1911,M45-49,CAN,00:29:48,02:21:25,01:27:18,04:23:31,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
9,Julien Ringuet,27,M30-34,CAN,00:30:10,02:18:15,01:28:59,04:23:59,Ironman 70.3 Maine,08/26/2018,"Old Orchard Beach, Maine, USA"
