Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Andreas Dreitz,3,MPRO,GER,00:23:15,02:11:47,01:17:01,03:56:47,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
2,Alistair Brownlee,1,MPRO,GBR,00:22:30,02:23:25,01:11:02,04:00:59,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
3,Domenico Passuello,14,MPRO,ITA,00:25:03,02:17:17,01:17:29,04:03:40,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
4,Kenneth Vandendriessche,11,MPRO,BEL,00:26:09,02:20:02,01:15:18,04:05:20,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
5,Aleksey Kalistratov,15,MPRO,RUS,00:23:42,02:24:26,01:13:16,04:05:39,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
6,Rasmus Svenningsson,25,MPRO,SWE,00:25:47,02:21:59,01:13:21,04:05:56,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
1,N.n. N.n.,2821,MTR,,00:20:39,02:35:24,01:08:02,04:07:39,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
2,Alexander Kolobnev,2825,MTR,,00:24:27,02:23:33,01:15:32,04:08:03,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
7,Andreas Giglmayr,48,MPRO,AUT,00:23:09,02:24:57,01:17:40,04:10:13,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
8,Kevin Rundstadler,8,MPRO,FRA,00:23:20,02:22:34,01:21:02,04:10:49,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
9,Adrian Haller,46,MPRO,SUI,00:23:13,02:22:48,01:22:03,04:12:15,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
1,Finley Thompson,103,M 18,GBR,00:23:13,02:27:58,01:18:44,04:14:24,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
10,Antoine Mechin,31,MPRO,FRA,00:25:55,02:34:08,01:13:01,04:17:22,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
1,Geert Lauryssen,1235,M 35,BEL,00:26:18,02:26:40,01:19:31,04:17:28,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
1,Julen Diez Rodriguez,104,M 25,ESP,00:25:38,02:27:54,01:19:57,04:17:45,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
11,Tomasz Szala,45,MPRO,POL,00:24:54,02:31:24,01:17:42,04:18:00,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
12,Pierre Balty,29,MPRO,BEL,00:23:53,02:35:25,01:15:48,04:18:32,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
1,Anthony Gritton,953,M 30,GBR,00:27:18,02:27:22,01:21:20,04:21:21,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
2,Lars Petter Stormo,120,M 35,NOR,00:25:44,02:33:02,01:18:50,04:22:28,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
2,Hannes Wolpert,875,M 25,GER,00:24:18,02:30:14,01:23:45,04:23:14,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
3,Jorge Becerril Santos,2839,MTR,,00:23:15,02:38:44,01:18:30,04:24:34,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
13,Milan Brons,34,MPRO,NED,00:24:39,02:31:40,01:23:44,04:24:38,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
3,Robert Pruksa,117,M 35,SUI,00:28:11,02:28:37,01:22:19,04:24:45,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
2,Gian-Andri Baumann,181,M 18,SUI,00:24:09,02:32:59,01:23:16,04:25:21,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
2,Roberto Riuz,209,M 30,ESP,00:27:49,02:33:57,01:19:15,04:26:04,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
14,Christian Jais,16,MPRO,GER,00:26:36,02:34:31,01:21:07,04:26:34,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
3,Lasse Ibert,204,M 30,GER,00:28:26,02:29:58,01:23:35,04:26:50,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
3,Julen Lopetegui Garcia,726,M 18,ESP,00:27:13,02:26:45,01:28:36,04:26:59,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
4,Timo Hummel,1214,M 35,GER,00:28:08,02:35:32,01:18:37,04:27:36,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
4,Víctor Carrera Rojo,912,M 30,ESP,00:24:19,02:38:16,01:21:21,04:28:24,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
3,Matthias Türk,192,M 25,GER,00:24:51,02:31:09,01:27:56,04:28:25,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
5,Wouter Gryp,201,M 30,BEL,00:31:39,02:30:13,01:20:39,04:28:26,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
1,Tony Cullen,1680,M 45,GBR,00:27:36,02:26:16,01:29:20,04:28:30,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
1,Laura Philipp,50,FPRO,GER,00:26:48,02:36:31,01:21:00,04:28:54,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
15,Robert Czysz,70,MPRO,POL,00:24:41,02:35:29,01:24:42,04:28:59,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
4,Pablo Herrero Mazo,790,M 25,ESP,00:28:42,02:34:49,01:20:52,04:30:02,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
5,Javier Solache,119,M 35,ESP,00:27:35,02:33:44,01:24:01,04:30:18,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
6,Jens Dahlman,214,M 35,FIN,00:28:57,02:34:30,01:22:17,04:30:55,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
4,Robin Hermann,720,M 18,SUI,00:27:47,02:31:52,01:26:18,04:31:06,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
5,Max Godet,363,M 25,FRA,00:28:21,02:29:57,01:27:41,04:31:07,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
16,Sergio Bolado Noriega,41,MPRO,ESP,00:27:08,02:36:11,01:22:39,04:31:12,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
7,Gabriel Perez De La Sota,227,M 35,SUI,00:25:24,02:32:34,01:28:50,04:31:23,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
6,Samuel Wenger,1088,M 30,SUI,00:30:17,02:37:45,01:18:38,04:31:37,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
4,Jody Burnett,2803,MTR,,00:29:40,02:31:00,01:27:17,04:31:40,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
6,Luca Ronchi,106,M 25,ITA,00:29:30,02:34:09,01:23:24,04:31:43,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
5,Isaac Hulse,722,M 18,GBR,00:27:05,02:30:13,01:29:34,04:31:52,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
17,Jan Sneberger,24,MPRO,CZE,00:26:17,02:34:19,01:26:59,04:32:28,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
7,Thibaud Friess,108,M 30,SUI,00:27:28,02:35:53,01:23:33,04:32:47,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
1,Jorge González Alvarez,244,M 40,ESP,00:27:13,02:36:22,01:24:29,04:32:48,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
8,Eduardo Calderay Saavedra,907,M 30,ESP,00:26:38,02:41:09,01:20:17,04:33:07,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
5,Israel Castañeda Rios,2811,MTR,,00:28:23,02:34:06,01:27:14,04:33:44,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
9,Jorge Núñez Entrena,1021,M 30,ESP,00:33:17,02:33:56,01:18:16,04:33:47,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
10,Max Knier,975,M 30,GER,00:32:39,02:37:51,01:18:22,04:34:08,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
7,Paul Moyaux,367,M 25,FRA,00:27:20,02:35:00,01:27:23,04:34:52,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
11,Jacob Gilden,200,M 30,USA,00:27:48,02:42:15,01:18:39,04:34:53,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
1,Anthony Philippe,157,M 50,FRA,00:27:41,02:36:26,01:24:20,04:35:07,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
8,Jan Hradecký,1213,M 35,CZE,00:24:31,02:39:34,01:25:44,04:35:10,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
2,Waldemar Grichting,1471,M 40,SUI,00:29:04,02:36:03,01:24:44,04:35:37,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
9,Daniel Gómez Hernández,114,M 35,ESP,00:24:14,02:39:26,01:27:24,04:35:40,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
10,Dídac Domingo Carrascosa,1170,M 35,ESP,00:28:23,02:33:13,01:28:35,04:36:14,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
12,Mariusz Pirek,110,M 30,POL,00:29:02,02:36:19,01:26:20,04:36:23,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
13,Iñaki Masculino Martinez Jarauta,1006,M 30,ESP,00:29:37,02:38:36,01:22:39,04:36:34,Ironman 70.3 Marbella,04/27/2019,"Marbella, Spain"
