Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Salahedine Mraouni,2337,MRELAY,MAR,00:23:49,02:11:11,01:12:19,03:51:50,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
1,Kevin Maurel,28,MPRO,FRA,00:23:44,02:05:44,01:19:45,03:53:04,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
2,Albert Moreno Molins,17,MPRO,ESP,00:23:49,02:11:31,01:15:33,03:55:09,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
3,Arthur Horseau,11,MPRO,FRA,00:26:35,02:07:25,01:18:00,03:56:03,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
4,Tim Don,1,MPRO,GBR,00:23:36,02:12:59,01:17:57,03:58:19,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
5,Maxime Mennesson,14,MPRO,FRA,00:23:40,02:19:51,01:13:17,04:01:03,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
6,Horst Reichel,31,MPRO,DEU,00:23:41,02:16:10,01:17:00,04:01:06,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
7,Curtis Feltner,10,MPRO,USA,00:26:45,02:12:30,01:19:22,04:03:08,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
8,Mehdi Essadiq,34,MPRO,MAR,00:23:38,02:19:07,01:16:49,04:04:17,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
1,Gaetan Fetaud,139,M25-29,GLP,00:25:48,02:11:27,01:22:39,04:04:39,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
1,Benjamin Pernet,273,M35-39,FRA,00:23:11,02:14:15,01:22:43,04:04:58,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
9,Erik Merino,15,MPRO,ESP,00:27:43,02:15:44,01:17:21,04:05:11,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
10,Jacek Krawczyk,13,MPRO,POL,00:23:04,02:13:54,01:24:57,04:06:15,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
11,Eric Watson,23,MPRO,AUS,00:23:01,02:13:09,01:27:04,04:07:50,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
2,Djalil Baiou,1136,M35-39,GBR,00:26:07,02:17:28,01:18:54,04:08:32,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
12,Mauro Pera,25,MPRO,ITA,00:23:03,02:19:18,01:22:19,04:09:23,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
2,Ludovic Roussel,247,M25-29,FRA,00:25:52,02:19:12,01:19:47,04:09:59,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
13,Yann Guyot,27,MPRO,FRA,00:34:33,02:13:49,01:18:36,04:11:30,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
14,Fernando Barroso Glez,8,MPRO,ESP,00:26:43,02:23:00,01:18:14,04:12:47,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
1,Jonas DE Wachter,691,M18-24,BEL,00:23:18,02:20:57,01:25:24,04:14:18,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
3,Julien Eloi,769,M25-29,FRA,00:23:25,02:21:26,01:24:05,04:14:18,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
4,Luca Ronchi,105,M25-29,ITA,00:27:03,02:22:32,01:20:56,04:15:14,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
3,Luis Miguel Ruiz Narvaez,1354,M35-39,ESP,00:24:12,02:28:42,01:18:32,04:16:30,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
2,Sanad Bader,2306,MRELAY,BHR,00:25:46,02:34:52,01:11:37,04:16:35,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
1,Thomas Durey,284,M40-44,FRA,00:25:28,02:20:01,01:26:22,04:16:56,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
2,Pierre Gaspariau,286,M40-44,FRA,00:25:34,02:19:35,01:27:02,04:17:15,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
4,Jordi Escarabajal,1215,M35-39,ESP,00:30:31,02:28:49,01:11:10,04:17:50,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
3,Markus Hanusch,2312,MRELAY,DEU,00:27:47,02:20:17,01:25:21,04:18:40,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
2,Rémi Fortuit,696,M18-24,FRA,00:23:09,02:22:38,01:29:39,04:20:55,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
5,Thierry Mizzon,1309,M35-39,FRA,00:24:55,02:27:55,01:25:00,04:23:33,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
1,Graham Baxter,124,M50-54,GBR,00:27:28,02:19:21,01:30:16,04:24:07,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
1,Lisa Hütthaler,51,FPRO,AUT,00:29:01,02:23:53,01:27:12,04:24:23,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
1,Jean-Baptiste Lafon,1013,M30-34,FRA,00:27:19,02:20:30,01:31:03,04:24:57,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
4,Bruno DE Decker,2302,MRELAY,BEL,00:28:01,02:22:06,01:30:55,04:25:19,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
5,Jose Entrecanales,102,M25-29,ESP,00:26:56,02:23:23,01:29:27,04:25:31,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
1,Damien Lanée,1796,M45-49,FRA,00:28:33,02:20:14,01:31:14,04:26:02,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
15,Bertrand Billard,5,MPRO,FRA,00:23:46,02:11:41,01:46:56,04:26:32,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
2,Romain Serveaux,1082,M30-34,FRA,00:28:17,02:27:00,01:26:17,04:26:38,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
2,Judith Corachan,56,FPRO,ESP,00:26:21,02:30:12,01:26:10,04:27:23,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
6,Corentin Oger,824,M25-29,FRA,00:28:17,02:29:21,01:24:19,04:27:23,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
3,Sébastien Florimond,1515,M40-44,FRA,00:27:32,02:21:48,01:33:27,04:28:42,Ironman 70.3 Marrakech,10/27/2019,"Marrakech, Morocco "
