Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Igor Amorelli,1,MPRO,BRA,00:27:03,02:08:21,01:21:56,03:59:43,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
2,Franz Loeschke,5,MPRO,DEU,00:27:02,02:13:54,01:18:42,04:02:26,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
3,Paulo Roberto Maciel,8,MPRO,BRA,00:26:58,02:14:03,01:20:38,04:04:05,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
4,Vinicius Canhedo,14,MPRO,BRA,00:28:12,02:14:02,01:23:38,04:09:02,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
1,Andres Chirinos,2351,M25-29,PER,00:29:11,02:16:58,01:20:06,04:09:33,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
5,Tim Rea,25,MPRO,AUS,00:28:27,02:09:57,01:29:02,04:10:20,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
6,Ivan Dominguez,16,MPRO,USA,00:32:27,02:12:00,01:25:51,04:13:33,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
7,Trevor Delsaut,15,MPRO,FRA,00:30:47,02:14:53,01:25:43,04:14:41,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
2,Frank Sorbara,2142,M25-29,CAN,00:29:53,02:17:50,01:26:11,04:17:55,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
8,Nicholas Granet,21,MPRO,FRA,00:28:15,02:14:34,01:31:45,04:18:05,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
1,Ellie Salthouse,37,FPRO,AUS,00:28:29,02:21:26,01:27:12,04:19:57,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
3,Fabian Dutli,357,M25-29,CHE,00:28:41,02:18:26,01:29:35,04:20:10,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
1,Team Citybikes,4057,RELAY,USA,00:27:18,02:21:07,01:29:32,04:20:21,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
9,Frederic Limousin,22,MPRO,FRA,00:30:52,02:20:20,01:27:25,04:21:53,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
10,Marcus Fernandes,19,MPRO,BRA,00:26:07,02:25:43,01:27:39,04:22:03,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
2,Angela Naeth,36,FPRO,CAN,00:31:34,02:20:28,01:27:34,04:22:34,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
1,Marcelo Moreira,193,M30-34,BRA,00:28:11,02:18:37,01:31:18,04:22:57,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
11,Yunior Rosete Torres,26,MPRO,USA,00:26:58,02:14:08,01:39:58,04:23:28,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
1,Rodrigo Tavares,1038,M35-39,BRA,00:28:47,02:24:58,01:28:05,04:24:40,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
1,Patrick Wallimann,2014,M40-44,CHE,00:32:57,02:21:16,01:27:25,04:25:13,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
3,Sarah Lewis,43,FPRO,GBR,00:31:04,02:25:36,01:26:45,04:27:04,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
1,Antoine Saison,2364,M18-24,FRA,00:32:48,02:20:12,01:32:03,04:27:56,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
2,Jesus Manuel Angulo,800,M35-39,VEN,00:38:29,02:26:33,01:20:09,04:28:28,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
4,Ricardo Garcia Rivero,358,M25-29,MEX,00:26:06,02:25:28,01:34:16,04:28:34,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
2,Martin Chapochnikoff,169,M40-44,ARG,00:30:09,02:23:31,01:32:04,04:28:42,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
5,Nicholas Lightbody,2090,M25-29,CAN,00:26:31,02:26:45,01:32:10,04:28:49,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
12,Giovanny Marmol,10,MPRO,ECU,00:32:27,02:26:35,01:27:02,04:29:01,Ironman 70.3 Miami,10/22/2017,"Miami, Florida, USA"
