Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Brent McMahon,1,MPRO,CAN,00:24:27,02:00:51,01:15:22,03:43:07,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
2,Francisco Serrano,10,MPRO,MEX,00:26:09,01:59:10,01:20:15,03:48:16,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
3,Diego Baca,3,MPRO,MEX,00:24:28,02:09:39,01:17:06,03:54:04,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
4,Joaquin Pereda,2,MPRO,MEX,00:24:25,02:05:34,01:21:27,03:54:19,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
5,David Guete,6,MPRO,COL,00:26:07,02:03:43,01:22:45,03:55:16,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
6,Arturo Garza,4,MPRO,MEX,00:26:11,02:03:58,01:22:45,03:55:29,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
7,Alan Carrillo,12,MPRO,MEX,00:26:15,02:03:45,01:24:18,03:57:20,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
1,Team Gatorade,260,RELAY,MEX,00:28:42,02:06:26,01:18:17,03:57:50,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
1,Edgar Lopez Jimenez,1577,M40-44,MEX,00:24:43,02:07:22,01:23:57,04:00:21,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
8,Chris Schroeder,9,MPRO,USA,00:26:12,02:03:40,01:29:56,04:02:34,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
1,Fernando Medel,39,M30-34,MEX,00:27:35,02:08:54,01:23:23,04:03:19,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
9,Santiago Gerez Levy,5,MPRO,MEX,00:26:14,02:12:01,01:23:14,04:03:53,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
1,Lauren Goss,15,FPRO,USA,00:26:14,02:14:39,01:22:23,04:06:31,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
2,Mark Saroni,35,M30-34,USA,00:27:15,02:09:37,01:29:01,04:08:54,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
1,Jesus Perales,1716,M35-39,MEX,00:28:34,02:04:43,01:32:05,04:10:13,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
2,Alfredo Trujano Pichardo,130,M40-44,MEX,00:32:10,02:07:03,01:27:12,04:10:40,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
10,Breno Melo,7,MPRO,USA,00:28:57,02:15:58,01:22:36,04:10:45,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
1,Leonardo Sanchez Ramirez,1567,M25-29,MEX,00:26:24,02:11:33,01:29:35,04:11:26,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
2,Emmanuel Carbajal Sandoval,1746,M25-29,MEX,00:27:03,02:17:03,01:24:03,04:11:58,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
11,Sergio Quevedo Bermudez,8,MPRO,VEN,00:24:41,02:13:48,01:31:03,04:12:37,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
1,Victor Manuel Maza,1525,M18-24,MEX,00:26:21,02:18:08,01:26:12,04:13:47,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
1,Uzziel Valderrabano,125,M50-54,MEX,00:26:23,02:15:51,01:28:26,04:14:02,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
2,Leoncio Sanchez,49,M35-39,MEX,00:30:23,02:12:23,01:26:44,04:14:09,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
1,Carlos Sandoval,1721,M45-49,MEX,00:31:45,02:11:54,01:26:58,04:14:34,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
3,Alberto Balderas Femat,1598,M35-39,MEX,00:26:43,02:13:22,01:31:24,04:14:43,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
3,Ricardo Vega Cebrian,548,M25-29,MEX,00:25:26,02:12:53,01:33:49,04:15:25,Ironman 70.3 Monterrey,05/12/2019,"Monterrey, Mexico"
