Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Cameron Hackett,138,M18-24,USA,00:26:58,02:10:04,01:25:23,04:07:06,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
1,Matt Hutchinson,1675,M25-29,NZL,00:29:36,02:11:13,01:24:22,04:08:27,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
1,Greg Grosicki,1693,M30-34,USA,00:29:43,02:14:35,01:24:07,04:11:53,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
2,Mike Vanacora,64,M30-34,USA,00:29:05,02:16:06,01:24:12,04:14:01,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
1,Mark Weghorst,1721,M35-39,USA,00:33:07,02:14:31,01:25:30,04:17:24,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
2,Jason Ream,70,M35-39,USA,00:35:15,02:10:48,01:29:05,04:19:16,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
3,Nicholas Modrzejewski,69,M35-39,USA,00:31:04,02:18:26,01:25:40,04:19:19,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
1,James Harrington,74,M40-44,USA,00:35:17,02:14:27,01:26:22,04:20:46,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
4,Rick Lapinski,68,M35-39,USA,00:33:11,02:11:22,01:30:46,04:20:52,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
1,Thierry Guertin,81,M45-49,CAN,00:34:21,02:09:18,01:32:37,04:20:55,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
3,Tyler Le Roy,63,M30-34,USA,00:32:58,02:14:57,01:29:26,04:21:50,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
5,Andrew Person,1812,M35-39,USA,00:32:54,02:16:13,01:30:23,04:23:01,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
2,Josh Madsen,1202,M40-44,USA,00:29:10,02:16:26,01:32:07,04:23:28,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
4,Eric Engel,1804,M30-34,USA,00:31:19,02:15:34,01:35:13,04:25:45,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
5,David Koppel,999,M30-34,USA,00:34:23,02:13:08,01:35:45,04:28:07,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
6,Aaron Springhetti,1702,M30-34,USA,00:32:03,02:18:57,01:33:36,04:28:36,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
2,Dan Meehan,1669,M18-24,USA,00:31:04,02:17:44,01:36:23,04:28:40,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
6,Francois Chavet,65,M35-39,FRA,00:33:55,02:15:31,01:33:46,04:29:21,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
7,Christopher Arnold,151,M35-39,USA,00:33:39,02:14:24,01:36:12,04:29:49,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
2,Richard Fineman,920,M25-29,USA,00:28:31,02:19:22,01:37:34,04:30:09,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
8,R J Montes,1090,M35-39,USA,00:36:08,02:16:58,01:33:34,04:31:00,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
2,Matthew Wade,88,M45-49,USA,00:35:54,02:13:33,01:35:15,04:31:04,Ironman 70.3 Muncie,07/14/2018,"Muncie, Indiana
"
