Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Nick Cosman,8,M35-39,CAN,00:28:55,02:10:03,01:19:36,04:01:42,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
1,Steve Jackson,4,M30-34,USA,00:25:17,02:11:44,01:24:21,04:04:12,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
1,Michael Latifi,3,M25-29,CAN,00:30:41,02:17:01,01:20:03,04:11:04,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
2,Jeremy Gouin,35,M25-29,CAN,00:26:10,02:21:48,01:25:01,04:16:05,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
1,Timothy Walton,16,M45-49,GBR,00:34:39,02:12:08,01:26:32,04:16:18,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
3,Stratton Townley,36,M25-29,CAN,00:30:18,02:16:08,01:28:31,04:18:08,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
2,Luke Ehgoetz,64,M45-49,CAN,00:30:33,02:16:45,01:30:32,04:21:38,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
2,Matt Gervais,9,M35-39,CAN,00:28:59,02:27:43,01:21:21,04:21:39,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
3,Duncan Ross,133,M35-39,CAN,00:33:35,02:21:00,01:23:15,04:22:10,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
1,Philippe Brochu,34,M18-24,CAN,00:31:36,02:27:05,01:20:26,04:22:43,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
2,Graham Sheppard,6,M30-34,USA,00:31:58,02:15:08,01:31:44,04:23:30,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
1,Ivan Buzanov,12,M40-44,RUS,00:30:48,02:19:18,01:30:04,04:24:16,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
2,Brayden Halvorson,524,M18-24,CAN,00:29:33,02:16:00,01:34:24,04:24:27,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
3,Gordon Henderson,17,M45-49,CAN,00:28:30,02:21:25,01:30:04,04:25:15,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
4,Trevor Clark,2,M25-29,CAN,00:26:52,02:25:02,01:30:47,04:26:18,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
4,Nate Walsh,131,M35-39,CAN,00:32:01,02:23:46,01:27:27,04:27:17,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
5,Joshua Witt,778,M25-29,CAN,00:32:54,02:23:47,01:27:23,04:27:31,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
5,Jon Morton,44,M35-39,CAN,00:29:11,02:22:40,01:31:45,04:28:34,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
6,Mark Angus,45,M35-39,ZAF,00:30:42,02:29:27,01:24:24,04:28:59,Ironman 70.3 Muskoka,07/07/2019,"Muskoka, Ontario, Canada"
