Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Matt McWilliams,77,M25-29,USA,00:29:49,02:16:19,01:15:55,04:05:35,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
1,Nick Cosman,28,M35-39,CAN,00:28:25,02:12:56,01:25:30,04:10:28,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
1,Marco Corti,1648,M30-34,ITA,00:31:56,02:19:48,01:18:51,04:14:18,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
1,Bryan Rusche,687,M40-44,CAN,00:34:27,02:22:24,01:14:56,04:15:45,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
1,Peter Christensen,115,M45-49,USA,00:29:33,02:21:27,01:25:51,04:19:57,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
2,Luke Ehgoetz,120,M45-49,CAN,00:30:32,02:18:45,01:28:07,04:20:33,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
1,Tamara Jewett,888,F25-29,CAN,00:28:43,02:32:07,01:16:08,04:20:44,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
2,Kirk Hopkins,586,M40-44,CAN,00:25:49,02:26:33,01:24:58,04:21:02,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
1,Felix Chabot,45,M18-24,CAN,00:29:33,02:21:42,01:26:13,04:21:25,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
2,David Hainish,314,M30-34,CAN,00:31:23,02:20:49,01:26:02,04:22:19,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
3,Daniel Bentley,71,M40-44,CAN,00:30:21,02:26:43,01:23:35,04:24:08,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
2,Lee Roy,25,M35-39,CAN,00:33:07,02:23:15,01:23:39,04:24:10,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
3,Evert Lamb,389,M35-39,CAN,00:28:02,02:22:49,01:30:51,04:25:22,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
2,Jeremy Gouin,47,M18-24,CAN,00:26:04,02:28:48,01:27:44,04:25:23,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
4,Brett Long,392,M35-39,USA,00:33:03,02:28:37,01:21:04,04:25:42,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
3,Gordon Henderson,1692,M45-49,CAN,00:28:22,02:23:05,01:29:23,04:25:48,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
4,Bryan Frank,66,M40-44,USA,00:30:39,02:26:32,01:25:45,04:25:52,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
3,Ryan Power,2,M30-34,CAN,00:30:49,02:25:54,01:26:25,04:26:43,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
5,Matt Feltham,54,M40-44,CAN,00:29:14,02:28:17,01:26:41,04:27:05,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
2,Stratton Townley,81,M25-29,CAN,00:29:53,02:25:53,01:28:21,04:27:37,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
1,Team 2 Beauties And A Beast,1585,RELAY,CAN,00:27:37,02:27:05,01:32:38,04:29:15,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
3,Ryan McCallum,44,M18-24,CAN,00:29:13,02:25:26,01:31:23,04:29:33,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
4,Timothy Walton,119,M45-49,GBR,00:33:44,02:16:57,01:36:40,04:30:10,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
3,Michael Latifi,76,M25-29,CAN,00:33:37,02:31:51,01:21:34,04:30:14,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
4,Brayden Halvorson,545,M18-24,CAN,00:29:51,02:23:13,01:32:51,04:30:37,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
1,Jennifer Zenker,94,F35-39,AUS,00:25:33,02:26:44,01:35:20,04:30:49,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
4,Olivier Moisan,768,M25-29,CAN,00:34:21,02:25:57,01:25:56,04:31:05,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
6,Jeremy Valeriote,59,M40-44,CAN,00:31:37,02:31:34,01:23:27,04:31:16,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
4,Scott Johnson,214,M30-34,CAN,00:36:21,02:25:20,01:26:40,04:31:46,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
5,Mathieu Marilly,396,M35-39,FRA,00:28:57,02:30:26,01:29:10,04:32:00,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
5,Trevor Clark,48,M18-24,CAN,00:26:14,02:30:53,01:31:03,04:32:36,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
2,Erin Snelgrove,87,F25-29,CAN,00:31:36,02:29:39,01:28:06,04:32:40,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
7,Christian Belair,664,M40-44,CAN,00:32:00,02:32:22,01:24:25,04:32:47,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
5,Matthew Durand,779,M25-29,CAN,00:29:55,02:29:50,01:29:26,04:33:05,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
5,Pierre-Etienne Lambert,291,M30-34,CAN,00:28:04,02:31:43,01:29:54,04:33:13,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
2,Team Team Buehlow,1581,RELAY,CAN,00:32:08,02:20:55,01:37:53,04:33:39,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
3,Team Ready Players 1 2 And 3,1620,RELAY,CAN,00:28:52,02:15:19,01:47:31,04:34:24,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
6,Nate Walsh,329,M30-34,CAN,00:32:06,02:28:55,01:30:23,04:35:15,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
6,Ryan Sanderson,1688,M35-39,CAN,00:31:42,02:30:02,01:30:18,04:35:57,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
5,Brandon Whitby,137,M45-49,CAN,00:27:04,02:31:20,01:33:48,04:36:13,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
6,Scott Haeberle,565,M18-24,USA,00:27:15,02:22:09,01:43:04,04:36:17,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
8,Tony Chen,68,M40-44,CAN,00:35:57,02:29:29,01:27:09,04:37:12,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
7,Graham Fong,526,M18-24,CAN,00:28:06,02:26:15,01:39:47,04:37:22,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
6,David Bertozzi,743,M25-29,CAN,00:33:47,02:22:34,01:36:55,04:37:35,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
1,Rolando Ceddia,1228,M55-59,CAN,00:31:59,02:33:32,01:28:21,04:37:54,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
7,Romuald Le Calonnec,8,M30-34,FRA,00:34:36,02:29:01,01:30:26,04:38:26,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
7,Johnathan Hostick,19,M35-39,CAN,00:30:51,02:30:46,01:32:51,04:38:53,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
8,Art Chasovskykh,5,M30-34,UKR,00:27:27,02:39:06,01:28:48,04:39:57,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
1,Sergio Aldegheri,184,M50-54,ARG,00:31:40,02:29:36,01:35:13,04:40:20,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
4,Team Quads Of Fury,1618,RELAY,CAN,00:30:20,02:33:27,01:34:49,04:41:00,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
6,Cyril Neirynck,1136,M45-49,FRA,00:37:02,02:28:24,01:32:13,04:41:29,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
9,Adao Oliveira,269,M30-34,BRA,00:28:31,02:37:39,01:30:56,04:41:52,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
10,Greg Cartmell,207,M30-34,CAN,00:32:13,02:40:54,01:20:35,04:41:57,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
11,Brendan Deska,229,M30-34,USA,00:35:45,02:22:52,01:38:59,04:42:06,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
12,Rudy Husson,234,M30-34,FRA,00:33:34,02:41:39,01:23:09,04:42:12,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
8,Kris Zelinsky,520,M35-39,CAN,00:31:41,02:26:41,01:39:37,04:42:15,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
2,Eric Rosendall,149,M55-59,USA,00:33:22,02:26:24,01:38:09,04:43:09,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
9,John Power,52,M40-44,CAN,00:38:12,02:34:11,01:25:56,04:44:35,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
9,Simon Lauzon,391,M35-39,CAN,00:30:47,02:34:16,01:35:26,04:44:44,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
10,Marc-Antoine Bernier,20,M35-39,CAN,00:32:07,02:40:22,01:26:35,04:44:52,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
1,Jennifer Reschke,101,F40-44,USA,00:31:06,02:30:28,01:39:46,04:45:09,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
10,Erick Brandt,57,M40-44,VEN,00:35:17,02:30:03,01:35:25,04:45:28,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
7,Scott Boyd,138,M45-49,CAN,00:29:10,02:30:23,01:42:39,04:45:58,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
8,Kerri Brass,139,M45-49,CAN,00:31:52,02:32:30,01:37:28,04:46:03,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
7,Marty Greenaway,84,M25-29,CAN,00:33:45,02:26:45,01:42:01,04:46:09,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
2,Mark Lund,173,M50-54,USA,00:36:26,02:33:01,01:33:22,04:46:23,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
8,Ryan Malfara,789,M25-29,CAN,00:28:52,02:27:48,01:45:30,04:46:44,Ironman 70.3 Muskoka,07/08/2018,"Muskoka, Ontario, Canada
"
