Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Matt Schafer,741,M18-24,USA,00:26:31,02:10:40,01:16:32,03:58:40,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
1,David Morris,1049,M40-44,USA,00:30:18,02:09:58,01:19:53,04:04:58,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
1,Colin Cook,345,M35-39,USA,00:30:46,02:15:44,01:21:43,04:12:16,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
1,Michael Stanek,486,M30-34,USA,00:29:55,02:15:39,01:25:16,04:15:14,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
1,Jon Cyganik,989,M25-29,USA,00:33:22,02:21:49,01:19:39,04:20:43,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
2,James Mellstrom,54,M35-39,USA,00:29:49,02:20:27,01:26:05,04:21:36,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
2,Matthew Nussbaum,868,M30-34,USA,00:26:38,02:17:48,01:31:44,04:22:38,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
2,Parker Weeks,851,M25-29,USA,00:32:19,02:21:16,01:23:46,04:22:38,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
3,Eric Reichert,819,M30-34,USA,00:31:26,02:18:50,01:26:54,04:23:04,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
2,Jacob Osswald,356,M18-24,USA,00:29:11,02:19:03,01:29:20,04:23:48,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
3,Isaac Blackman,525,M25-29,USA,00:31:51,02:24:17,01:23:35,04:24:06,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
2,Christopher Swiecicki,864,M40-44,USA,00:33:08,02:16:54,01:29:14,04:24:49,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
3,Marcus Sobering,319,M35-39,USA,00:31:59,02:21:07,01:27:30,04:25:40,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
4,Christopher Dirito,242,M35-39,USA,00:29:18,02:22:51,01:28:44,04:26:18,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
4,David Pinsonneault,1117,M25-29,USA,00:33:25,02:29:19,01:19:01,04:27:21,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
4,David Berger,656,M30-34,USA,00:30:13,02:26:20,01:26:59,04:28:39,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
1,Arthur Mathisen,369,M50-54,USA,00:32:08,02:21:28,01:30:03,04:28:54,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
5,Aaron Mason,501,M25-29,USA,00:32:23,02:26:05,01:25:12,04:29:25,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
2,Avishai Raviv,758,M50-54,USA,00:30:08,02:24:31,01:30:04,04:30:12,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
5,Matt Petrocci,388,M35-39,USA,00:36:13,02:22:03,01:26:57,04:30:24,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
3,Timothy Mulligan,450,M40-44,USA,00:32:48,02:28:32,01:24:19,04:31:05,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
6,Jason Heister,406,M25-29,USA,00:34:49,02:19:55,01:29:51,04:31:45,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
5,Paul Zychowicz,343,M30-34,USA,00:28:34,02:30:45,01:27:54,04:32:09,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
4,Jerry Sancinito,106,M40-44,USA,00:33:17,02:23:27,01:29:09,04:32:37,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
6,Alphonse Harris,833,M30-34,USA,00:29:09,02:28:30,01:27:49,04:33:07,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
7,Joshua Korn,149,M25-29,USA,00:35:06,02:32:19,01:19:56,04:34:38,Ironman 70.3 Musselman,07/11/2021,"Geneva, New York, USA"
