Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Matthew Raske,266,M35-39,US,00:08:11,02:23:20,01:23:58,03:58:14,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
1,Van Fletcher,305,M40-44,US,00:07:23,02:22:13,01:28:42,04:01:14,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
1,Vincent Terrier,24,M18-24,US,00:08:03,02:26:33,01:23:42,04:01:20,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
2,Matthew Carson,920,M18-24,US,00:08:38,02:33:23,01:19:15,04:04:15,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
1,Levente Lukacs,105,M25-29,HU,00:07:39,02:26:41,01:27:33,04:04:22,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
2,Lothar Birkenfeld,271,M35-39,US,00:10:35,02:24:37,01:25:36,04:05:16,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
1,Cesar Villalba,159,M30-34,US,00:09:37,02:29:49,01:24:17,04:06:29,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
2,Bobby Zeller,97,M25-29,US,00:10:31,02:32:30,01:18:08,04:06:49,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
3,Joao Victor De Oliveira Te,943,M35-39,US,00:09:58,02:27:32,01:26:06,04:07:14,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
1,Team Barry'S Guys,1261,RELAY,US,00:09:01,02:41:04,01:14:51,04:07:27,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
2,Chris Johnson,845,M40-44,US,00:10:04,02:32:11,01:24:33,04:10:04,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
1,Todd Viens,904,M45-49,US,00:09:59,02:29:43,01:27:01,04:10:05,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
2,Jose Garcia,177,M30-34,US,00:12:22,02:31:02,01:24:56,04:11:07,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
3,Logan Roberts,929,M30-34,US,00:10:59,02:29:18,01:26:37,04:11:32,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
3,Gabriel Fuhrman,33,M18-24,US,00:09:13,02:35:42,01:24:30,04:11:37,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
4,Patrick Jackson,1054,M30-34,US,00:07:52,02:31:59,01:29:36,04:12:22,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
4,Hunter Cochran,828,M18-24,US,00:07:49,02:34:53,01:27:53,04:12:51,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
2,Garry Whyte,468,M45-49,US,00:11:22,02:25:57,01:32:41,04:13:12,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
2,Team Power Miler Track Clu,1255,RELAY,US,00:08:32,02:39:15,01:23:48,04:13:30,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
3,Jorge Gonzalez,325,M40-44,US,00:09:25,02:29:19,01:32:06,04:13:32,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
5,Daniel Reyes,933,M30-34,US,00:07:54,02:27:17,01:35:16,04:13:34,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
5,Jeffrey Case,14,M18-24,US,00:08:07,02:43:02,01:18:47,04:13:40,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
3,Jordan Green,926,M25-29,US,00:08:38,02:29:11,01:32:57,04:13:49,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
6,Paul Zychowicz,941,M30-34,US,00:10:37,02:27:50,01:32:32,04:13:58,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
4,Richard Vincent,972,M40-44,US,00:09:23,02:31:54,01:29:00,04:14:03,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
3,Richard Parker,912,M45-49,US,00:09:30,02:33:04,01:28:11,04:14:34,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
7,Andre Yamamoto,161,M30-34,BR,00:10:16,02:32:29,01:28:18,04:14:40,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
6,Thomas Batt,830,M18-24,US,00:08:49,02:42:37,01:20:24,04:14:47,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
5,Gary Metcalf,363,M40-44,US,00:09:41,02:26:17,01:34:47,04:14:52,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
4,Samuel Clarot,836,M25-29,US,00:10:57,02:30:23,01:29:47,04:14:52,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
5,Andrew Raggio,107,M25-29,US,00:10:40,02:34:20,01:28:57,04:17:07,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
7,Thatcher Shepard,832,M18-24,US,00:07:45,02:45:07,01:22:41,04:17:37,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
6,Jesse Danner,962,M40-44,US,00:09:25,02:33:43,01:29:39,04:18:43,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
8,Benjamin Gatte,152,M30-34,US,00:10:49,02:29:46,01:35:31,04:19:29,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
7,Travis Hackney,960,M40-44,US,00:10:09,02:36:33,01:28:53,04:19:39,Ironman 70.3 New Orleans,10/21/2018,"New Orleans, Louisiana, USA"
