Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Charles Legget,1502,M30-34,United Kingdom,00:29:17,02:15:13,01:24:30,04:12:30,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
1,Sam Colvin,1503,M25-29,Australia,00:29:44,02:14:33,01:27:16,04:15:24,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
1,Finn Nugent,1570,M18-24,United Kingdom,00:27:14,02:20:24,01:24:35,04:16:15,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
2,Mats Allen,1537,M25-29,United States,00:27:33,02:19:31,01:28:27,04:20:13,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
3,Matthew Brown,1609,M25-29,United Kingdom,00:28:01,02:14:11,01:36:01,04:22:02,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
2,Gregory Bassam,1666,M30-34,United Kingdom,00:30:50,02:17:48,01:30:22,04:23:05,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
1,Joseph Rebouillat,1739,M35-39,France,00:25:30,02:30:30,01:28:40,04:28:13,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
1,Josh Barnett,1783,M40-44,New Zealand,00:30:41,02:21:30,01:32:29,04:28:37,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
3,Andy De Sousa,1501,M30-34,Venezuela,00:31:45,02:21:58,01:31:39,04:30:13,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
2,Stefan Fesenbeck,1727,M35-39,Germany,00:32:29,02:21:43,01:31:40,04:31:28,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
4,Rob Pouw,1661,M30-34,Netherlands,00:32:45,02:24:58,01:30:17,04:31:59,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
1,Madi Roberts,1545,F18-24,Australia,00:29:41,02:26:03,01:32:33,04:32:16,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
3,Suresh Muthukumaraswamy,1737,M35-39,New Zealand,00:37:29,02:16:23,01:35:03,04:33:36,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
2,Reuben Tucker,1510,M40-44,New Zealand,00:32:23,02:22:35,01:34:18,04:33:45,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
3,Chris Braithwaite,1528,M40-44,New Zealand,00:30:49,02:21:54,01:36:42,04:34:03,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
1,Kevin Stanley-Hunt,1530,M45-49,New Zealand,00:30:44,02:21:06,01:37:51,04:34:19,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
4,Caleb Kennedy,1622,M25-29,New Zealand,00:30:44,02:25:30,01:35:06,04:35:39,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
2,Kerry Weeks,1841,M45-49,New Zealand,00:27:16,02:22:11,01:41:02,04:35:51,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
4,Daniel Jones,1731,M35-39,New Zealand,00:32:30,02:28:44,01:30:24,04:36:03,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
3,Scott Tyo,1839,M45-49,United States,00:34:12,02:28:27,01:29:27,04:36:57,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
4,Jason Reid,1819,M45-49,New Zealand,00:32:02,02:23:59,01:39:57,04:39:47,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
5,Will Clark,1611,M25-29,United Kingdom,00:33:02,02:27:42,01:33:53,04:40:08,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
2,Dan Gampon,1525,M18-24,United States,00:33:23,02:31:37,01:32:28,04:42:42,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
4,Johan Vanhoovels,1799,M40-44,New Zealand,00:38:26,02:29:17,01:30:33,04:43:50,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
6,Shane Johnston,1608,M25-29,Australia,00:34:04,02:31:47,01:34:31,04:44:54,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
7,Samuel Willersdorf,1606,M25-29,Australia,00:29:44,02:22:12,01:50:05,04:46:27,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
5,Michael Decarli,1505,M40-44,United States,00:34:38,02:27:28,01:40:06,04:46:49,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
5,Mike Crowe,1825,M45-49,New Zealand,00:30:46,02:31:18,01:40:34,04:46:50,Ironman 70.3 New Zealand,03/03/2018,"Taupo, New Zealand"
