Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Rodolphe Von Berg,3,M PRO,USA,00:26:16,02:21:25,01:17:11,04:09:49,Ironman 70.3 Nice,09/16/2018,"Nice, France"
2,Frederik VAN Lierde,1,M PRO,BEL,00:28:09,02:26:25,01:15:16,04:15:24,Ironman 70.3 Nice,09/16/2018,"Nice, France"
3,Giulio Molinari,7,M PRO,ITA,00:28:10,02:26:18,01:16:22,04:16:05,Ironman 70.3 Nice,09/16/2018,"Nice, France"
4,Yvan Jarrige,34,M PRO,FRA,00:28:08,02:26:24,01:18:55,04:18:34,Ironman 70.3 Nice,09/16/2018,"Nice, France"
5,Simon Viain,36,M PRO,FRA,00:26:20,02:28:02,01:20:01,04:20:07,Ironman 70.3 Nice,09/16/2018,"Nice, France"
1,Thomas Huwiler,234,M 25,SUI,00:30:45,02:28:09,01:17:28,04:22:04,Ironman 70.3 Nice,09/16/2018,"Nice, France"
6,Dominik Sowieja,29,M PRO,GER,00:31:39,02:33:53,01:15:11,04:26:23,Ironman 70.3 Nice,09/16/2018,"Nice, France"
7,Julien Pousson,25,M PRO,FRA,00:26:19,02:34:25,01:21:28,04:27:37,Ironman 70.3 Nice,09/16/2018,"Nice, France"
8,Alexandre Blain,16,M PRO,FRA,00:34:26,02:24:28,01:23:04,04:27:56,Ironman 70.3 Nice,09/16/2018,"Nice, France"
2,Pamphiel Pareyn,236,M 25,BEL,00:26:50,02:34:16,01:23:50,04:30:34,Ironman 70.3 Nice,09/16/2018,"Nice, France"
1,Jeff Lastennet,248,M 30,FRA,00:30:27,02:39:13,01:14:40,04:30:55,Ironman 70.3 Nice,09/16/2018,"Nice, France"
1,Thomas Navarro,809,M 18,FRA,00:32:58,02:28:54,01:23:58,04:32:23,Ironman 70.3 Nice,09/16/2018,"Nice, France"
9,Jordi Montraveta Moya,35,M PRO,ESP,00:00:00,03:14:11,01:17:32,04:34:24,Ironman 70.3 Nice,09/16/2018,"Nice, France"
1,Laurent Lambert,408,M 40,FRA,00:28:45,02:33:26,01:26:01,04:34:31,Ironman 70.3 Nice,09/16/2018,"Nice, France"
2,Théo Debard,779,M 18,FRA,00:30:45,02:29:35,01:28:21,04:34:31,Ironman 70.3 Nice,09/16/2018,"Nice, France"
10,Pierre André Anizan,11,M PRO,FRA,00:31:34,02:35:19,01:23:01,04:35:02,Ironman 70.3 Nice,09/16/2018,"Nice, France"
3,Patrick Reger,134,M 18,GER,00:30:49,02:35:05,01:23:24,04:35:08,Ironman 70.3 Nice,09/16/2018,"Nice, France"
3,Vincent VAN DE Walle,241,M 25,BEL,00:28:56,02:37:05,01:23:53,04:35:46,Ironman 70.3 Nice,09/16/2018,"Nice, France"
1,Egoitz Zalakain,1629,M 35,ESP,00:30:33,02:36:56,01:21:13,04:35:55,Ironman 70.3 Nice,09/16/2018,"Nice, France"
4,Axel Baumans,766,M 18,BEL,00:26:45,02:39:01,01:24:06,04:36:09,Ironman 70.3 Nice,09/16/2018,"Nice, France"
11,Romain Garcin,19,M PRO,FRA,00:34:23,02:36:01,01:19:29,04:36:17,Ironman 70.3 Nice,09/16/2018,"Nice, France"
4,Michaël Gillain,907,M 25,BEL,00:29:37,02:35:00,01:26:01,04:36:51,Ironman 70.3 Nice,09/16/2018,"Nice, France"
5,Eoin Lyons,135,M 25,IRL,00:28:25,02:43:54,01:18:34,04:37:16,Ironman 70.3 Nice,09/16/2018,"Nice, France"
6,Gregoire Tarride,980,M 25,FRA,00:27:59,02:30:48,01:31:43,04:37:34,Ironman 70.3 Nice,09/16/2018,"Nice, France"
5,Bryan Letoquin,798,M 18,FRA,00:26:32,02:40:10,01:24:45,04:37:51,Ironman 70.3 Nice,09/16/2018,"Nice, France"
2,Giovanni Domenico Nucera,1225,M 30,ITA,00:39:08,02:30:52,01:20:15,04:38:00,Ironman 70.3 Nice,09/16/2018,"Nice, France"
6,Alexandre Bourgeois,83,M 18,FRA,00:29:51,02:39:38,01:22:55,04:38:45,Ironman 70.3 Nice,09/16/2018,"Nice, France"
3,François Reding,1254,M 30,BEL,00:34:47,02:34:49,01:22:13,04:38:50,Ironman 70.3 Nice,09/16/2018,"Nice, France"
12,Erwan Jacobi,20,M PRO,FRA,00:31:31,02:34:26,01:27:06,04:39:09,Ironman 70.3 Nice,09/16/2018,"Nice, France"
13,Niclas Baldauf,14,M PRO,AUT,00:31:42,02:34:00,01:28:07,04:39:29,Ironman 70.3 Nice,09/16/2018,"Nice, France"
7,Léo Roca,959,M 25,FRA,00:32:32,02:33:36,01:27:52,04:41:03,Ironman 70.3 Nice,09/16/2018,"Nice, France"
2,Jérôme Save,287,M 40,FRA,00:31:24,02:37:24,01:25:16,04:41:08,Ironman 70.3 Nice,09/16/2018,"Nice, France"
2,Julien Plumer,164,M 35,FRA,00:32:27,02:33:05,01:28:25,04:41:23,Ironman 70.3 Nice,09/16/2018,"Nice, France"
