Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Matias Palavecino,1925,M35-39,USA,00:23:58,02:18:37,01:19:08,04:06:05,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
-,Team Fillnowfast4,4022,URELAY,USA,00:01:28,02:28:39,01:32:32,04:09:07,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
1,Van Fletcher,133,M40-44,USA,00:21:31,02:16:46,01:27:56,04:10:44,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
1,Luke Davis,1450,M25-29,USA,00:25:10,02:21:35,01:19:54,04:12:32,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
2,Riley Carpenter,1436,M25-29,USA,00:25:15,02:27:04,01:18:26,04:17:52,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
1,Ben Tolliday,1420,M18-24,USA,00:23:10,02:24:09,01:25:09,04:17:55,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
1,Tim Ford,1608,M30-34,AUS,00:25:08,02:24:01,01:27:19,04:19:34,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
-,Team Fillnowfast #1,4019,URELAY,USA,00:27:24,02:26:09,01:20:33,04:19:55,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
2,Aaron Kolk,129,M30-34,USA,00:27:23,02:21:43,01:23:56,04:20:21,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
2,Francois Chavet,130,M35-39,FRA,00:27:09,02:21:39,01:23:59,04:21:37,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
1,Kevin Hughes,39,M45-49,USA,00:26:51,02:20:27,01:27:11,04:21:49,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
2,Andrew Arden,184,M18-24,USA,00:23:25,02:23:18,01:29:21,04:22:16,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
2,Michael Ross,2475,M45-49,USA,00:26:17,02:21:44,01:27:51,04:22:34,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
3,Paul Zychowicz,193,M30-34,USA,00:24:57,02:24:41,01:29:16,04:24:23,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
3,Robert Van Kirk,1553,M25-29,USA,00:21:45,02:29:32,01:27:53,04:24:41,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
4,Richie Szeliga,50,M25-29,USA,00:28:39,02:24:29,01:27:28,04:26:26,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
1,Jamey Yon,106,M50-54,USA,00:24:21,02:27:33,01:24:26,04:26:38,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
3,Scott Foland,1822,M35-39,USA,00:24:31,02:26:37,01:29:29,04:28:05,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
3,Darren Rentch,2469,M45-49,USA,00:25:58,02:25:18,01:29:31,04:28:06,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
2,David Gile,138,M50-54,USA,00:27:56,02:27:13,01:26:57,04:28:08,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
4,Mike Stanek,200,M35-39,USA,00:24:32,02:24:33,01:32:17,04:29:21,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
4,Tristan Gore,128,M30-34,USA,00:26:12,02:24:23,01:31:28,04:29:23,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
5,Brian Gorman,1471,M25-29,USA,00:22:10,02:33:43,01:28:23,04:29:29,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
4,Diego Sosa,137,M45-49,ECU,00:27:36,02:21:43,01:34:20,04:30:12,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
-,Team On Your Left Running Club,4045,URELAY,USA,00:24:54,02:32:32,01:28:07,04:30:43,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
6,Robert Taylor,1550,M25-29,USA,00:29:00,02:26:27,01:29:30,04:30:58,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
7,Alexander Betances,185,M25-29,USA,00:27:24,02:23:46,01:32:37,04:31:05,Ironman 70.3 North Carolina,10/19/2019,"Wilmington, North Carolina, USA"
