Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Michael Vulanich,56,M30-34,USA,00:30:00,02:12:33,01:19:48,04:06:08,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
1,Alex Drozd,2061,M18-24,USA,00:34:43,02:19:56,01:21:54,04:21:32,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
1,Jonathan Feddock,35,M35-39,USA,00:29:12,02:22:08,01:26:27,04:22:05,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
1,Jonathan Bottoms,1990,M40-44,USA,00:30:02,02:14:18,01:33:38,04:22:32,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
2,Curtis Anderson,54,M30-34,USA,00:30:36,02:12:37,01:36:26,04:24:17,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
1,Klodian Mitri,1743,M25-29,USA,00:36:21,02:18:31,01:25:01,04:24:31,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
2,Jason Ream,2021,M35-39,USA,00:34:05,02:20:57,01:26:39,04:25:25,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
3,Brian Bachor,1783,M30-34,USA,00:33:14,02:13:15,01:35:25,04:27:38,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
2,James McDermott,2063,M18-24,USA,00:33:51,02:13:22,01:35:10,04:27:59,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
4,Rick Reske,139,M30-34,USA,00:32:50,02:14:25,01:37:33,04:29:16,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
3,Jason Jones,36,M35-39,USA,00:33:09,02:16:47,01:34:38,04:29:37,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
1,Peggy Yetman,182,F45-49,USA,00:31:49,02:26:33,01:27:33,04:30:00,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
5,Jonathan Bade,1785,M30-34,USA,00:37:02,02:20:07,01:28:52,04:30:06,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
1,Edward Walker,2120,M45-49,USA,00:30:19,02:18:02,01:36:43,04:30:45,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
2,John Schlosser,113,M45-49,USA,00:32:49,02:19:35,01:34:48,04:31:59,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
1,P.j. Arling,331,M55-59,USA,00:30:21,02:15:48,01:40:58,04:32:00,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
4,Jd Thalman,37,M35-39,USA,00:30:51,02:23:11,01:33:24,04:32:38,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
5,Francois Chavet,34,M35-39,DEU,00:32:58,02:20:38,01:33:02,04:32:50,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
6,Michael Stanek,140,M30-34,USA,00:32:31,02:09:49,01:46:30,04:33:07,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
2,Andrew Cenkner,233,M25-29,USA,00:35:21,02:17:34,01:35:16,04:33:07,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
1,Jason Fitzhugh,2085,M50-54,USA,00:32:48,02:23:25,01:33:25,04:34:10,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
6,Ben Erdeljac,583,M35-39,USA,00:37:21,02:16:26,01:35:55,04:34:13,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
2,John Crino,46,M50-54,USA,00:33:44,02:19:14,01:37:40,04:35:19,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
3,Richard Albertson,1693,M25-29,USA,00:26:46,02:16:12,01:47:03,04:35:29,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
3,Edward Slovenkay,52,M45-49,USA,00:31:28,02:22:41,01:36:56,04:36:20,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
7,Michael Mendoza,76,M35-39,USA,00:36:15,02:16:56,01:38:42,04:37:01,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
8,Bryan Pellegrin,651,M35-39,USA,00:34:49,02:23:20,01:33:13,04:37:13,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
2,Timothy Hinton,32,M40-44,USA,00:32:49,02:22:21,01:37:37,04:37:19,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
3,William Arnold,376,M40-44,USA,00:29:44,02:26:16,01:36:28,04:37:25,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
1,Hilary Fenton,2030,F25-29,USA,00:31:04,02:31:06,01:30:57,04:37:40,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
4,Michael Daily,144,M40-44,USA,00:36:35,02:23:03,01:32:43,04:37:43,Ironman 70.3 Ohio,07/30/2017,"Delaware, Ohio, USA"
