Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Antoine Mechin,68,M30-34,FRA,00:27:06,02:12:16,01:13:36,03:56:54,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
2,Pavel Gorik,404,M30-34,RUS,00:31:14,02:18:09,01:21:27,04:14:58,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
1,Rafael Wyss,84,M35-39,CHE,00:29:48,02:14:37,01:27:27,04:16:52,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
1,Team Oman Royal Army Group B,1027,RELAY,OMN,00:24:43,02:30:28,01:21:01,04:20:14,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
1,Daniel Konig,332,M18-24,DEU,00:28:10,02:16:24,01:31:47,04:21:36,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
2,Volker Voit,82,M35-39,DEU,00:34:01,02:13:53,01:29:32,04:22:16,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
3,Joseph Maynard,422,M30-34,GBR,00:28:34,02:22:52,01:27:13,04:23:52,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
3,Joao Arteche Arteche,71,M35-39,BRA,00:27:02,02:24:34,01:28:21,04:24:16,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
4,Bruno Affonso,12,M35-39,BRA,00:29:35,02:21:45,01:26:56,04:24:53,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
1,Andy Edwards,18,M40-44,GBR,00:28:05,02:16:42,01:36:23,04:25:28,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
4,Benjamin Weigel,11,M30-34,DEU,00:29:07,02:16:21,01:36:26,04:26:13,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
2,Micha Menzi,92,M40-44,CHE,00:33:31,02:18:57,01:28:38,04:27:01,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
1,Declan Doyle,26,M45-49,IRL,00:32:08,02:17:42,01:30:57,04:27:19,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
2,Nicola Duchi,330,M18-24,ITA,00:33:10,02:17:44,01:31:11,04:27:24,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
3,Rudolph Agius,85,M40-44,MLT,00:30:07,02:27:53,01:25:37,04:28:23,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
1,Michela Santini,262,F35-39,ITA,00:32:11,02:20:16,01:31:34,04:28:33,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
5,Andrew Jackman,494,M35-39,GBR,00:30:04,02:21:20,01:32:13,04:29:00,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
1,Arnaud Selukov,206,M50-54,FRA,00:30:08,02:21:28,01:34:16,04:30:01,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
2,Gherardo Marcolin,780,M50-54,ITA,00:33:42,02:18:50,01:30:50,04:30:09,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
5,Luke Mathews,421,M30-34,GBR,00:29:07,02:24:42,01:32:58,04:30:41,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
3,Samuel Michel,333,M18-24,CHE,00:30:13,02:21:26,01:33:40,04:31:38,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
6,Jurgen Vercarre,439,M30-34,BEL,00:28:28,02:28:17,01:31:06,04:32:06,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
2,Jozef Vrabel,842,M45-49,SVK,00:27:38,02:24:55,01:36:08,04:32:58,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
4,Hermann Schoberl,284,M40-44,DEU,00:34:19,02:24:16,01:29:31,04:33:37,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
3,Walter Lehmann,182,M45-49,CHE,00:35:13,02:18:10,01:34:32,04:34:33,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
3,Marcel Kamm,112,M50-54,CHE,00:30:12,02:16:48,01:41:43,04:34:49,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
1,Tobias Braun,60,M25-29,DEU,00:33:53,02:26:33,01:30:38,04:35:40,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
5,Pascal Bosshard,17,M40-44,CHE,00:30:58,02:15:38,01:43:17,04:36:05,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
6,Dean Siebert,23,M40-44,ZAF,00:31:05,02:19:38,01:39:32,04:36:10,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
7,Anthony English,400,M30-34,IRL,00:30:37,02:24:41,01:36:22,04:36:49,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
6,Thomas Nuttall,78,M35-39,GBR,00:33:40,02:22:58,01:35:40,04:36:57,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
7,Wojciech Odzimek,22,M40-44,POL,00:31:43,02:15:18,01:45:57,04:37:26,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
2,Matthew Dewhurst,61,M25-29,GBR,00:30:04,02:21:06,01:40:56,04:37:31,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
4,Federico Procopio,103,M45-49,ITA,00:30:58,02:26:09,01:35:08,04:37:38,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
4,Andreas Bund,32,M50-54,DEU,00:36:39,02:26:45,01:28:43,04:37:46,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
5,Michel Vernet,796,M50-54,FRA,00:31:42,02:25:16,01:36:12,04:37:47,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
8,Kurt Hessler,20,M40-44,FRA,00:34:20,02:23:58,01:34:37,04:38:44,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
7,Sebastian Herzig,75,M35-39,DEU,00:31:59,02:20:39,01:39:56,04:38:51,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
9,Nicolas Philippe,630,M40-44,FRA,00:31:08,02:28:46,01:34:33,04:39:07,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
1,Natascha Badmann,317,F50-54,CHE,00:32:25,02:20:22,01:41:30,04:39:24,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
3,Luca Ronchi,10,M25-29,ITA,00:29:45,02:17:51,01:48:15,04:40:11,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
8,Jamie Edmunds,473,M35-39,GBR,00:30:13,02:28:25,01:36:43,04:40:37,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
9,Irek Dautov,14,M35-39,RUS,00:33:48,02:26:13,01:34:54,04:41:01,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
10,Bruno Larcher,156,M35-39,AUT,00:30:11,02:22:40,01:43:48,04:41:19,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
10,Romulo Neves,626,M40-44,BRA,00:33:05,02:25:00,01:38:06,04:41:34,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
1,Giulia Bedorin,38,F30-34,ITA,00:28:55,02:32:03,01:36:48,04:41:54,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
6,Innes Wright,799,M50-54,GBR,00:32:08,02:31:01,01:33:15,04:42:20,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
1,Christoph Sudfeld,204,M55-59,DEU,00:33:08,02:26:36,01:37:28,04:43:18,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
4,Ash Chambers,343,M25-29,GBR,00:37:05,02:31:55,01:29:59,04:43:47,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
5,Filippo Sensoli,31,M45-49,ITA,00:33:45,02:27:45,01:36:59,04:44:05,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
8,Joan Marc Gruart Bigas,405,M30-34,ESP,00:29:16,02:28:41,01:37:49,04:44:09,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
9,Jamie Platts,427,M30-34,GBR,00:30:29,02:23:01,01:45:28,04:44:46,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
10,Luiz Mauro Grohs,66,M30-34,BRA,00:34:19,02:29:45,01:35:14,04:45:31,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
11,Tobias Konig,498,M35-39,DEU,00:29:20,02:25:40,01:45:25,04:45:37,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
11,Mattia Boschetti,389,M30-34,ITA,00:29:21,02:26:14,01:43:41,04:46:05,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
7,Sam Westhead,116,M50-54,GBR,00:35:18,02:25:20,01:40:14,04:46:06,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
12,Morten Sommer Sahlholdt,539,M35-39,DNK,00:34:50,02:24:56,01:40:55,04:46:13,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
8,Franck Escomel,764,M50-54,FRA,00:30:41,02:20:22,01:49:25,04:47:25,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
11,Eduard Sadurni De La Torre,95,M40-44,ESP,00:35:48,02:26:31,01:38:18,04:47:40,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
5,Dmytro Firsov,9,M25-29,UKR,00:28:11,02:24:51,01:50:04,04:47:41,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
13,Abdulla Allqeti,450,M35-39,ARE,00:33:10,02:32:22,01:36:46,04:48:24,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
6,Pelayo Orts Fiestas,352,M25-29,ESP,00:32:09,02:20:46,01:49:14,04:48:24,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
9,Juergen Braehler,753,M50-54,DEU,00:41:06,02:27:51,01:33:56,04:49:00,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
14,Alexey Oreshin,518,M35-39,RUS,00:34:59,02:20:53,01:48:33,04:49:01,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
6,Vicente Luis Catalan Bernia,25,M45-49,ESP,00:35:26,02:31:38,01:36:43,04:49:11,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
7,Mark Fourie,28,M45-49,ZAF,00:31:37,02:25:41,01:46:08,04:49:18,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
12,Marek Goczol,65,M30-34,POL,00:30:15,02:30:05,01:43:08,04:49:53,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
8,Marco Perrella,102,M45-49,ITA,00:32:47,02:29:33,01:41:28,04:50:10,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
15,Ricardo Cabral,149,M35-39,PRT,00:32:26,02:30:23,01:41:46,04:50:20,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
9,Billy Harkin,694,M45-49,IRL,00:36:47,02:27:17,01:41:21,04:50:24,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
13,Christophe Hobeika,67,M30-34,FRA,00:33:17,02:28:08,01:42:47,04:50:24,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
12,Mikael Amura,16,M40-44,ITA,00:30:43,02:32:59,01:41:40,04:50:32,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
14,Robin Zwiers,69,M30-34,NLD,00:36:37,02:24:04,01:46:14,04:51:22,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
16,Ryan Sherlock,161,M35-39,GBR,00:32:26,02:31:08,01:43:11,04:51:52,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
10,Thierry Leroy,776,M50-54,FRA,00:33:01,02:27:00,01:45:43,04:51:52,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
13,Tobias Ammon,560,M40-44,DEU,00:35:39,02:25:48,01:42:28,04:52:03,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
14,Vaclav Petrasek,172,M40-44,CZE,00:30:55,02:29:44,01:45:12,04:52:19,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
15,Chris Seeley,96,M40-44,GBR,00:30:09,02:34:07,01:42:11,04:52:26,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
17,Matt Brown,463,M35-39,USA,00:32:25,02:33:06,01:41:29,04:52:27,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
15,Daniel Power,428,M30-34,IRL,00:35:13,02:31:00,01:39:50,04:53:02,Ironman 70.3 Oman,03/01/2019,"Muscat, Al Qurm, Oman"
