Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Andi Boecherer,1,M PRO,GER,00:23:57,02:09:51,01:12:59,03:52:16,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
2,Adam Bowden,12,M PRO,GBR,00:23:06,02:16:04,01:08:41,03:53:28,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
3,Andreas Dreitz,4,M PRO,GER,00:25:05,02:12:30,01:12:55,03:56:37,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
4,Marcus Herbst,33,M PRO,GER,00:25:03,02:12:53,01:13:48,03:56:50,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
5,Arnaud Guilloux,5,M PRO,FRA,00:25:03,02:12:51,01:13:41,03:57:19,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
6,Yohan LE Berre,21,M PRO,FRA,00:25:01,02:18:36,01:11:42,04:00:43,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
7,Markus Thomschke,44,M PRO,GER,00:24:58,02:14:44,01:16:36,04:02:48,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
8,David Breuer,31,M PRO,GER,00:24:58,02:18:03,01:15:14,04:03:49,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
9,Dominik Sowieja,29,M PRO,GER,00:26:53,02:24:07,01:09:54,04:06:38,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
10,Domenico Passuello,42,M PRO,ITA,00:27:20,02:14:01,01:19:18,04:06:45,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
11,Sam Pictor,24,M PRO,GBR,00:27:26,02:18:27,01:16:22,04:07:43,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
12,Matteo Fontana,39,M PRO,ITA,00:28:26,02:17:45,01:15:16,04:07:57,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
13,Antoine Mechin,10,M PRO,FRA,00:26:56,02:24:10,01:11:20,04:08:07,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
1,Théo Debard,270,M 18,FRA,00:27:59,02:19:51,01:15:00,04:08:26,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
14,Thomas Navarro,9,M PRO,FRA,00:29:09,02:17:59,01:15:40,04:08:39,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
15,Alexandre Blain,30,M PRO,FRA,00:29:45,02:14:18,01:18:42,04:09:59,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
16,Erwan Jacobi,8,M PRO,FRA,00:25:07,02:21:45,01:18:14,04:11:23,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
17,Philipp Koutny,34,M PRO,SUI,00:25:02,02:21:25,01:18:34,04:11:44,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
2,Maxime Chane,687,M 18,FRA,00:23:44,02:21:42,01:20:04,04:12:20,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
1,Franck Guyon,903,M 25,FRA,00:29:45,02:21:02,01:16:09,04:13:37,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
18,Jean Eudes Demaret,16,M PRO,FRA,00:30:09,02:18:55,01:18:38,04:13:50,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
19,Arne Devliegher,17,M PRO,BEL,00:28:29,02:24:24,01:14:31,04:14:01,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
20,Alexis Krug,35,M PRO,BEL,00:23:08,02:24:11,01:21:26,04:14:33,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
2,Brett Halliwell,905,M 25,GBR,00:27:35,02:24:52,01:15:47,04:14:43,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
21,Julien Pousson,43,M PRO,FRA,00:23:03,02:24:24,01:22:22,04:15:31,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
22,Bert Jammaer,11,M PRO,BEL,00:25:06,02:30:45,01:14:02,04:15:39,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
1,Bruno Pasqualini,1988,M 45,ITA,00:29:47,02:20:16,01:17:35,04:15:55,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
3,Gwenaël Millot,747,M 18,FRA,00:24:48,02:24:14,01:20:39,04:16:15,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
3,Paul Teachout,1012,M 25,FRA,00:29:11,02:26:17,01:15:31,04:17:30,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
4,Silvan Bruhin,103,M 25,SUI,00:28:26,02:26:55,01:15:36,04:17:36,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
23,Jeremy Morel,23,M PRO,FRA,00:28:35,02:24:29,01:18:08,04:17:50,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
1,Simon Damiens,1126,M 30,FRA,00:29:02,02:30:18,01:11:33,04:17:58,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
4,Vincent Terrier,243,M 18,FRA,00:27:22,02:26:45,01:17:24,04:18:21,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
2,Claude Lucas,210,M 30,LUX,00:28:22,02:20:20,01:22:48,04:18:36,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
3,Gareth Hodgson,187,M 30,GBR,00:28:10,02:25:35,01:18:17,04:18:47,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
4,Romain Criado,264,M 30,FRA,00:28:30,02:25:03,01:17:58,04:19:05,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
1,Dan Blake,1438,M 35,GBR,00:34:24,02:23:39,01:14:34,04:19:56,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
1,Emma Pallant,51,F PRO,GBR,00:28:07,02:29:19,01:16:58,04:19:56,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
5,Luc Gabison,178,M 25,FRA,00:29:34,02:19:45,01:26:14,04:21:34,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
6,Lucas Mathieu,948,M 25,FRA,00:27:44,02:24:22,01:23:06,04:21:51,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
5,Romain Aymon,101,M 18,SUI,00:27:23,02:26:53,01:21:17,04:22:41,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
5,Adrien Pascal,1313,M 30,FRA,00:31:18,02:22:02,01:21:00,04:22:42,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
7,Thomas Tereygeol,1013,M 25,FRA,00:35:27,02:26:15,01:13:23,04:22:45,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
8,Victor Lemasson,204,M 25,FRA,00:31:17,02:30:35,01:14:56,04:23:48,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
1,Guillaume Gillodts,283,M 40,FRA,00:27:42,02:26:40,01:22:59,04:23:52,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
9,Pierre Equey,866,M 25,FRA,00:31:00,02:23:40,01:22:11,04:23:55,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
10,Yannick Matejicek,947,M 25,FRA,00:29:27,02:26:57,01:20:55,04:24:08,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
6,Jean Maillet,739,M 18,FRA,00:27:45,02:29:18,01:20:28,04:24:24,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
11,Olivier Godfroid,181,M 25,BEL,00:30:44,02:28:39,01:17:28,04:24:25,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
2,Nikki Bartlett,58,F PRO,GBR,00:29:05,02:28:38,01:21:02,04:25:14,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
12,Andrew Horsfall-Turner,913,M 25,GBR,00:22:48,02:27:52,01:27:45,04:25:27,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
3,India Lee,65,F PRO,GBR,00:26:09,02:31:05,01:22:29,04:25:30,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
6,Florian Maro,1274,M 30,FRA,00:34:43,02:24:12,01:19:16,04:25:46,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
2,Etienne Risser,1579,M 35,FRA,00:30:10,02:26:34,01:21:13,04:25:54,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
3,Antoine Martin,303,M 35,FRA,00:32:34,02:25:21,01:20:30,04:26:04,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
13,Nicolas Martin,218,M 25,FRA,00:27:12,02:32:16,01:20:06,04:26:15,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
14,Steven Galibert,880,M 25,FRA,00:29:32,02:32:46,01:16:39,04:26:20,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
7,Timothé Cuilleret,693,M 18,FRA,00:31:55,02:32:34,01:13:51,04:26:39,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
15,Ross Williams,247,M 25,GBR,00:27:15,02:32:36,01:19:57,04:26:55,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
4,Nicolas Receveur,1574,M 35,FRA,00:31:12,02:25:06,01:22:53,04:27:07,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
7,Florent Rabany,229,M 30,FRA,00:27:44,02:30:15,01:22:08,04:27:39,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
2,Sylvain Debray,162,M 40,FRA,00:31:08,02:27:21,01:19:22,04:27:45,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
8,Romain Loop,737,M 18,BEL,00:26:10,02:31:57,01:22:46,04:27:49,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
8,Gwenaël Fournel,1176,M 30,FRA,00:28:29,02:27:48,01:24:33,04:27:56,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
3,Gabriele Indraccolo,116,M 40,ITA,00:27:18,02:31:52,01:22:01,04:28:05,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
9,Julien Grosjant,183,M 30,FRA,00:33:16,02:27:32,01:20:10,04:28:43,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
10,Ricard Costa Puigpelat,155,M 30,ESP,00:27:03,02:32:18,01:23:17,04:29:12,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
24,Sebastien Rodriguez,26,M PRO,FRA,00:28:28,02:29:45,01:23:55,04:29:19,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
11,Paul Langelaan,1242,M 30,NED,00:30:13,02:29:07,01:23:46,04:29:32,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
12,Richard Tanguy,435,M 30,JEY,00:27:20,02:24:08,01:30:51,04:29:35,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
25,Pacome Thibault-Lopez,7,M PRO,FRA,00:27:21,02:28:42,01:27:38,04:29:46,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
16,Tom Ralite,986,M 25,FRA,00:25:22,02:24:18,01:32:47,04:30:01,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
13,Arnaud Epp,1157,M 30,FRA,00:31:56,02:23:51,01:26:57,04:30:20,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
5,Florent Garcin,112,M 35,FRA,00:32:39,02:30:01,01:19:32,04:30:22,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
17,Maxime Houdebert,914,M 25,FRA,00:30:14,02:30:37,01:21:16,04:30:30,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
18,Aymeric Damour,834,M 25,FRA,00:34:39,02:31:45,01:17:28,04:31:11,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
9,Bastien Krumm,727,M 18,SUI,00:29:08,02:31:10,01:23:13,04:31:39,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
2,David Lebret,202,M 45,FRA,00:32:24,02:30:22,01:21:05,04:31:40,Ironman 70.3 Pays d'Aix,05/12/2019,"Aix en Provence, France"
