Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Cyril Viennot,3,MPRO,FRA,00:24:06,02:03:31,01:14:33,03:47:19,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
2,Andy Potts,1,MPRO,USA,00:22:17,02:07:37,01:14:50,03:47:49,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
3,Mario De Elias,5,MPRO,ARG,00:24:08,02:03:29,01:17:18,03:49:56,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
4,Tim Rea,9,MPRO,AUS,00:24:03,02:03:41,01:17:58,03:50:49,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
5,Raul Tejada,4,MPRO,GTM,00:24:08,02:03:08,01:18:36,03:51:01,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
6,Felipe Van De Wyngard,8,MPRO,CHL,00:22:18,02:06:54,01:25:21,03:57:05,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
7,Alan Carrillo,6,MPRO,MEX,00:26:16,02:08:06,01:20:10,03:57:58,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
8,TJ Tollakson,2,MPRO,USA,00:24:03,02:06:36,01:38:07,04:11:15,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
9,Chris Schroeder,10,MPRO,USA,00:24:04,02:18:43,01:26:19,04:12:33,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
1,Christopher Portugal Reibel,134,M25-29,PER,00:23:27,02:20:03,01:26:03,04:13:28,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
1,Sarah Piampiano,21,FPRO,USA,00:28:25,02:19:59,01:23:14,04:15:07,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
10,Diego Vasquez,14,MPRO,ECU,00:26:33,02:20:48,01:24:51,04:16:15,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
1,Michell Rosa De Jesus,302,M35-39,BRA,00:29:45,02:18:54,01:24:12,04:17:00,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
2,Rodrigo Romero Garcia De La Cadena,1146,M25-29,MEX,00:26:43,02:23:06,01:23:29,04:17:09,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
1,Alejandro Madde,117,M30-34,BOL,00:25:10,02:23:10,01:25:20,04:17:50,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
2,Andres Tagle Galilea,321,M30-34,CHL,00:32:10,02:17:14,01:25:36,04:19:19,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
11,Juan Manuel Lauro,12,MPRO,URY,00:24:19,02:22:50,01:28:38,04:19:31,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
1,Felipe Martin,782,M18-24,CHL,00:26:04,02:23:59,01:26:42,04:20:16,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
2,Kelsey Withrow,23,FPRO,USA,00:24:55,02:25:23,01:26:45,04:21:00,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
3,Jose Miguel Romero Ravest,947,M30-34,CHL,00:29:42,02:25:57,01:22:22,04:21:42,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
1,Vladimir Figari,132,M45-49,PER,00:30:16,02:23:34,01:23:27,04:21:44,Ironman 70.3 Peru,04/22/2018,"Lima, Peru"
