Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Mitchell Cunningham,2232,M18-24,Australia,00:24:51,02:18:51,01:25:37,04:12:25,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
1,Tim Ballintine,2122,M30-34,Australia,00:27:08,02:27:14,01:21:23,04:19:44,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
2,Oliver Graham,2047,M30-34,United Kingdom,00:30:28,02:17:23,01:27:55,04:19:46,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
3,Josh Minogue,2049,M30-34,Australia,00:24:01,02:28:42,01:25:09,04:20:53,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
1,Owain Matthews,2609,M35-39,Australia,00:28:07,02:26:13,01:25:46,04:22:59,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
1,Will Dawes,2276,M25-29,Australia,00:26:40,02:27:40,01:28:45,04:25:34,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
1,Brian Corff,2731,M40-44,United States,00:29:52,02:25:14,01:28:03,04:26:11,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
4,Aaron Ashdown,2366,M30-34,Australia,00:27:14,02:26:51,01:30:13,04:27:22,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
2,James Byrne,2006,M35-39,Australia,00:27:47,02:24:30,01:31:41,04:27:28,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
2,Mitchell Donoghue,2119,M18-24,Australia,00:26:49,02:26:55,01:30:57,04:27:42,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
3,Dean Callaghan,2545,M35-39,Australia,00:27:31,02:21:51,01:34:10,04:27:48,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
1,Team Pr Or Er,3552,MRELAY,Australia,00:31:25,02:19:41,01:36:06,04:29:55,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
2,Ben Boyd,2015,M40-44,Australia,00:28:32,02:31:12,01:25:32,04:29:58,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
5,Gregg Fyffe,2398,M30-34,Australia,00:26:39,02:25:02,01:33:35,04:30:04,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
6,Michael Entwistle,2045,M30-34,Australia,00:25:36,02:29:49,01:32:23,04:31:01,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
7,Scott Connolly,2124,M30-34,Australia,00:32:39,02:24:32,01:30:07,04:31:16,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
4,David Washbrook,2644,M35-39,United Kingdom,00:27:34,02:28:53,01:32:27,04:32:27,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
8,Gareth Fuller,2397,M30-34,Australia,00:33:03,02:23:32,01:31:32,04:32:34,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
2,Matt Denahy,2038,M25-29,Australia,00:28:28,02:32:49,01:28:55,04:33:52,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
5,Trent Dawson,2007,M35-39,Australia,00:30:47,02:28:51,01:32:11,04:34:40,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
3,Edward Jennings,2002,M25-29,United Kingdom,00:33:43,02:25:05,01:32:41,04:34:49,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
4,Cameron Archer,2267,M25-29,Australia,00:30:01,02:31:00,01:30:32,04:35:13,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
3,Paul O'Doherty,2783,M40-44,Australia,00:27:47,02:26:02,01:38:11,04:35:25,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
6,Charlie Nathan,2618,M35-39,Australia,00:28:03,02:27:59,01:36:13,04:35:50,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
9,James Ghislain,2046,M30-34,Australia,00:30:34,02:24:19,01:37:49,04:36:28,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
7,James Seymour,2631,M35-39,Australia,00:29:10,02:31:03,01:33:06,04:37:18,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
8,Zsolt Dallos,2058,M35-39,Australia,00:30:18,02:28:09,01:34:54,04:37:59,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
4,Michael Osten,2784,M40-44,Australia,00:30:16,02:29:22,01:34:12,04:39:12,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
5,Thomas Irons,2039,M25-29,United Kingdom,00:30:23,02:29:27,01:35:48,04:39:20,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
10,Declan Mc Nerney,2048,M30-34,Australia,00:27:53,02:32:11,01:36:44,04:39:55,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
6,Laurence MacKay,2041,M25-29,Australia,00:31:48,02:27:39,01:36:39,04:40:02,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
5,Timothy Molesworth,2147,M40-44,Australia,00:36:26,02:34:32,01:24:14,04:40:10,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
1,Brett Jenkins,2093,M45-49,Australia,00:33:26,02:26:29,01:36:26,04:40:34,Ironman 70.3 Port Macquarie,05/05/2019,"Port Macquarie, Australia"
