Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Santiago Ascenco,3,MPRO,BRA,00:27:45,02:09:50,01:17:55,03:59:33,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
2,Andy Potts,2,MPRO,USA,00:26:43,02:10:43,01:20:57,04:02:45,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
3,Felipe Barraza,1,MPRO,CHL,00:25:47,02:12:49,01:22:13,04:04:46,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
4,Felipe Van De Wyngard,4,MPRO,CHL,00:26:40,02:10:23,01:23:16,04:04:51,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
5,Taylor Reid,15,MPRO,CAN,00:26:44,02:11:49,01:24:58,04:07:48,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
6,Martin Ulloa,12,MPRO,CHL,00:26:37,02:13:22,01:26:28,04:11:04,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
1,Francisco Catalan Cepeda,423,M18-24,CHL,00:30:16,02:11:03,01:28:23,04:14:25,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
7,Vinicius Canhedo,10,MPRO,BRA,00:31:18,02:15:23,01:23:43,04:15:43,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
8,Roberto Rivera,6,MPRO,CHL,00:26:45,02:20:25,01:28:30,04:20:44,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
1,Oscar Galindez,782,M45-49,ARG,00:29:49,02:16:53,01:27:48,04:21:16,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
9,Nicolas Saez,7,MPRO,CHL,00:27:45,02:18:37,01:31:04,04:22:29,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
1,Francisco Gonzalez,851,M35-39,CHL,00:30:26,02:25:04,01:23:32,04:23:52,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
1,Alberto Danioni,559,M25-29,CHL,00:28:58,02:19:57,01:30:26,04:24:18,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
10,Danilo Melo,16,MPRO,BRA,00:33:58,02:16:56,01:28:49,04:25:00,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
2,Felipe Sandoval,1706,M25-29,CHL,00:27:49,02:15:08,01:38:03,04:26:09,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
1,Guillermo Garcia,802,M30-34,ARG,00:32:58,02:23:20,01:25:39,04:27:00,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
2,Alex Gajardo Sutherland,777,M35-39,CHL,00:32:53,02:27:25,01:22:40,04:28:16,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
2,Javier Zamorano Sheward,2035,M18-24,CHL,00:31:24,02:23:48,01:27:46,04:28:42,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
3,Benjamin Moya Chamorro,1292,M18-24,CHL,00:27:40,02:22:03,01:34:28,04:29:30,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
3,Felipe Giachino Castillo,826,M25-29,CHL,00:33:33,02:18:55,01:31:52,04:29:45,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
4,Sebastian DE Pena,2049,M25-29,CHL,00:31:46,02:21:44,01:30:05,04:29:45,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
1,Barbara Riveros,17,FPRO,CHL,00:28:13,02:30:15,01:27:32,04:30:07,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
11,Christian Carletto,11,MPRO,ARG,00:31:15,02:27:36,01:25:40,04:30:43,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
12,Diego Chavez,13,MPRO,ARG,00:37:41,02:27:31,01:21:47,04:31:20,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
13,Jose Pablo Salazar Ezquerra,8,MPRO,CHL,00:28:47,02:21:59,01:35:53,04:31:40,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
2,Rodrigo Memmo,1184,M30-34,ARG,00:34:27,02:16:53,01:32:14,04:31:51,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
3,Juanca Torres,1875,M35-39,CHL,00:30:24,02:25:08,01:31:30,04:32:06,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
2,Renato Dantas De Lucas,561,M45-49,BRA,00:29:54,02:25:03,01:31:49,04:33:06,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
4,Thomas Galindez,221,M18-24,ARG,00:29:49,02:21:12,01:36:59,04:33:57,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
3,Ian Vargas,1950,M30-34,CHL,00:30:54,02:22:41,01:34:29,04:34:16,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
5,Martin Paquay,1430,M18-24,CHL,00:27:22,02:24:37,01:37:02,04:34:45,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
3,Jose Gonzalez,848,M45-49,CHL,00:36:46,02:19:57,01:33:05,04:35:05,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
6,Cristobal Sandoval,1710,M18-24,CHL,00:32:48,02:21:40,01:36:10,04:35:48,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
2,Alicia Kaye,18,FPRO,USA,00:28:17,02:29:55,01:33:09,04:36:02,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
3,Macarena Salazar Ezquerra,23,FPRO,CHL,00:28:10,02:30:17,01:34:14,04:37:12,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
4,Claudio Montejo,1250,M35-39,CHL,00:35:52,02:23:57,01:31:55,04:37:26,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
5,Tomas Omaechevarria,1385,M25-29,ARG,00:32:08,02:27:06,01:32:31,04:38:26,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
6,Emilien Gandrillon,796,M25-29,FRA,00:33:30,02:12:50,01:47:00,04:38:41,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
4,Emilio Ramirez,1552,M45-49,CHL,00:31:17,02:24:42,01:36:02,04:39:01,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
5,Daniel Nassar,1342,M45-49,CHL,00:37:49,02:25:10,01:30:43,04:39:55,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
4,Elizabeth Bravo,22,FPRO,ECU,00:28:19,02:36:18,01:30:43,04:40:13,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
4,Rafael Cardus Gutierrez,375,M30-34,CHL,00:30:11,02:26:29,01:37:46,04:40:24,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
5,Nino Meza,1210,M35-39,CHL,00:33:09,02:27:28,01:33:57,04:40:25,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
6,Gonzalo Tisi,1846,M35-39,CHL,00:31:00,02:30:41,01:34:28,04:42:19,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
1,Hugo Eduardo Abarzua Vergara,55,M40-44,CHL,00:37:30,02:18:07,01:41:22,04:42:50,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
14,Rodrigo Martin Sanchez,14,MPRO,ARG,00:33:55,02:36:45,01:26:48,04:43:15,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
7,Moises Torres,1874,M35-39,CHL,00:30:54,02:29:35,01:38:04,04:44:31,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
7,Lukas Mena,1185,M18-24,CHL,00:29:30,02:28:57,01:40:05,04:45:04,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
8,Jose Tomas Torres,1873,M18-24,CHL,00:32:50,02:29:11,01:37:56,04:46:02,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
5,Francisco Moreira,1280,M30-34,CHL,00:32:38,02:27:30,01:40:22,04:46:16,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
6,Andres Sauma Mahaluf,1740,M45-49,CHL,00:31:06,02:29:43,01:37:27,04:46:18,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
7,Jose Gajardo Araos,775,M25-29,CHL,00:31:21,02:23:10,01:46:23,04:46:37,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
5,Romina Palacio,27,FPRO,ARG,00:29:25,02:37:19,01:34:42,04:46:40,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
6,Juan Norambuena,1361,M30-34,CHL,00:39:26,02:22:14,01:39:10,04:46:50,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
7,Joaquin Campodonico Alt,351,M30-34,CHL,00:36:23,02:24:42,01:40:02,04:47:13,Ironman 70.3 Pucon,01/13/2019,"Pucon, Chile"
