Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Cameron Hackett,46,M18-24,USA,00:25:11,02:12:17,01:29:22,04:11:38,Ironman 70.3 Puerto Rico,03/17/2019,"San Juan, Puerto Rico"
1,Christopher Portugal Reibel,108,M25-29,PER,00:25:13,02:16:11,01:29:22,04:16:00,Ironman 70.3 Puerto Rico,03/17/2019,"San Juan, Puerto Rico"
1,Heather A Jackson,926,FPRO,USA,00:28:19,02:18:29,01:27:15,04:19:17,Ironman 70.3 Puerto Rico,03/17/2019,"San Juan, Puerto Rico"
1,Francky Favre,138,M40-44,MTQ,00:29:18,02:21:10,01:28:06,04:24:09,Ironman 70.3 Puerto Rico,03/17/2019,"San Juan, Puerto Rico"
1,Ignacio Lopez Mancisidor,942,M35-39,ESP,00:29:56,02:17:39,01:31:47,04:25:12,Ironman 70.3 Puerto Rico,03/17/2019,"San Juan, Puerto Rico"
2,Dustin Leutenegger,131,M35-39,USA,00:35:22,02:16:04,01:31:14,04:27:59,Ironman 70.3 Puerto Rico,03/17/2019,"San Juan, Puerto Rico"
3,Jonathan Feddock,54,M35-39,USA,00:29:26,02:22:38,01:31:03,04:29:04,Ironman 70.3 Puerto Rico,03/17/2019,"San Juan, Puerto Rico"
1,Pepe Garcia,589,M30-34,PRI,00:38:04,02:20:48,01:29:35,04:33:03,Ironman 70.3 Puerto Rico,03/17/2019,"San Juan, Puerto Rico"
4,Angel Barriopedro,641,M35-39,ESP,00:31:20,02:24:20,01:32:22,04:33:40,Ironman 70.3 Puerto Rico,03/17/2019,"San Juan, Puerto Rico"
5,Imael Alicea,425,M35-39,PRI,00:37:23,02:21:23,01:29:47,04:33:52,Ironman 70.3 Puerto Rico,03/17/2019,"San Juan, Puerto Rico"
2,Giancarlo Perez,107,M25-29,PER,00:28:05,02:32:09,01:28:10,04:34:26,Ironman 70.3 Puerto Rico,03/17/2019,"San Juan, Puerto Rico"
6,Marcus Sobering,124,M35-39,USA,00:31:08,02:28:26,01:30:32,04:35:58,Ironman 70.3 Puerto Rico,03/17/2019,"San Juan, Puerto Rico"
7,Javier Rusinque,359,M35-39,COL,00:33:34,02:21:25,01:35:25,04:36:10,Ironman 70.3 Puerto Rico,03/17/2019,"San Juan, Puerto Rico"
8,Taren Gesell,126,M35-39,CAN,00:31:40,02:18:24,01:41:26,04:36:48,Ironman 70.3 Puerto Rico,03/17/2019,"San Juan, Puerto Rico"
