Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Stefan Haubner,475,M 18-24,DEU,00:00:34,02:23:03,01:20:33,03:46:33,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
1,Jure Majdic,1160,M 30-34,SVN,00:00:39,02:21:17,01:22:48,03:47:23,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
1,Vincent Van De Walle,538,M 25-29,BEL,00:00:30,02:24:56,01:21:49,03:49:42,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
2,Anthony Vernagallo,541,M 25-29,FRA,00:00:32,02:23:22,01:23:22,03:49:50,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
3,Elias Schippeerges,39,M 25-29,DEU,00:00:41,02:21:34,01:25:09,03:50:06,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
2,Herbert Enzinger,107,M 18-24,DEU,00:00:35,02:26:44,01:21:28,03:51:09,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
1,Ralf Preissl,14,M 40-44,DEU,00:00:35,02:25:45,01:23:29,03:51:49,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
4,Thomas Tietz,536,M 25-29,DEU,00:00:40,02:23:51,01:25:27,03:53:26,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
2,Jesper Rygaard Hansen,1172,M 40-44,DNK,00:00:44,02:24:52,01:24:10,03:53:27,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
3,Alessandro Tomaiuolo,16,M 40-44,ITA,00:00:39,02:30:03,01:22:53,03:56:04,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
2,Julien Plumer,633,M 30-34,FRA,00:00:39,02:22:24,01:29:37,03:56:19,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
1,Thomas Priglinger,1177,M 45-49,AUT,00:00:46,02:23:34,01:28:44,03:56:32,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
5,Thierry Mathissart,110,M 25-29,FRA,00:00:31,02:24:39,01:29:03,03:56:37,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
6,Hannes Schell,37,M 25-29,AUT,00:00:40,02:27:13,01:26:12,03:56:52,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
3,Thibaud Friess,46,M 30-34,CHE,00:00:41,02:22:40,01:31:34,03:57:29,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
4,René Pfaffner,8,M 30-34,DEU,00:00:34,02:27:35,01:27:31,03:57:44,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
7,Andrii Onyshchenko,7,M 25-29,UKR,00:00:32,02:31:56,01:23:30,03:58:57,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
5,Michal Lisienski,43,M 30-34,POL,00:00:36,02:28:42,01:27:02,03:58:58,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
3,Nils Von Münster-Kistner,481,M 18-24,DEU,00:00:38,02:25:55,01:30:40,03:59:25,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
4,Klaus Marcel,17,M 40-44,CHE,00:00:42,02:22:38,01:33:00,03:59:35,Ironman 70.3 Pula,09/17/2017,"Istria, Croatia"
