Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Federico Scarabino,1067,M18-24,URY,00:25:34,02:15:35,01:21:18,04:04:49,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
1,Walter Tlaija DE Souza,935,M30-34,BRA,00:25:12,02:16:15,01:20:36,04:08:39,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
1,Emmanuel Iodice,1128,M35-39,ARG,00:29:10,02:15:50,01:23:49,04:11:12,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
2,Federico Alvarez,1078,M30-34,ARG,00:28:57,02:22:48,01:21:08,04:15:05,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
2,Kai Wegner,983,M35-39,FIN,00:31:14,02:20:14,01:22:01,04:15:47,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
3,Cristian Burgos,1009,M35-39,ARG,00:28:32,02:18:44,01:26:15,04:15:49,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
4,Gonzalo Pardo,52,M35-39,ARG,00:33:15,02:22:36,01:18:03,04:15:54,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
5,Leandro Leão,1028,M35-39,BRA,00:29:16,02:22:09,01:22:31,04:16:30,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
2,Fidel Diaz Sebriano,1101,M18-24,ARG,00:26:06,02:28:46,01:19:07,04:16:51,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
3,Jonathan Kwaterka,42,M30-34,ARG,00:30:09,02:21:55,01:22:55,04:16:58,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
4,Andres Arce,284,M30-34,PRY,00:29:25,02:21:29,01:23:49,04:17:20,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
1,Maximiliano Passadore,1131,M40-44,ARG,00:29:54,02:21:39,01:24:09,04:18:04,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
3,Mateo Bustos Pecaut,462,M18-24,ARG,00:30:17,02:21:28,01:24:12,04:18:18,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
4,Javier Zamorano Sheward,175,M18-24,CHL,00:30:25,02:22:22,01:24:02,04:19:02,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
5,Matias Quintana,833,M30-34,ARG,00:28:42,02:25:55,01:22:44,04:19:40,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
6,Rodrigo Sanchez,1132,M30-34,ARG,00:31:23,02:25:27,01:20:07,04:19:42,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
5,Ulises Otero,1041,M18-24,ARG,00:31:20,02:28:09,01:18:33,04:20:44,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
7,Gabriel Angerolo,1097,M30-34,URY,00:28:30,02:23:41,01:26:15,04:20:50,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
6,Juan Pablo Ibañez,39,M35-39,ARG,00:33:27,02:23:24,01:21:17,04:21:18,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
1,Diego Dias,1073,M25-29,BRA,00:31:19,02:20:45,01:27:02,04:21:34,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
2,Pablo Bainotti,18,M25-29,ARG,00:31:43,02:21:22,01:26:24,04:21:53,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
1,Jose Gonzalez,228,M45-49,CHL,00:35:00,02:23:22,01:22:12,04:22:35,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
2,Diego Jara,1043,M40-44,ARG,00:28:56,02:26:37,01:25:17,04:22:54,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
6,Agustin Gutierrez,1010,M18-24,ARG,00:32:23,02:24:55,01:23:54,04:23:37,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
8,Martin Larraburu,124,M30-34,ARG,00:31:02,02:20:47,01:29:38,04:23:40,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
7,Daniel Cunha,206,M35-39,BRA,00:34:25,02:23:43,01:23:05,04:23:47,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
3,Raul Caetano,20,M40-44,URY,00:31:56,02:21:48,01:28:18,04:24:34,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
2,Federico Schneeberger,1069,M45-49,ARG,00:26:00,02:23:25,01:29:09,04:26:14,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
8,Jose Ignacio Castro,25,M35-39,CHL,00:31:52,02:35:08,01:17:18,04:26:42,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
9,Jonatan Mortarini,51,M30-34,ARG,00:35:09,02:26:42,01:22:15,04:26:58,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
3,Alejo Garcia,612,M25-29,URY,00:30:14,02:28:53,01:25:19,04:27:41,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
10,Sergio Alarcon,1054,M30-34,CHL,00:30:15,02:24:11,01:30:41,04:27:51,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
11,Luis Kittlein,41,M30-34,ARG,00:33:14,02:26:06,01:26:55,04:28:11,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
12,Fernando Champomier,80,M30-34,ARG,00:32:50,02:26:40,01:26:44,04:28:51,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
9,Ilya Slepov,60,M35-39,RUS,00:28:42,02:31:47,01:26:27,04:29:07,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
10,Samir Rosolem,337,M35-39,CHL,00:30:48,02:26:24,01:29:28,04:29:19,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
3,Ronan Pavoni,1119,M45-49,PAN,00:31:15,02:21:17,01:34:19,04:29:21,Ironman 70.3 Punta del Este,04/07/2019,"Punta del Este, Uruguay"
