Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,David Dellow,1,MPRO,AUS,00:26:04,02:09:05,01:23:37,04:01:42,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
2,Guy Crawford,3,MPRO,AUS,00:27:08,02:08:07,01:25:24,04:03:29,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
3,Mitchell Kibby,6,MPRO,AUS,00:27:05,02:13:37,01:20:27,04:04:03,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
4,Fredrik Croneborg,2,MPRO,SWE,00:28:40,02:13:51,01:24:04,04:09:31,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
5,Nathan Shearer,8,MPRO,AUS,00:32:27,02:13:15,01:23:20,04:12:20,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
6,Nick Baldwin,4,MPRO,SEY,00:30:13,02:14:39,01:27:21,04:15:21,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
1,Peter Wolkowicz,116,M30-34,GER,00:00:23,02:45:02,01:28:04,04:16:32,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
2,Shen-Yen Hsieh,115,M30-34,TPE,00:00:55,02:46:18,01:34:14,04:25:17,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
1,Mikel Calahorra,54,M35-39,BRN,00:00:46,02:52:08,01:36:01,04:32:13,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
1,Kelsey Withrow,17,FPRO,USA,00:27:36,02:26:31,01:35:19,04:33:26,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
2,Ryan Walkenhorst,222,M35-39,AUS,00:02:01,02:58:28,01:31:17,04:34:56,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
3,Yan Long Kai,334,M30-34,CHN,00:00:54,02:55:24,01:35:00,04:35:11,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
1,Haoran Lin,154,M18-24,CHN,00:00:47,03:05:58,01:27:21,04:37:33,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
4,Justin Burrows,113,M30-34,USA,00:00:38,02:59:28,01:34:24,04:37:41,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
1,Filippo Nicosia,255,M40-44,CHN,00:01:26,02:59:04,01:37:09,04:41:13,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
2,Kate Bevilaqua,16,FPRO,AUS,00:30:43,02:29:00,01:37:53,04:41:14,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
5,Chunxu Hu,117,M30-34,CHN,00:01:13,03:01:35,01:34:59,04:41:43,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
6,Ernesto Fernandez,61,M30-34,USA,00:01:20,02:57:18,01:40:34,04:42:09,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
3,Wolfgang Stueckle,94,M35-39,ESP,00:01:06,02:48:12,01:49:59,04:42:40,Ironman 70.3 Qujing,08/05/2018,"Qujing, China"
