Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jackson Laundry,3,MPRO,CAN,00:26:34,02:06:13,01:20:03,03:55:23,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
2,Matt Chrabot,5,MPRO,USA,00:25:28,02:08:04,01:22:05,03:58:22,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
3,Alex Libin,16,MPRO,USA,00:26:31,02:13:27,01:16:51,03:59:56,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
4,Kennett Peterson,7,MPRO,USA,00:28:54,02:06:43,01:22:20,04:00:56,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
5,Adam Otstot,6,MPRO,USA,00:28:52,02:11:02,01:19:17,04:02:17,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
6,Robbie Deckard,22,MPRO,USA,00:26:34,02:14:25,01:22:53,04:06:37,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
7,Vinicius Canhedo,24,MPRO,BRA,00:28:50,02:11:00,01:24:44,04:08:12,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
8,Benson Hall,19,MPRO,USA,00:29:09,02:10:46,01:26:26,04:09:33,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
9,Christopher Busset,25,MPRO,CAN,00:32:02,02:14:20,01:21:28,04:10:30,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
10,David Guete,20,MPRO,COL,00:27:14,02:16:43,01:25:04,04:11:49,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
11,Ricky Flynn,21,MPRO,USA,00:28:49,02:22:03,01:17:32,04:12:01,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
12,Breno Melo,15,MPRO,USA,00:30:10,02:17:49,01:25:29,04:16:44,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
1,Meredith Kessler,33,FPRO,USA,00:27:37,02:23:52,01:26:18,04:21:13,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
13,Matthew Shanks,10,MPRO,USA,00:30:15,02:17:49,01:31:03,04:22:18,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
1,Antoine Matteau,124,M25-29,CAN,00:31:04,02:18:35,01:28:27,04:22:50,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
14,James Sosinski,9,MPRO,USA,00:36:16,02:18:02,01:26:10,04:23:48,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
1,Karel Sumbal,1603,M40-44,CZE,00:32:31,02:24:03,01:22:47,04:23:55,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
2,Heather Jackson,34,FPRO,USA,00:30:37,02:21:53,01:30:29,04:25:54,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
3,Stephanie Roy,31,FPRO,CAN,00:30:39,02:34:12,01:19:09,04:27:00,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
1,Team Pittsburgh Flying Fish,4068,RELAY,USA,00:32:08,02:36:29,01:16:05,04:28:23,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
15,Peter Kotland,26,MPRO,CZE,00:30:14,02:17:15,01:37:16,04:28:40,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
1,Brandon Krout,127,M30-34,USA,00:31:26,02:20:20,01:32:18,04:28:47,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
2,Aaron Kolk,1559,M30-34,USA,00:39:12,02:19:43,01:26:29,04:30:03,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
1,Alden Basmajian,1569,M35-39,USA,00:35:40,02:24:16,01:25:36,04:30:18,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
1,Eric Reid,1336,M45-49,USA,00:31:10,02:23:46,01:31:12,04:30:37,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
2,Jade Costen,244,M45-49,USA,00:33:32,02:25:53,01:27:59,04:31:26,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
2,Andreas Moraitis,135,M35-39,USA,00:38:00,02:17:46,01:33:24,04:32:33,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
3,Bryan Gallant,132,M35-39,USA,00:36:31,02:22:40,01:28:52,04:32:41,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
2,Robert Green,143,M40-44,USA,00:31:10,02:22:42,01:35:36,04:33:23,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
4,Holly Benner,48,FPRO,USA,00:29:41,02:25:39,01:35:38,04:34:25,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
3,Luciano Ros,212,M30-34,ARG,00:34:58,02:20:48,01:35:20,04:34:41,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
2,Team Pouilly Fuisse,4071,RELAY,USA,00:32:43,02:33:17,01:25:24,04:34:52,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
3,Luis Pou,1597,M40-44,USA,00:35:28,02:25:50,01:29:34,04:35:04,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
2,Eric Reichert,204,M25-29,USA,00:35:00,02:27:02,01:29:26,04:35:16,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
4,Jonathan Bade,899,M30-34,USA,00:41:24,02:26:21,01:23:55,04:35:37,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
3,Zack Jordan,203,M25-29,USA,00:37:17,02:28:03,01:25:56,04:35:39,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
5,Luis Iturralde,957,M30-34,USA,00:32:25,02:22:01,01:37:28,04:35:53,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
4,Nathan Poland,139,M35-39,USA,00:33:45,02:23:23,01:34:52,04:36:23,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
1,Zachary Tacy,803,M18-24,USA,00:29:46,02:26:41,01:36:08,04:37:10,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
5,Marc-Antoine Langlois,133,M35-39,CAN,00:33:06,02:23:21,01:36:36,04:37:36,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
4,Samuel Burkett,1587,M40-44,USA,00:35:23,02:25:34,01:32:51,04:37:47,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
5,Christen Brown,47,FPRO,USA,00:29:57,02:29:31,01:35:49,04:38:36,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
6,Charlie Ledford,968,M30-34,USA,00:37:07,02:26:39,01:32:08,04:40:11,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
6,Lenny Ramsey,41,FPRO,NLD,00:34:49,02:33:19,01:27:45,04:40:19,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
6,Arcadio Agudelo Hernandez,316,M35-39,MEX,00:37:04,02:26:52,01:31:35,04:40:38,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
7,Andrew Lashlee,211,M30-34,USA,00:34:30,02:22:58,01:39:43,04:41:02,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
5,Jeff Joyner,144,M40-44,USA,00:32:23,02:21:47,01:43:57,04:42:05,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
7,Katie Thomas,37,FPRO,USA,00:28:47,02:30:18,01:39:08,04:42:31,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
2,Andrew Arden,1544,M18-24,USA,00:28:30,02:25:01,01:44:28,04:42:51,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
8,Bryan Deitz,208,M30-34,USA,00:30:25,02:20:49,01:46:11,04:43:06,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
4,Pablo Gomez,123,M25-29,COL,00:31:12,02:21:17,01:45:47,04:43:06,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
7,Jonathan Brunelle,218,M35-39,CAN,00:39:00,02:23:43,01:34:36,04:43:22,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
5,Brendan Thomas,125,M25-29,USA,00:39:31,02:25:29,01:34:22,04:43:26,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
8,Chris Morales,136,M35-39,USA,00:36:42,02:19:34,01:42:35,04:43:31,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
6,Travis Turner,1242,M40-44,USA,00:31:20,02:25:09,01:41:55,04:43:39,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
3,Kevin Wessinger,1621,M45-49,USA,00:38:28,02:20:50,01:39:00,04:43:56,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
4,Charles Wilkins,1622,M45-49,USA,00:37:52,02:21:15,01:39:36,04:44:22,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
9,Martin Stam,327,M35-39,USA,00:34:03,02:29:59,01:35:58,04:44:40,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
8,Sierra Snyder,38,FPRO,USA,00:30:39,02:35:29,01:35:14,04:44:55,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
1,Molly Lohry,112,F30-34,USA,00:35:34,02:26:33,01:39:23,04:45:08,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
7,Ken Marker,237,M40-44,ITA,00:37:14,02:29:31,01:32:58,04:45:24,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
9,Kevin Jett,960,M30-34,USA,00:32:33,02:25:43,01:43:23,04:45:25,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
10,Julien Trepanier,215,M30-34,CAN,00:40:33,02:25:21,01:35:16,04:46:43,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
3,Team Willix Health Systems,4061,RELAY,USA,00:38:08,02:25:41,01:39:13,04:47:05,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
9,Danielle Dingman,45,FPRO,USA,00:41:00,02:28:31,01:34:31,04:47:08,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
11,Mike Stanek,129,M30-34,USA,00:30:05,02:25:26,01:45:44,04:47:14,Ironman 70.3 Raleigh,06/03/2018,"Raleigh, North Carolina
"
