Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Raphael Nunes,109,M30-34,Bra,00:00:00,02:04:13,06:04:59,06:04:59,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
1,Yvan Jarrige,14,MPRO,Fra,00:26:21,02:11:49,01:14:43,03:56:34,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
2,Paulo Roberto Maciel Da Silva,12,MPRO,Bra,00:25:48,02:11:11,01:18:04,03:58:20,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
3,Bruno Matheus,11,MPRO,Bra,00:25:50,02:18:11,01:16:49,04:03:58,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
4,Fernando Toldi,6,MPRO,Bra,00:25:55,02:14:00,01:22:57,04:05:54,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
1,José Belarmino,579,M40-44,Bra,00:29:26,02:15:12,01:19:20,04:08:23,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
5,Edivanio Monteiro,9,MPRO,Bra,00:26:20,02:19:51,01:22:26,04:12:20,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
6,Luiz Francisco Paiva Ferreira,8,MPRO,Bra,00:25:46,02:17:25,01:29:51,04:16:48,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
7,Luís Henrique Ohde,16,MPRO,Bra,00:26:07,02:17:29,01:33:57,04:21:15,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
8,Gabriel Klein,15,MPRO,Bra,00:30:31,02:24:49,01:23:40,04:22:41,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
1,Marcel Morosini,217,M30-34,Bra,00:33:14,02:19:43,01:25:12,04:22:51,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
2,Rafael Silva,646,M40-44,Bra,00:32:10,02:24:27,01:21:43,04:24:01,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
1,Carlos Kroth,857,M25-29,Bra,00:34:21,02:22:30,01:22:54,04:24:19,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
2,Derik Afornali,233,M30-34,Bra,00:33:52,02:22:56,01:24:03,04:24:53,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
3,Kenny Sousa,617,M40-44,Bra,00:31:17,02:25:16,01:25:13,04:25:34,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
1,Marcelo Abdo,1234,M45-49,Bra,00:25:03,02:27:58,01:28:49,04:26:56,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
1,Rodrigo Lobo,350,M35-39,Bra,00:30:12,02:31:40,01:21:07,04:27:15,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
9,Bruno Vieira,17,MPRO,Bra,00:27:32,02:32:42,01:23:31,04:27:45,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
1,Pamella Oliveira,20,FPRO,Bra,00:28:55,02:22:11,01:32:49,04:28:03,Ironman 70.3 Rio de Janeiro,09/22/2019,"Rio de Janeiro, Brazil
"
