Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Jason West,62,MPRO,USA,00:23:14,02:07:02,01:13:46,03:48:22,Ironman 70.3 Santa Cruz,09/08/2019,"Santa Cruz, California, USA
"
2,Andi Boecherer,26,MPRO,DEU,00:23:18,02:01:46,01:20:29,03:51:03,Ironman 70.3 Santa Cruz,09/08/2019,"Santa Cruz, California, USA
"
3,Justin Metzler,30,MPRO,USA,00:23:17,02:06:56,01:16:32,03:51:09,Ironman 70.3 Santa Cruz,09/08/2019,"Santa Cruz, California, USA
"
4,Mario De Elias,39,MPRO,ARG,00:24:42,02:08:08,01:17:13,03:54:43,Ironman 70.3 Santa Cruz,09/08/2019,"Santa Cruz, California, USA
"
5,Sean Harrington,31,MPRO,USA,00:24:01,02:12:56,01:14:47,03:56:02,Ironman 70.3 Santa Cruz,09/08/2019,"Santa Cruz, California, USA
"
6,Nathan Killam,50,MPRO,CAN,00:24:35,02:08:13,01:19:07,03:56:37,Ironman 70.3 Santa Cruz,09/08/2019,"Santa Cruz, California, USA
"
7,Benjamin Deal,40,MPRO,USA,00:23:47,02:12:56,01:15:48,03:57:18,Ironman 70.3 Santa Cruz,09/08/2019,"Santa Cruz, California, USA
"
8,Steven Zawaski,64,MPRO,USA,00:24:35,02:10:41,01:19:09,03:58:48,Ironman 70.3 Santa Cruz,09/08/2019,"Santa Cruz, California, USA
"
9,Matt Franklin,45,MPRO,NZL,00:23:11,02:06:57,01:25:01,03:59:48,Ironman 70.3 Santa Cruz,09/08/2019,"Santa Cruz, California, USA
"
10,Nicholas Chase,36,MPRO,USA,00:24:37,02:10:17,01:20:59,04:00:32,Ironman 70.3 Santa Cruz,09/08/2019,"Santa Cruz, California, USA
"
11,Marty Andrie,32,MPRO,USA,00:23:16,02:16:27,01:16:07,04:00:54,Ironman 70.3 Santa Cruz,09/08/2019,"Santa Cruz, California, USA
"
12,Andrew Talansky,57,MPRO,USA,00:24:37,02:01:00,01:31:04,04:01:19,Ironman 70.3 Santa Cruz,09/08/2019,"Santa Cruz, California, USA
"
13,Sean Daugherty,38,MPRO,USA,00:24:38,02:15:20,01:18:43,04:03:31,Ironman 70.3 Santa Cruz,09/08/2019,"Santa Cruz, California, USA
"
14,Tyson Wieland,63,MPRO,USA,00:24:44,02:16:22,01:18:58,04:04:14,Ironman 70.3 Santa Cruz,09/08/2019,"Santa Cruz, California, USA
"
15,Danilo Melo,52,MPRO,BRA,00:28:16,02:10:14,01:20:53,04:04:29,Ironman 70.3 Santa Cruz,09/08/2019,"Santa Cruz, California, USA
"
16,Fraser Walsh,60,MPRO,AUS,00:23:20,02:14:21,01:23:28,04:05:38,Ironman 70.3 Santa Cruz,09/08/2019,"Santa Cruz, California, USA
"
