Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Filipe Azevedo,2,MPRO,PRT,00:23:13,02:05:41,01:14:03,03:47:03,Ironman 70.3 Shanghai,10/20/2019,"Shanghai, China"
2,Cameron Brown,7,MPRO,NZL,00:24:29,02:04:01,01:14:25,03:47:36,Ironman 70.3 Shanghai,10/20/2019,"Shanghai, China"
3,Leigh Anderson-Voigt,5,MPRO,AUS,00:24:44,02:00:32,01:18:35,03:48:20,Ironman 70.3 Shanghai,10/20/2019,"Shanghai, China"
4,Paul Schuster,17,MPRO,DEU,00:24:04,02:05:01,01:15:45,03:48:53,Ironman 70.3 Shanghai,10/20/2019,"Shanghai, China"
5,Tim Don,1,MPRO,GBR,00:24:05,02:05:06,01:18:50,03:51:47,Ironman 70.3 Shanghai,10/20/2019,"Shanghai, China"
6,David Mainwaring,15,MPRO,NAM,00:24:27,02:03:53,01:19:22,03:52:28,Ironman 70.3 Shanghai,10/20/2019,"Shanghai, China"
7,Nicholas Chase,8,MPRO,USA,00:24:32,02:04:12,01:20:32,03:53:39,Ironman 70.3 Shanghai,10/20/2019,"Shanghai, China"
8,Brad Williams,19,MPRO,USA,00:28:31,02:02:31,01:18:53,03:54:40,Ironman 70.3 Shanghai,10/20/2019,"Shanghai, China"
9,Olly Shaw,18,MPRO,NZL,00:24:43,02:04:16,01:23:40,03:56:41,Ironman 70.3 Shanghai,10/20/2019,"Shanghai, China"
10,Shen Yen Hsieh,10,MPRO,TWN,00:24:22,02:04:23,01:26:12,04:00:04,Ironman 70.3 Shanghai,10/20/2019,"Shanghai, China"
1,Peter Wolkowicz,59,M35-39,DEU,00:27:22,02:08:09,01:20:22,04:00:29,Ironman 70.3 Shanghai,10/20/2019,"Shanghai, China"
1,Hao Miao,695,M30-34,CHN,00:25:05,02:11:35,01:19:56,04:01:03,Ironman 70.3 Shanghai,10/20/2019,"Shanghai, China"
11,Peter Jacobs,4,MPRO,AUS,00:23:11,02:05:45,01:29:44,04:02:54,Ironman 70.3 Shanghai,10/20/2019,"Shanghai, China"
