Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Bojan Cebin,2059,MTR,SLO,00:24:53,02:18:06,01:16:32,04:03:03,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
2,Aleš Žontar,2033,MTR,SLO,00:24:51,02:25:47,01:14:04,04:08:28,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
1,Michal Rajca,43,M 25,POL,00:31:24,02:24:39,01:18:36,04:18:51,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
2,Jakob Heindl,418,M 25,GER,00:30:54,02:24:37,01:21:14,04:21:10,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
1,Janez Klancnik,129,M 30,SLO,00:28:49,02:27:35,01:21:40,04:22:01,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
2,Luca Bertaccini,473,M 30,ITA,00:27:22,02:29:24,01:23:31,04:24:07,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
3,Maximilian Hammerle,415,M 25,AUT,00:31:28,02:18:50,01:31:45,04:26:40,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
4,Herbert Enzinger,405,M 25,GER,00:27:04,02:28:04,01:27:12,04:27:01,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
3,Andrea Mauri,531,M 30,ITA,00:31:45,02:31:02,01:23:59,04:31:35,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
5,Kenny Couvreur,40,M 25,BEL,00:28:42,02:31:13,01:26:52,04:31:36,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
4,Vázsony Váraljai,582,M 30,HUN,00:29:26,02:32:03,01:26:58,04:32:58,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
1,Vincent Größer,372,M 18,GER,00:27:39,02:28:48,01:32:03,04:33:22,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
6,Alessio Rispoli,448,M 25,ITA,00:25:53,02:33:33,01:30:32,04:34:26,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
2,Samuel Böttinger,362,M 18,GER,00:30:33,02:32:13,01:28:29,04:35:09,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
5,Benedikt Reitwießner,555,M 30,GER,00:30:48,02:33:46,01:26:16,04:35:45,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
1,Massimo Giacopuzzi,195,M 35,ITA,00:28:20,02:36:17,01:25:09,04:36:06,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
7,Benjamin Weigel,49,M 25,GER,00:28:14,02:35:27,01:28:15,04:37:26,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
2,Danijel Hrvat,67,M 35,SLO,00:29:04,02:37:46,01:25:42,04:37:35,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
6,Ricard Costa Puigpelat,483,M 30,ESP,00:27:11,02:35:33,01:31:43,04:39:26,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
1,Michael Kirch,171,M 45,BEL,00:31:39,02:38:33,01:23:39,04:39:45,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
3,Paul Moyaux,379,M 18,FRA,00:28:12,02:34:14,01:33:11,04:40:11,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
3,Nicola Tellaroli,145,M 35,ITA,00:32:51,02:34:58,01:27:45,04:41:01,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
3,Christian Muth,2017,MTR,GER,00:28:36,02:40:05,01:28:37,04:41:09,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
4,Thomas Lamprecht,141,M 35,AUT,00:32:02,02:37:01,01:27:43,04:41:48,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
7,Gregor Dolinar,1319,M 30,SLO,00:27:50,02:34:28,01:34:37,04:42:05,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
8,Gianmaria Tiozzo,6,M 25,ITA,00:28:18,02:45:29,01:22:34,04:42:12,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
8,Carlo Campagnolo,51,M 30,ITA,00:32:14,02:33:46,01:31:55,04:42:53,Ironman 70.3 Slovenian Istria,09/23/2018,"Istria, Slovenia"
