Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Matt Trautman,5,MPRO,ZAF,00:24:37,02:20:42,01:19:33,04:09:18,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
2,Kenneth Vandendriessche,16,MPRO,BEL,00:27:30,02:18:36,01:20:05,04:11:13,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
3,Evert Scheltinga,4,MPRO,NLD,00:24:32,02:23:26,01:19:49,04:12:12,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
4,Bradley Weiss,17,MPRO,ZAF,00:25:45,02:23:29,01:19:21,04:12:58,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
5,Justin Metzler,12,MPRO,USA,00:24:30,02:24:48,01:21:17,04:14:34,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
6,Johann Ackermann,6,MPRO,DEU,00:23:53,02:25:06,01:23:30,04:17:04,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
1,Jean-Paul Burger,504,M18-24,ZAF,00:25:17,02:28:15,01:21:41,04:19:41,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
7,Kevin Rundstadler,15,MPRO,FRA,00:24:34,02:24:38,01:26:19,04:20:14,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
1,Chris Bruchhausen,101,M25-29,ZAF,00:27:51,02:32:43,01:19:56,04:25:23,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
2,Ryan Schmitz,196,M25-29,ZAF,00:27:41,02:28:12,01:25:20,04:25:54,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
8,Rudolf Naude,13,MPRO,ZAF,00:23:59,02:29:50,01:27:28,04:26:16,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
1,Team #balekanpo,2953,MFRELAY,,00:34:26,02:27:21,01:19:00,04:26:26,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
1,Donovan Geldenhuys,277,M35-39,ZAF,00:27:10,02:27:52,01:27:05,04:27:18,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
3,Rohan Meyer,328,M25-29,ZAF,00:26:47,02:32:33,01:23:23,04:27:25,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
4,Tiaan Swart,75,M25-29,ZAF,00:27:18,02:23:21,01:32:11,04:28:38,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
1,Travis Johnston,839,M30-34,ZAF,00:27:05,02:31:24,01:28:16,04:31:09,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
2,Bradley Birkholtz,96,M35-39,ZAF,00:26:56,02:35:07,01:24:34,04:31:48,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
1,Jeanni Seymour,25,FPRO,ZAF,00:26:37,02:36:21,01:24:44,04:32:23,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
2,Emma Pallant,23,FPRO,GBR,00:29:30,02:36:28,01:23:50,04:34:20,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
1,Mark Pellew,70,M40-44,ZAF,00:28:12,02:28:56,01:31:58,04:34:30,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
2,Bryan Difford,787,M30-34,ZAF,00:25:16,02:34:29,01:29:52,04:35:06,Ironman 70.3 South Africa,01/28/2018,"Buffalo City, East London"
