Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Rodolphe Von Berg,3,MPRO,USA,00:23:51,02:04:38,01:17:15,03:49:10,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
2,Bart Aernouts,5,MPRO,BEL,00:26:31,02:05:48,01:14:54,03:50:58,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
3,Jackson Laundry,7,MPRO,CAN,00:25:22,02:07:51,01:14:27,03:51:20,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
4,Stephen Kilshaw,14,MPRO,CAN,00:25:39,02:07:23,01:15:20,03:51:47,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
5,Sam Long,12,MPRO,USA,00:27:04,02:05:00,01:16:49,03:52:16,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
6,Ben Hoffman,2,MPRO,USA,00:25:18,02:07:06,01:16:32,03:52:36,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
7,Sebastian Kienle,1,MPRO,DEU,00:25:37,02:08:36,01:15:35,03:53:27,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
8,Andrew Yoder,9,MPRO,USA,00:25:05,02:07:58,01:20:20,03:57:46,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
9,Jesse Vondracek,37,MPRO,USA,00:26:24,02:10:05,01:19:46,03:59:54,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
10,Benjamin Deal,21,MPRO,USA,00:27:05,02:13:19,01:16:03,04:00:01,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
11,Tripp Hipple,24,MPRO,USA,00:26:23,02:08:21,01:21:55,04:00:14,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
12,Yu Hsiao,25,MPRO,TWN,00:28:44,02:11:59,01:17:21,04:02:23,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
13,Trevor Wurtele,8,MPRO,CAN,00:26:26,02:14:08,01:19:30,04:03:36,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
14,Patrick Brady,15,MPRO,USA,00:28:10,02:12:42,01:19:57,04:04:31,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
15,Ernest Mantell,31,MPRO,USA,00:25:55,02:14:41,01:19:47,04:04:35,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
16,Robbie Deckard,22,MPRO,USA,00:25:40,02:15:54,01:19:45,04:05:10,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
1,Holly Lawrence,46,FPRO,GBR,00:24:56,02:16:31,01:21:16,04:06:05,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
17,Nicholas Chase,20,MPRO,USA,00:25:48,02:10:41,01:26:26,04:06:33,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
18,Christopher Busset,18,MPRO,CAN,00:28:54,02:18:12,01:19:10,04:09:38,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
1,Eliot Scymanski,357,M25-29,USA,00:25:38,02:15:48,01:23:32,04:10:00,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
19,Paul Stevenson,34,MPRO,USA,00:25:51,02:14:46,01:26:04,04:10:09,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
20,Simon Bernier Lalonde,16,MPRO,CAN,00:25:58,02:16:33,01:23:49,04:10:25,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
1,Matthew Malone,173,M30-34,USA,00:28:26,02:18:50,01:18:51,04:10:33,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
1,Francisco Catalan Cepeda,342,M18-24,CHL,00:25:43,02:14:57,01:24:36,04:10:37,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
21,Andrew Keily,27,MPRO,USA,00:23:54,02:16:48,01:25:22,04:11:16,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
2,Devin Volk,165,M25-29,USA,00:26:48,02:18:12,01:23:28,04:12:39,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
3,Brad Miles,610,M25-29,USA,00:28:38,02:23:08,01:15:57,04:12:42,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
4,Conrad Sanders,161,M25-29,USA,00:28:50,02:16:30,01:22:44,04:12:56,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
2,Timon Fish,624,M30-34,USA,00:28:38,02:13:02,01:26:40,04:13:44,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
3,Vant Lammers,1704,M30-34,USA,00:27:40,02:21:44,01:18:53,04:13:57,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
2,Paula Findlay,45,FPRO,CAN,00:25:03,02:19:51,01:25:43,04:14:03,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
22,Ryan Waddington,38,MPRO,AUS,00:26:01,02:23:45,01:21:19,04:14:47,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
5,Davis Frease,157,M25-29,USA,00:26:29,02:19:22,01:25:38,04:15:32,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
4,Brian Mancini,628,M30-34,USA,00:29:29,02:16:38,01:24:13,04:15:53,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
3,Heather Wurtele,47,FPRO,CAN,00:26:45,02:21:08,01:24:27,04:15:55,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
2,Travis Wood,605,M18-24,USA,00:29:07,02:16:28,01:25:40,04:16:10,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
4,Skye Moench,72,FPRO,USA,00:27:23,02:20:25,01:24:38,04:16:20,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
23,Max Biessmann,17,MPRO,USA,00:25:40,02:19:30,01:27:06,04:16:40,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
24,Christopher Tommila,35,MPRO,USA,00:28:51,02:20:01,01:23:51,04:16:49,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
5,Jackie Hering,56,FPRO,USA,00:26:28,02:25:08,01:21:29,04:17:03,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
25,Jonathan Waltman,39,MPRO,USA,00:27:55,02:19:48,01:26:11,04:18:11,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
6,Sarah Piampiano,52,FPRO,USA,00:29:49,02:21:11,01:23:56,04:18:48,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
1,Kyle Hummel,188,M35-39,USA,00:29:12,02:16:58,01:28:18,04:19:09,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
6,Bren Winbrock,166,M25-29,USA,00:29:03,02:22:47,01:22:54,04:19:21,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
2,Jason Lentzke,2840,M35-39,USA,00:30:10,02:18:58,01:25:00,04:19:22,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
5,Tom De Bruyn,169,M30-34,BEL,00:31:11,02:18:29,01:25:02,04:19:25,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
7,Justin Clark,350,M25-29,USA,00:28:25,02:15:46,01:30:12,04:19:31,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
7,Jocelyn McCauley,51,FPRO,USA,00:24:59,02:21:42,01:29:01,04:20:06,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
1,Asier Etxezarreta Aiertza,205,M40-44,ESP,00:33:57,02:15:32,01:24:36,04:20:07,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
26,Mark Kolding,28,MPRO,USA,00:28:04,02:24:11,01:24:44,04:20:34,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
3,Jeff Scarella,199,M35-39,USA,00:29:05,02:22:26,01:25:47,04:22:35,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
8,Heather Jackson,48,FPRO,USA,00:29:17,02:22:50,01:27:05,04:22:42,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
8,Joachim Philipps,1560,M25-29,FRA,00:28:34,02:24:53,01:24:52,04:23:13,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
6,Bruce Deakyne,364,M30-34,USA,00:25:31,02:28:18,01:24:37,04:23:38,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
9,Jennifer Spieldenner,53,FPRO,USA,00:25:01,02:26:30,01:28:41,04:23:48,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
7,Daniel Kenney,1694,M30-34,USA,00:32:03,02:22:56,01:23:56,04:24:11,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
10,Jen Annett,58,FPRO,CAN,00:29:39,02:21:11,01:29:20,04:24:16,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
11,Linsey Corbin,49,FPRO,USA,00:28:09,02:26:22,01:26:55,04:25:09,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
4,James O'Sullivan,196,M35-39,GBR,00:29:12,02:25:44,01:25:23,04:25:23,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
8,Nicholas Parton,176,M30-34,USA,00:31:50,02:22:02,01:26:40,04:25:57,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
9,Parker Watt,378,M30-34,USA,00:26:28,02:27:43,01:26:02,04:26:07,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
12,Cecilia Davis-Hayes,63,FPRO,USA,00:29:36,02:23:33,01:29:18,04:26:12,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
10,Julian Wheating,2830,M30-34,USA,00:30:41,02:24:37,01:25:59,04:26:18,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
1,Tim Hola,221,M45-49,USA,00:25:37,02:28:01,01:27:59,04:26:27,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
2,Karel Sumbal,211,M40-44,CZE,00:31:03,02:26:25,01:23:21,04:26:42,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
27,Matthew Shanks,19,MPRO,USA,00:29:37,02:22:39,01:30:12,04:26:54,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
3,Jacob Ford,433,M40-44,USA,00:29:06,02:22:07,01:29:54,04:26:56,Ironman 70.3 St. George,05/04/2019,"St. George, Utah, USA"
