Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Andrew Starykowicz,3,MPRO,USA,00:29:26,01:58:30,01:18:13,03:50:12,Ironman 70.3 Steelhead,08/13/2017,"Benton Harbor, Michigan, USA"
2,Matt Hanson,5,MPRO,USA,00:30:40,02:06:30,01:10:55,03:52:19,Ironman 70.3 Steelhead,08/13/2017,"Benton Harbor, Michigan, USA"
3,Joe Gambles,1,MPRO,AUS,00:30:17,02:05:08,01:15:07,03:54:33,Ironman 70.3 Steelhead,08/13/2017,"Benton Harbor, Michigan, USA"
4,Jackson Laundry,15,MPRO,CAN,00:30:37,02:05:00,01:17:23,03:56:35,Ironman 70.3 Steelhead,08/13/2017,"Benton Harbor, Michigan, USA"
5,Kyle Buckingham,6,MPRO,ZAF,00:30:42,02:06:38,01:16:12,03:57:33,Ironman 70.3 Steelhead,08/13/2017,"Benton Harbor, Michigan, USA"
6,James Hadley,14,MPRO,GBR,00:30:06,02:05:22,01:19:50,03:59:34,Ironman 70.3 Steelhead,08/13/2017,"Benton Harbor, Michigan, USA"
7,Kieran Roche,24,MPRO,AUS,00:29:21,02:05:55,01:21:10,04:00:33,Ironman 70.3 Steelhead,08/13/2017,"Benton Harbor, Michigan, USA"
8,Kevin Ryan,34,MPRO,USA,00:29:11,02:06:15,01:20:54,04:00:47,Ironman 70.3 Steelhead,08/13/2017,"Benton Harbor, Michigan, USA"
9,Matt Russell,8,MPRO,USA,00:31:42,02:07:54,01:19:39,04:03:21,Ironman 70.3 Steelhead,08/13/2017,"Benton Harbor, Michigan, USA"
1,Daniel Stubleski,124,M40-44,USA,00:29:50,02:12:43,01:14:36,04:01:32,Ironman 70.3 Steelhead,08/13/2017,"Benton Harbor, Michigan, USA"
1,Ryan Giuliano,1987,M30-34,USA,00:30:35,02:11:59,01:15:46,04:02:08,Ironman 70.3 Steelhead,08/13/2017,"Benton Harbor, Michigan, USA"
10,Justin Park,28,MPRO,USA,00:31:33,02:11:15,01:18:22,04:05:38,Ironman 70.3 Steelhead,08/13/2017,"Benton Harbor, Michigan, USA"
11,Derek Kidwell,29,MPRO,USA,00:30:30,02:06:31,01:26:18,04:07:20,Ironman 70.3 Steelhead,08/13/2017,"Benton Harbor, Michigan, USA"
12,Alex Libin,21,MPRO,USA,00:30:29,02:15:38,01:18:16,04:08:48,Ironman 70.3 Steelhead,08/13/2017,"Benton Harbor, Michigan, USA"
