Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Andrew Starykowicz,30,MPRO,USA,00:26:17,01:56:47,01:20:30,03:47:09,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
2,Joe Gambles,39,MPRO,AUS,00:26:21,02:05:23,01:13:58,03:49:08,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
3,Taylor Reid,50,MPRO,CAN,00:26:23,02:05:34,01:14:22,03:49:27,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
4,TJ Tollakson,55,MPRO,USA,00:26:47,02:04:43,01:18:13,03:53:42,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
5,Andre Lopes,47,MPRO,BRA,00:26:26,02:05:48,01:19:16,03:55:01,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
6,Steven Zawaski,58,MPRO,USA,00:26:25,02:05:32,01:19:42,03:55:04,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
7,Patrick Brady,35,MPRO,USA,00:29:57,02:06:11,01:16:00,03:55:37,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
8,Jesse Vondracek,56,MPRO,USA,00:28:07,02:07:52,01:19:48,03:59:22,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
9,Blake Becker,33,MPRO,USA,00:28:21,02:07:39,01:19:57,03:59:43,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
1,Ryan Giuliano,1980,M35-39,USA,00:31:48,02:10:20,01:14:15,03:59:55,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
10,Clay Emge,37,MPRO,USA,00:28:17,02:12:25,01:15:29,04:00:26,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
11,Sean Harrington,43,MPRO,USA,00:26:24,02:11:29,01:19:39,04:00:59,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
1,Brian Reynolds,1969,M30-34,USA,00:28:43,02:10:06,01:19:53,04:02:39,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
12,Jonathan Waltman,57,MPRO,USA,00:28:11,02:12:50,01:19:24,04:04:22,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
13,Benson Hall,42,MPRO,USA,00:28:17,02:07:48,01:25:12,04:04:50,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
2,Neal Ross,1970,M30-34,USA,00:28:19,02:11:32,01:21:05,04:05:05,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
1,Daniel Stubleski,2073,M40-44,USA,00:30:28,02:13:21,01:17:34,04:05:40,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
1,Jackie Hering,11,FPRO,USA,00:28:29,02:17:41,01:18:10,04:08:20,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
14,Daniel Pearson,48,MPRO,USA,00:29:52,02:13:53,01:21:56,04:09:18,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
15,Garrick Loewen,46,MPRO,CAN,00:26:17,02:16:45,01:23:59,04:10:40,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
1,Cameron Hackett,137,M18-24,USA,00:27:05,02:13:01,01:26:41,04:10:45,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
3,Michael Tomchaney,208,M30-34,USA,00:33:37,02:12:34,01:21:27,04:12:27,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
4,Derek Stone,207,M30-34,USA,00:30:31,02:20:26,01:17:33,04:12:51,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
16,Andrew Bolton,34,MPRO,CAN,00:29:30,02:11:27,01:29:05,04:14:06,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
17,Chad Holderbaum,44,MPRO,USA,00:29:36,02:16:12,01:25:25,04:15:20,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
2,Meredith Kessler,2,FPRO,USA,00:27:39,02:18:34,01:26:39,04:16:32,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
5,Justin Herrick,1115,M30-34,USA,00:28:59,02:19:31,01:25:16,04:18:21,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
6,Curtis Anderson,1957,M30-34,USA,00:31:36,02:12:46,01:28:27,04:18:52,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
18,Jeremy Rielley,51,MPRO,USA,00:29:58,02:21:42,01:24:22,04:19:37,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
2,Vincenzo Marchione,153,M40-44,USA,00:33:27,02:15:49,01:25:48,04:19:42,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
3,James Harrington,152,M40-44,USA,00:34:48,02:14:01,01:26:02,04:19:44,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
19,Erik Peterson,49,MPRO,USA,00:28:19,02:23:07,01:23:39,04:19:58,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
2,Luciano Ros,149,M35-39,ARG,00:34:06,02:14:49,01:27:14,04:20:29,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
7,Sebastian Pradilla,205,M30-34,USA,00:28:42,02:18:43,01:28:12,04:21:08,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
20,Pablo Gomez,41,MPRO,COL,00:28:20,02:07:48,01:41:33,04:21:47,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
1,Levente Lukacs,1953,M25-29,HUN,00:27:21,02:18:32,01:32:13,04:22:00,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
8,Eric Abbott,198,M30-34,USA,00:28:31,02:10:55,01:38:17,04:22:12,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
1,Patrice Brisindi,234,M45-49,CAN,00:29:35,02:19:01,01:28:56,04:22:16,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
2,Eric Reichert,197,M25-29,USA,00:32:25,02:20:08,01:25:30,04:22:19,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
3,Dede Griesbauer,9,FPRO,USA,00:28:26,02:17:49,01:33:07,04:23:40,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
21,Beau Garufi,40,MPRO,USA,00:27:12,02:13:38,01:39:19,04:24:41,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
4,Lauren Barnett,3,FPRO,USA,00:32:24,02:24:08,01:24:50,04:25:09,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
1,David Forsee,2020,M50-54,USA,00:31:41,02:18:50,01:29:32,04:25:56,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
5,Christine Cross,4,FPRO,USA,00:30:59,02:21:17,01:30:04,04:26:00,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
3,Max Novitsky,196,M25-29,USA,00:35:17,02:17:30,01:29:19,04:26:26,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
6,Rachel Olson,16,FPRO,USA,00:26:54,02:24:41,01:31:08,04:26:41,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
9,Jordan English,1099,M30-34,USA,00:33:46,02:21:32,01:27:16,04:26:45,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
10,Ryan Hackett,202,M30-34,USA,00:32:21,02:16:58,01:32:36,04:26:56,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
4,Adam Robbert,1019,M25-29,USA,00:34:10,02:13:13,01:35:24,04:27:21,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
4,Scott Byram,318,M40-44,USA,00:35:01,02:12:55,01:33:26,04:27:37,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
11,Pierre Tamisier,1213,M30-34,FRA,00:34:51,02:18:25,01:29:51,04:27:58,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
12,Maxwell Matsanoff,203,M30-34,USA,00:36:28,02:13:41,01:33:12,04:28:13,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
13,Duran Greene,1959,M30-34,USA,00:32:17,02:18:23,01:33:16,04:28:36,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
14,Pepe Garcia,1108,M30-34,PRI,00:38:17,02:16:54,01:28:58,04:29:00,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
5,Scott Smith,1034,M25-29,USA,00:32:11,02:25:24,01:27:24,04:29:21,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
3,Eric Smithback,1366,M35-39,USA,00:35:52,02:21:53,01:26:29,04:29:25,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
7,Maddy Pesch,17,FPRO,USA,00:29:45,02:22:22,01:33:10,04:29:34,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
5,Matt Smith,1517,M40-44,USA,00:32:23,02:17:54,01:32:48,04:29:58,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
4,Sean MacLaurin,1317,M35-39,USA,00:34:51,02:16:31,01:33:13,04:30:00,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
15,Dave Leveque,1147,M30-34,USA,00:29:58,02:19:31,01:36:24,04:30:23,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
16,Yaniv Shnaider,1201,M30-34,ISR,00:27:13,02:21:54,01:35:57,04:30:27,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
17,Scott Lorson,143,M30-34,USA,00:34:33,02:22:19,01:28:38,04:30:45,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
18,Mitchel Jankowski,142,M30-34,USA,00:36:35,02:17:39,01:31:37,04:31:15,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
6,Matthew Davidson,151,M40-44,USA,00:36:04,02:13:09,01:37:16,04:31:23,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
5,Adam Weeks,1385,M35-39,USA,00:36:39,02:21:11,01:27:37,04:31:44,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
6,Nicholas Tranbarger,1379,M35-39,USA,00:35:07,02:12:50,01:39:36,04:31:52,Ironman 70.3 Steelhead ,06/30/2019,"Benton Harbor, Michigan"
