Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Timothy James Reed,1,MPRO,AUS,00:24:35,02:13:46,01:23:17,04:04:33,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
2,Tim Van Berkel,2,MPRO,AUS,00:24:34,02:13:46,01:27:17,04:08:36,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
3,Nicholas Baldwin,5,MPRO,SYC,00:26:31,02:14:06,01:25:37,04:09:07,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
4,Alexander Polizzi,8,MPRO,AUS,00:23:21,02:14:54,01:31:15,04:12:36,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
1,Chia-Hao Chang,100,M18-24,TWN,00:25:19,02:23:38,01:29:02,04:21:45,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
1,Team Pangasinan Multisport,3372,RELAY-M,PHL,00:28:52,02:26:19,01:29:14,04:28:50,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
1,Guillaume Rondy,246,M35-39,FRA,00:27:52,02:21:53,01:35:19,04:28:59,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
1,Caroline ​claudia Steffen,16,FPRO,CHE,00:26:53,02:24:54,01:34:17,04:29:15,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
5,Sam​uel Melle​ Betten,3,MPRO,AUS,00:23:30,02:18:25,01:45:07,04:30:24,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
1,Simon Gallot,178,M30-34,FRA,00:27:50,02:20:15,01:45:23,04:37:14,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
2,Dimity Lee Duke,17,FPRO,AUS,00:29:58,02:28:23,01:41:25,04:42:59,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
6,August Benedicto,26,MPRO,PHL,00:32:09,02:27:06,01:42:09,04:44:04,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
3,Laura Wood,18,FPRO,NZL,00:27:01,02:38:02,01:38:07,04:46:23,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
2,Petr Lukosz,268,M35-39,CZE,00:30:21,02:26:59,01:43:57,04:46:50,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
2,Hubert Król,621,M30-34,POL,00:27:40,02:27:12,01:50:05,04:48:34,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
3,Mattia Anesa,603,M35-39,ITA,00:29:08,02:34:59,01:42:48,04:50:32,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
4,Lisa Tyack,19,FPRO,AUS,00:29:54,02:40:44,01:36:44,04:50:38,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
7,Leonard Rondina,29,MPRO,PHL,00:31:18,02:21:34,01:54:04,04:50:45,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
2,Arnaud De Lustrac,109,M18-24,FRA,00:27:35,02:27:17,01:53:21,04:51:41,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
8,Banjo Norte,28,MPRO,PHL,00:28:40,02:33:44,01:47:34,04:52:51,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
9,Connor McKay,4,MPRO,AUS,00:28:02,02:25:32,01:57:03,04:53:58,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
3,Dale Jamieson,212,M30-34,AUS,00:30:17,02:38:14,01:45:28,04:59:01,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
1,Tomas Latorre,537,M50-54,ESP,00:32:43,02:39:47,01:41:55,04:59:30,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
10,Jorry Ycong,27,MPRO,PHL,00:28:07,02:32:11,01:56:52,05:00:55,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
1,Team One Triathlon,3361,RELAY-MIX,PHL,00:29:44,02:48:30,01:36:35,05:01:04,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
5,Manami Iijima,21,FPRO,GUM,00:25:55,02:34:11,01:59:03,05:02:19,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
1,Jarand Fjeld,418,M40-44,NOR,00:35:40,02:30:35,01:55:26,05:05:32,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
2,Team Sun Life,3376,RELAY-M,PHL,00:23:33,02:54:42,01:42:27,05:06:05,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
4,Ralph Francistino Arche,599,M35-39,PHL,00:30:22,02:44:37,01:47:54,05:06:22,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
4,Nicson Tongco,168,M30-34,PHL,00:32:32,02:40:50,01:51:43,05:08:41,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
1,Team Globe Tri Team 4,3354,RELAY-MIX,PHL,00:43:36,02:38:10,01:46:35,05:13:29,Ironman 70.3 Subic Bay,06/02/2019,"Subic Bay, Philippines"
