Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Andy Wibowo,1757,M35-39,IDN,00:27:40,02:31:30,01:33:25,04:39:39,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Giovanni Bella,1575,M25-29,ITA,00:30:16,02:32:37,01:38:31,04:48:41,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
2,Giulio Vanni,1576,M25-29,ITA,00:33:52,02:42:38,01:33:43,04:57:32,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Naune Elison Mejares,1588,M30-34,PHL,00:36:27,02:42:56,01:34:46,05:00:09,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Brittany Campbell,1850,F25-29,AUS,00:29:29,02:50:11,01:44:18,05:10:47,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
2,Toan Tran,1586,M30-34,VNM,00:37:20,02:37:12,01:48:25,05:12:09,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Pankaj Ravalu,1553,M18-24,IND,00:37:07,02:45:30,01:43:27,05:15:20,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Claire Walton,1851,F30-34,GBR,00:33:45,02:56:54,01:36:25,05:15:22,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
2,Ralph Francistino Arche,1761,M35-39,PHL,00:31:19,02:52:00,01:43:38,05:15:41,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Guido Klingbeil,1683,M40-44,DEU,00:36:06,02:34:54,01:57:59,05:16:06,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
3,Simon Jones,1628,M35-39,QAT,00:31:56,02:52:43,01:43:05,05:17:29,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
2,Chiquito Obeso Jr.,1559,M18-24,PHL,00:37:18,02:39:42,01:54:52,05:19:29,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Vicente Luis Catalan Bernia,1700,M45-49,ESP,00:39:48,02:53:59,01:38:56,05:20:24,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Koji Muroya,1733,M55-59,JPN,00:32:20,02:52:12,01:47:29,05:21:20,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
3,Neil Adrian Aynera,1556,M18-24,PHL,00:28:50,02:50:49,01:55:47,05:21:38,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Inge Prasetyo,1846,F35-39,IDN,00:32:01,02:54:28,01:47:49,05:22:00,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
3,Ge Wan,1769,M30-34,CHN,00:34:00,03:06:42,01:37:54,05:24:29,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Lance Watson,1900,M50-54,CAN,00:29:37,02:44:21,02:03:35,05:24:45,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
2,Michael J Rice,1710,M45-49,JPN,00:40:14,02:37:56,01:49:55,05:25:10,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
3,Frank Hesse,1713,M45-49,FRA,00:40:13,02:46:18,01:51:27,05:25:56,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
4,Frank Mathews,1697,M45-49,ZAF,00:31:42,03:01:57,01:44:24,05:27:13,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
2,Keith Peralta,1694,M40-44,PHL,00:34:17,02:54:33,01:50:16,05:27:27,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
3,Jefrey Codino,1663,M40-44,PHL,00:42:28,02:48:51,01:48:17,05:27:42,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
4,Andrei Sajulga,1551,M18-24,PHL,00:37:10,02:49:31,01:52:55,05:27:44,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
5,Rakesh Oberoi,1785,M45-49,SGP,00:39:52,02:48:00,01:49:52,05:27:46,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
4,Dmitrii Abramov,1754,M40-44,RUS,00:40:23,02:50:52,01:50:08,05:29:37,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
4,Michael Raymond Amistoso,1613,M35-39,PHL,00:42:22,02:53:11,01:47:26,05:30:43,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Anna Willett,1833,F45-49,AUS,00:33:57,02:59:11,01:50:30,05:31:17,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
5,Pierce Aeron Tan,1554,M18-24,PHL,00:38:34,02:55:44,01:49:40,05:31:53,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
2,Denis Mahot,1730,M55-59,FRA,00:33:54,02:48:37,01:59:10,05:32:19,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
3,Rune Stroem,1780,M55-59,NOR,00:35:48,02:44:38,02:04:08,05:34:17,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
4,Thomas Joyce,1602,M30-34,GBR,00:42:07,02:48:18,01:55:55,05:35:39,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
5,James Folino,1773,M35-39,AUS,00:36:36,03:03:17,01:48:00,05:36:46,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
5,Adrian Ocampo,1676,M40-44,PHL,00:43:07,02:52:13,01:48:01,05:39:07,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
3,Ray Lester Bajado,1568,M25-29,PHL,00:41:21,02:48:54,02:00:10,05:39:20,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
5,Jermyn Rogelle Batario,1583,M30-34,PHL,00:36:55,02:55:01,01:59:09,05:40:03,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
6,Prince Dann Allanigue,1592,M30-34,PHL,00:40:47,02:51:37,02:00:30,05:42:04,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
4,Stefan Economides,1729,M55-59,GBR,00:41:29,02:49:16,02:02:44,05:43:28,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
4,Luke Herbst,1561,M25-29,ZAF,00:29:51,03:07:30,01:57:49,05:43:45,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
6,Daniel Horton,1629,M35-39,NZL,00:38:17,02:37:04,02:20:51,05:44:53,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
6,Richard Santiago,1786,M45-49,PHL,00:42:21,02:58:31,01:56:08,05:45:34,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
7,Fede Ibanez,1595,M30-34,ARG,00:33:37,02:48:56,02:16:30,05:46:34,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
5,Donikko Fernan,1563,M25-29,PHL,00:42:32,02:56:55,02:01:41,05:48:57,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
6,Geron Guanlao,1742,M40-44,PHL,00:46:22,02:47:56,02:04:37,05:49:26,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
7,Stephen Willett,1705,M45-49,AUS,00:43:49,02:55:30,02:00:51,05:49:54,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
7,Victor Garcia,1759,M40-44,USA,00:33:58,02:59:52,02:07:59,05:51:02,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
7,Andy Ellmers,1632,M35-39,NZL,00:40:11,02:56:43,02:03:12,05:51:05,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
6,Rey R Chan,1558,M18-24,PHL,00:40:57,02:50:24,02:11:22,05:51:32,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
8,Julien Charles Valencia,1587,M30-34,PHL,00:48:32,03:01:28,01:52:36,05:52:30,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
2,Andrea Villanueva,1803,F25-29,PHL,00:32:10,03:09:53,02:04:27,05:53:57,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
8,Reymond Kelvin Dula,1638,M35-39,PHL,00:35:00,03:00:37,02:09:08,05:55:22,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
8,Carlo Suanes,1660,M40-44,PHL,00:39:57,02:53:24,02:11:29,05:55:25,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
9,Paul Espinosa,1743,M35-39,USA,00:37:56,03:10:13,01:54:35,05:55:41,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
9,Viet Tran,1778,M30-34,VNM,00:49:12,03:05:34,01:51:53,05:56:20,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
10,Bernard Brian Pingol,1635,M35-39,PHL,00:38:57,03:12:38,01:57:37,05:59:12,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
10,Gene Arvin Magampon,1584,M30-34,PHL,00:38:26,03:06:55,02:03:59,05:59:12,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
11,Hubert Odendhal,1585,M30-34,FRA,00:41:38,03:19:10,01:47:07,06:00:09,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
6,Jan Dennis Borbolla,1567,M25-29,PHL,00:45:25,03:12:46,01:54:36,06:00:55,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
1,Carly Relf,1844,F40-44,GBR,00:36:24,03:11:37,02:05:14,06:01:46,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
5,Alex Oviedo,1735,M55-59,CHL,00:40:34,03:10:11,02:03:06,06:02:31,Ironman 70.3 Subic Bay Philippines,06/03/2018,"Subic Bay, Philippines
"
