Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Aaron Royle,3,MPRO,Australia,00:21:35,02:07:03,01:12:38,03:45:14,Ironman 70.3 Sunshine Coast,09/13/2020,"Mooloolaba, Queensland, Australia"
2,Max Neumann,4,MPRO,Australia,00:21:42,02:07:04,01:13:27,03:46:02,Ironman 70.3 Sunshine Coast,09/13/2020,"Mooloolaba, Queensland, Australia"
3,Josh Amberger,1,MPRO,Australia,00:21:30,02:08:00,01:17:04,03:50:33,Ironman 70.3 Sunshine Coast,09/13/2020,"Mooloolaba, Queensland, Australia"
4,Steven McKenna,2,MPRO,Australia,00:23:03,02:09:06,01:15:19,03:51:20,Ironman 70.3 Sunshine Coast,09/13/2020,"Mooloolaba, Queensland, Australia"
5,David Mainwaring,6,MPRO,Australia,00:24:06,02:14:47,01:14:21,03:57:30,Ironman 70.3 Sunshine Coast,09/13/2020,"Mooloolaba, Queensland, Australia"
6,Edward Vining,12,MPRO,Australia,00:24:34,02:17:39,01:12:44,03:58:50,Ironman 70.3 Sunshine Coast,09/13/2020,"Mooloolaba, Queensland, Australia"
7,Lachlan Kerin,11,MPRO,Australia,00:24:05,02:05:39,01:25:34,03:59:34,Ironman 70.3 Sunshine Coast,09/13/2020,"Mooloolaba, Queensland, Australia"
8,Alexander Polizzi,7,MPRO,Australia,00:22:54,02:14:02,01:18:56,04:00:09,Ironman 70.3 Sunshine Coast,09/13/2020,"Mooloolaba, Queensland, Australia"
9,Sam Betten,8,MPRO,Australia,00:23:03,02:17:29,01:18:19,04:02:58,Ironman 70.3 Sunshine Coast,09/13/2020,"Mooloolaba, Queensland, Australia"
1,Nathan Dortmann,1262,M25-29,Australia,00:26:52,02:15:03,01:16:51,04:03:28,Ironman 70.3 Sunshine Coast,09/13/2020,"Mooloolaba, Queensland, Australia"
10,Jarrod Harvey,9,MPRO,Australia,00:25:33,02:11:50,01:22:27,04:04:21,Ironman 70.3 Sunshine Coast,09/13/2020,"Mooloolaba, Queensland, Australia"
1,Team Last Minute Deals,1759,XRELAY,Australia,00:23:23,02:14:24,01:23:17,04:05:14,Ironman 70.3 Sunshine Coast,09/13/2020,"Mooloolaba, Queensland, Australia"
1,Malcolm Rudolph,1346,M30-34,Australia,00:27:15,02:16:31,01:19:54,04:09:10,Ironman 70.3 Sunshine Coast,09/13/2020,"Mooloolaba, Queensland, Australia"
1,Amelia Watkinson,38,FPRO,New Zealand,00:24:04,02:18:44,01:23:14,04:10:14,Ironman 70.3 Sunshine Coast,09/13/2020,"Mooloolaba, Queensland, Australia"
2,Dominic Churchett,381,M25-29,Australia,00:26:02,02:18:25,01:22:07,04:10:43,Ironman 70.3 Sunshine Coast,09/13/2020,"Mooloolaba, Queensland, Australia"
1,Team Team Barnes,1761,FRELAY,Australia,00:21:30,02:14:45,01:29:59,04:11:02,Ironman 70.3 Sunshine Coast,09/13/2020,"Mooloolaba, Queensland, Australia"
