Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Davis Frease,22,M25-29,USA,00:25:06,02:08:27,01:39:38,04:16:57,Ironman 70.3 Superfrog,09/15/2019,"Imperial Beach, California, USA"
1,Adam Bailey,203,M30-34,GBR,00:31:58,02:14:30,01:29:47,04:20:59,Ironman 70.3 Superfrog,09/15/2019,"Imperial Beach, California, USA"
1,Matthew Davis,59,M35-39,USA,00:29:11,02:12:15,01:35:22,04:21:20,Ironman 70.3 Superfrog,09/15/2019,"Imperial Beach, California, USA"
2,Brett King,19,M30-34,USA,00:25:41,02:15:12,01:39:30,04:24:36,Ironman 70.3 Superfrog,09/15/2019,"Imperial Beach, California, USA"
1,Adam Piendel,362,M18-24,USA,00:27:05,02:17:40,01:40:29,04:29:50,Ironman 70.3 Superfrog,09/15/2019,"Imperial Beach, California, USA"
2,Juan Rocha,986,M35-39,USA,00:32:46,02:17:56,01:35:01,04:29:59,Ironman 70.3 Superfrog,09/15/2019,"Imperial Beach, California, USA"
1,Shawn Finnicum,27,M40-44,USA,00:31:57,02:18:47,01:38:11,04:33:22,Ironman 70.3 Superfrog,09/15/2019,"Imperial Beach, California, USA"
3,Joel Harding,129,M30-34,USA,00:30:46,02:19:57,01:37:54,04:33:27,Ironman 70.3 Superfrog,09/15/2019,"Imperial Beach, California, USA"
4,Scott Tonder,37,M30-34,USA,00:27:06,02:17:00,01:45:05,04:33:53,Ironman 70.3 Superfrog,09/15/2019,"Imperial Beach, California, USA"
2,Brad Mastros,750,M40-44,USA,00:28:06,02:15:29,01:44:42,04:34:03,Ironman 70.3 Superfrog,09/15/2019,"Imperial Beach, California, USA"
3,Lewis Anderson,167,M35-39,USA,00:26:44,02:18:16,01:46:23,04:35:52,Ironman 70.3 Superfrog,09/15/2019,"Imperial Beach, California, USA"
4,Frederic Nolin,23,M35-39,CAN,00:31:19,02:13:05,01:47:21,04:36:12,Ironman 70.3 Superfrog,09/15/2019,"Imperial Beach, California, USA"
2,Bobby Thorborg,165,M25-29,USA,00:26:36,02:23:02,01:43:57,04:37:34,Ironman 70.3 Superfrog,09/15/2019,"Imperial Beach, California, USA"
5,Matthew Roberts,949,M30-34,USA,00:30:57,02:24:31,01:38:10,04:38:27,Ironman 70.3 Superfrog,09/15/2019,"Imperial Beach, California, USA"
2,Hunter Cochran,413,M18-24,USA,00:26:27,02:23:45,01:44:35,04:39:01,Ironman 70.3 Superfrog,09/15/2019,"Imperial Beach, California, USA"
3,Cooper Bates,937,M18-24,USA,00:33:08,02:25:50,01:35:49,04:39:03,Ironman 70.3 Superfrog,09/15/2019,"Imperial Beach, California, USA"
1,Danek Aerden,335,M45-49,BEL,00:29:06,02:20:58,01:45:09,04:40:01,Ironman 70.3 Superfrog,09/15/2019,"Imperial Beach, California, USA"
