Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Davis Frease,169,M25-29,USA,00:28:23,02:13:42,01:30:15,04:15:44,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
1,Joel Maley,119,M35-39,CAN,00:34:02,02:12:07,01:28:03,04:18:18,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
2,Matthew Davis,24,M35-39,USA,00:32:19,02:15:54,01:26:25,04:19:05,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
2,Henry Eaton,88,M25-29,GBR,00:27:51,02:11:28,01:39:08,04:22:01,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
1,Samuel Burkett,134,M40-44,USA,00:29:10,02:20:27,01:29:21,04:23:09,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
3,Marcus Farris,168,M25-29,USA,00:30:34,02:17:02,01:33:57,04:25:22,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
1,Gage Hale,1030,M18-24,USA,00:32:35,02:20:04,01:29:13,04:26:56,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
4,Vincent Blais,79,M25-29,CAN,00:34:57,02:15:17,01:32:45,04:27:08,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
2,Oliver Spurzem,37,M40-44,DEU,00:31:32,02:20:17,01:31:51,04:28:07,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
5,Johannes Olind,22,M25-29,USA,00:32:51,02:22:06,01:29:31,04:28:23,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
3,Raynard Picard,1061,M35-39,MEX,00:37:13,02:16:13,01:28:48,04:28:31,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
4,Juan Rocha,275,M35-39,MEX,00:36:30,02:18:29,01:29:37,04:28:50,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
6,Patrick Trabert,30,M25-29,USA,00:28:04,02:20:07,01:37:29,04:29:04,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
1,Eric Travis,38,M45-49,CAN,00:31:22,02:17:06,01:36:15,04:29:43,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
1,Jeff Fieldhack,1090,M50-54,USA,00:32:05,02:17:42,01:35:12,04:30:25,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
2,Curtis Royek,435,M18-24,USA,00:33:46,02:14:38,01:38:08,04:30:32,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
3,Connor Wernecke,46,M18-24,USA,00:30:32,02:17:47,01:39:10,04:31:06,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
5,Jonathan Feddock,192,M35-39,USA,00:31:25,02:19:26,01:35:56,04:31:12,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
7,Deo Erik Paolo Timbol,215,M25-29,PHL,00:30:51,02:20:41,01:34:32,04:31:57,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
6,Matthew Shaffer,26,M35-39,USA,00:36:22,02:18:19,01:34:04,04:32:56,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
1,Scott Tonder,129,M30-34,USA,00:30:15,02:17:22,01:41:18,04:33:17,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
3,Austin Jackson,142,M40-44,USA,00:34:06,02:18:14,01:36:49,04:33:43,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
7,Justin Topping,193,M35-39,USA,00:37:26,02:18:39,01:32:53,04:34:31,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
4,Jonathan Mason,36,M40-44,USA,00:30:02,02:24:15,01:36:02,04:34:49,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
8,Shawn Finnicum,21,M35-39,USA,00:33:59,02:22:20,01:34:57,04:35:20,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
2,Benjamin Guillemin,27,M45-49,CAN,00:34:37,02:22:57,01:33:52,04:35:43,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
3,Jeremy Szymanowski,915,M45-49,USA,00:27:04,02:25:40,01:38:31,04:36:01,Ironman 70.3 Superfrog,09/16/2018,"Imperial Beach, California"
