Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Ruedi Wild,21,M PRO,---,00:23:48,02:07:56,01:14:36,03:49:38,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
2,James Cunnama,46,M PRO,---,00:23:50,02:09:40,01:13:49,03:51:06,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
3,Sven Riederer,24,M PRO,---,00:23:08,02:08:30,01:16:58,03:51:54,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
4,Jan van Berkel,23,M PRO,---,00:23:55,02:07:54,01:19:32,03:54:21,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
5,Manuel Kueng,40,M PRO,---,00:23:06,02:08:22,01:20:24,03:55:10,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
6,Ronnie Schildknecht,22,M PRO,---,00:25:14,02:10:11,01:18:58,03:58:03,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
7,Kevin Maurel,47,M PRO,---,00:25:17,02:15:36,01:18:50,04:03:04,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
8,Samuel Huerzeler,29,M PRO,---,00:25:22,02:16:30,01:18:19,04:04:14,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
9,David Bill,31,M PRO,---,00:27:06,02:20:39,01:16:14,04:07:03,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
10,Bartosz Banach,36,M PRO,---,00:27:34,02:13:14,01:24:01,04:08:20,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
11,Sebastien Moreau,45,M PRO,---,00:30:31,02:17:52,01:16:14,04:08:50,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
1,Urs Schiess,928,M 30-34,---,00:28:20,02:17:41,01:21:30,04:11:38,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
1,Team Team Mondialbike,2648,ELAY,---,00:34:00,02:14:40,01:22:45,04:14:08,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
12,Urs Müller,27,M PRO,---,00:25:19,02:16:49,01:28:14,04:14:16,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
2,Team DOOMsday III,2549,ELAY,---,00:26:44,02:22:02,01:22:38,04:14:48,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
2,Samuel Jud,681,M 30-34,---,00:26:34,02:17:32,01:26:36,04:14:48,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
13,Michael Göhner,49,M PRO,---,00:26:17,02:14:44,01:31:06,04:15:59,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
1,Nicolas Beyeler,2334,M 40-44,---,00:28:46,02:14:41,01:29:24,04:17:13,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
1,Christoph Luginbuehl,948,M 35-39,---,00:30:08,02:23:56,03:29:14,06:27:53,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
3,Team Pele,2509,ELAY,---,00:28:31,02:18:09,01:27:14,04:17:31,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
3,Max Knier,682,M 30-34,---,00:35:11,02:20:11,01:18:12,04:17:59,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
4,Team SC Amden,2596,ELAY,---,00:30:21,02:16:27,01:28:15,04:18:02,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
2,Pascal Faden,941,M 35-39,---,00:29:59,02:36:41,03:29:09,06:40:38,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
3,Rafael Wyss,2328,M 35-39,---,00:29:38,02:18:01,01:25:44,04:18:33,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
4,Stefan Sulser,1260,M 35-39,---,00:30:00,02:17:49,01:26:34,04:19:26,Ironman 70.3 Switzerland,06/11/2017,"Rapperswil-Jona, Switzerland"
