Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Dan Wilson,1,M PRO,AUS,00:23:52,02:04:23,01:12:06,03:42:12,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
2,Tim Reed,2,M PRO,AUS,00:24:38,02:03:14,01:13:40,03:43:34,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
3,Braden Currie,11,M PRO,NZL,00:24:48,02:03:04,01:13:40,03:43:37,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
4,Sam Appleton,7,M PRO,AUS,00:23:54,02:04:11,01:14:53,03:44:50,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
5,Joe Gambles,9,M PRO,AUS,00:24:56,02:02:57,01:16:37,03:46:26,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
6,Aaron Royle,14,M PRO,AUS,00:23:13,02:04:43,01:17:10,03:47:12,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
7,Sam Betten,16,M PRO,AUS,00:23:58,02:03:46,01:18:47,03:48:45,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
8,Michael Raelert,3,M PRO,DEU,00:24:49,02:03:11,01:20:22,03:50:26,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
9,Jake Montgomery,5,M PRO,AUS,00:24:30,02:03:30,01:24:18,03:54:25,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
10,Casey Munro,12,M PRO,AUS,00:24:33,02:10:26,01:19:52,03:56:58,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
11,Alex Reithmeier,28,M PRO,AUS,00:25:28,02:12:22,01:17:13,03:57:08,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
12,Lachlan Kerin,23,M PRO,AUS,00:26:23,02:08:22,01:20:18,03:57:24,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
13,Paul Ambrose,8,M PRO,AUS,00:26:26,02:08:25,01:22:06,03:59:10,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
14,Simon Cochrane,18,M PRO,NZL,00:25:29,02:09:38,01:22:42,04:00:12,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
15,Tim Rea,27,M PRO,AUS,00:26:24,02:11:25,01:19:49,04:00:18,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
1,Jack Tierney,155,M 18-24,AUS,00:24:36,02:12:11,01:21:49,04:01:10,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
2,Caleb Noble,992,M 18-24,AUS,00:26:16,02:14:21,01:19:30,04:02:43,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
16,James Davy,19,M PRO,AUS,00:24:50,02:09:13,01:25:11,04:02:56,Ironman 70.3 Sydney,11/26/2017,"Western Sydney, New South Wales"
