Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Nicolas Uribe,56,M25-29,COL,00:26:40,02:23:27,01:22:18,04:16:49,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
1,David Slavinski,1264,M45-49,USA,00:31:41,02:32:51,01:22:06,04:31:10,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
1,Tim Maxon,710,M30-34,USA,00:27:10,02:33:32,01:27:03,04:32:06,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
2,David Hainish,687,M30-34,CAN,00:30:16,02:31:05,01:31:05,04:37:54,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
2,Peter Ronco,30,M45-49,USA,00:31:31,02:38:31,01:24:50,04:39:34,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
1,Ryan Tober,50,M18-24,USA,00:29:51,02:31:40,01:34:32,04:41:20,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
1,Daniel Torba,835,M35-39,USA,00:26:49,02:33:00,01:36:22,04:41:42,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
3,Scott Manser,1259,M45-49,CAN,00:32:01,02:30:47,01:34:08,04:42:06,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
2,Pierre-Martin Aussant,756,M35-39,CAN,00:30:56,02:37:03,01:30:57,04:44:41,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
3,Mike Consolini,661,M30-34,USA,00:39:39,02:28:46,01:29:53,04:44:45,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
3,Timothy Collins,129,M35-39,CAN,00:32:01,02:40:33,01:27:09,04:45:04,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
4,Julien Schoenborn,25,M35-39,CAN,00:32:57,02:38:31,01:29:25,04:45:53,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
2,Kyle Williams,58,M25-29,USA,00:25:47,02:33:25,01:41:01,04:46:58,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
5,Jeff Dugan,1249,M35-39,USA,00:34:30,02:38:58,01:28:14,04:47:04,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
3,Jonathan Cyganik,574,M25-29,USA,00:34:16,02:41:50,01:26:13,04:47:07,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
6,Joseph Sullivan,69,M35-39,USA,00:33:56,02:36:05,01:30:51,04:47:32,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
1,David Zimmet,1257,M40-44,USA,00:29:02,02:39:25,01:33:03,04:47:37,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
4,Benjamin Riordon,29,M45-49,USA,00:30:23,02:33:55,01:39:12,04:48:52,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
2,Joey Dussich,226,M40-44,USA,00:30:40,02:37:54,01:35:47,04:51:15,Ironman 70.3 Syracuse,06/17/2018,"Syracuse, New York, USA
"
