Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,謝 昇諺,2,MPRO,Taiwan,00:22:35,02:07:15,01:49:06,04:24:04,Ironman 70.3 Taiwan,09/13/2020,"Taitung, Taiwan"
1,王 志袁,1309,M40-44,Taiwan,00:34:10,02:17:37,01:32:47,04:29:31,Ironman 70.3 Taiwan,09/13/2020,"Taitung, Taiwan"
1,Team 南投鐵人,3025,MRELAY,Taiwan,00:36:11,02:18:57,01:36:47,04:36:36,Ironman 70.3 Taiwan,09/13/2020,"Taitung, Taiwan"
1,李 長泰,1117,M25-29,Taiwan,00:33:55,02:31:23,01:34:56,04:45:50,Ironman 70.3 Taiwan,09/13/2020,"Taitung, Taiwan"
1,江 立堯,1202,M35-39,Taiwan,00:39:02,02:25:01,01:35:53,04:46:21,Ironman 70.3 Taiwan,09/13/2020,"Taitung, Taiwan"
2,梁 祐榮,1412,M40-44,Taiwan,00:29:18,02:27:54,01:42:51,04:47:19,Ironman 70.3 Taiwan,09/13/2020,"Taitung, Taiwan"
1,郭 家齊,1002,F18-24,Taiwan,00:27:48,02:31:56,01:43:33,04:47:59,Ironman 70.3 Taiwan,09/13/2020,"Taitung, Taiwan"
3,艾 華德,1402,M40-44,Taiwan,00:34:09,02:33:23,01:38:43,04:52:12,Ironman 70.3 Taiwan,09/13/2020,"Taitung, Taiwan"
1,劉 光武,1180,M30-34,Taiwan,00:35:45,02:30:52,01:42:44,04:55:47,Ironman 70.3 Taiwan,09/13/2020,"Taitung, Taiwan"
2,梁 騰瑜,1270,M35-39,Taiwan,00:31:30,02:30:44,01:47:39,04:57:31,Ironman 70.3 Taiwan,09/13/2020,"Taitung, Taiwan"
4,Inigo Gisbert,1399,M40-44,Spain,00:43:06,02:24:32,01:44:12,05:01:08,Ironman 70.3 Taiwan,09/13/2020,"Taitung, Taiwan"
2,陳 銘宗,1108,M25-29,Taiwan,00:35:56,02:29:55,01:47:56,05:02:32,Ironman 70.3 Taiwan,09/13/2020,"Taitung, Taiwan"
