Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Cody Beals,5,MPRO,Canada,00:25:40,02:01:08,01:13:28,03:46:39,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
2,Filipe Azevedo,16,MPRO,Portugal,00:25:22,02:07:30,01:13:22,03:52:52,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
3,Tim VAN Berkel,1,MPRO,Australia,00:26:32,02:06:28,01:14:17,03:53:35,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
4,Andy Potts,2,MPRO,United States,00:24:17,02:07:32,01:16:24,03:55:01,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
5,Guillaume Lecallier,13,MPRO,France,00:30:28,02:03:33,01:14:17,03:55:50,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
6,Tuan Chun Chang,10,MPRO,Taiwan,00:25:38,02:07:20,01:19:31,03:58:55,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
7,Lukasz Kalaszczynski,17,MPRO,Poland,00:28:20,02:04:46,01:19:49,03:59:03,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
8,Rudolf Naude,14,MPRO,South Africa,00:25:45,02:07:12,01:23:30,04:03:22,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
9,Guy Crawford,3,MPRO,New Zealand,00:26:29,02:06:31,01:24:18,04:03:49,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
10,Ricky Swindale,6,MPRO,Australia,00:28:14,02:09:19,01:20:47,04:05:39,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
11,Yu-Hung Hsieh,12,MPRO,Taiwan,00:28:15,02:09:38,01:33:40,04:18:32,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
1,Agnieszka Jerzyk,38,FPRO,Poland,00:28:31,02:16:49,01:28:35,04:21:20,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
1,Tobias Chu,2171,M45-49,Hong Kong,00:27:28,02:18:04,01:27:23,04:22:06,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
12,Rodrigo Acevedo VAN Arcken,15,MPRO,Colombia,00:32:09,02:19:03,01:24:17,04:22:17,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
2,Lesley Smith,35,FPRO,United States,00:28:40,02:22:30,01:23:19,04:22:35,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
3,Laura Dennis,34,FPRO,Australia,00:28:31,02:21:04,01:27:54,04:24:28,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
1,Chun Kit Tsang,1588,M35-39,Hong Kong,00:33:33,02:20:46,01:21:52,04:24:46,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
1,Kenta Asakai,1293,M18-24,Japan,00:26:08,02:20:55,01:29:57,04:25:45,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
2,Chih-Yuan Wang,1750,M35-39,Taiwan,00:31:44,02:20:42,01:24:48,04:26:00,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
4,Kirra Seidel,33,FPRO,Australia,00:29:31,02:24:34,01:25:25,04:26:31,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
1,Chih Chen Chen,1299,M25-29,Taiwan,00:29:58,02:20:07,01:28:10,04:27:31,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
13,Chih Hsiang Yang,11,MPRO,Taiwan,00:30:57,02:21:08,01:29:07,04:28:04,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
2,Noriyuki Ando,1297,M25-29,Japan,00:26:09,02:24:42,01:28:41,04:28:14,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
1,Darren Cole,2112,M40-44,Canada,00:27:48,02:18:26,01:33:57,04:28:35,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
3,Emil Wydarty,1596,M35-39,Poland,00:31:52,02:16:00,01:32:04,04:28:57,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
4,Yu-Jen Lee,2638,M35-39,Taiwan,00:33:32,02:17:05,01:32:02,04:31:30,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
1,Hoi Wing Chan,1375,M30-34,Hong Kong,00:30:35,02:25:19,01:27:05,04:32:09,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
5,Erin Green,39,FPRO,United States,00:31:49,02:23:34,01:29:11,04:32:41,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
2,Chung Yau Liu,1284,M18-24,Hong Kong,00:30:16,02:25:18,01:28:42,04:34:03,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
2,Joel David Liebi,1484,M30-34,Switzerland,00:32:07,02:17:20,01:35:48,04:34:15,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
5,Benjamin Heckscher,1783,M35-39,Australia,00:29:57,02:20:53,01:34:08,04:34:30,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
3,Robert Turnbull,1531,M30-34,United Kingdom,00:33:25,02:23:34,01:29:38,04:36:01,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
4,Mathew Pears,1489,M30-34,Hong Kong,00:26:29,02:20:56,01:40:05,04:36:05,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
3,Yao Yu Tsai,1307,M25-29,Taiwan,00:26:52,02:23:02,01:37:52,04:37:30,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
5,Jaryd Hamilton,1374,M30-34,New Zealand,00:29:17,02:18:54,01:40:30,04:37:30,Ironman 70.3 Taiwan,03/18/2018,"Taitung, Taiwan"
