Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Daniel Bækkegård,3,MPRO,DEN,00:22:08,01:59:58,01:13:56,03:39:30,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
2,Sebastian Kienle,1,MPRO,DEU,00:25:40,01:57:30,01:15:33,03:41:54,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
3,Andreas Dreitz,25,MPRO,DEU,00:24:41,01:58:06,01:17:16,03:43:53,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
1,Team Tripassion Triatloniklubi,2073,MRELAY,EST,00:19:23,02:07:25,01:11:49,03:41:19,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
4,Henrik Goesch,15,MPRO,FIN,00:24:21,02:05:15,01:13:28,03:46:23,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
5,Nils Frommhold,5,MPRO,DEU,00:24:19,02:00:24,01:18:37,03:46:44,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
6,Alexander Schilling,10,MPRO,DEU,00:24:01,02:04:31,01:14:29,03:46:01,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
7,Frederik Henes,14,MPRO,DEU,00:24:23,02:06:13,01:13:27,03:47:45,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
8,Kristoffer Visti Graae,30,MPRO,DEN,00:26:24,02:00:42,01:20:49,03:51:40,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
9,Marc Unger,20,MPRO,DEU,00:25:32,02:04:08,01:19:19,03:52:41,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
10,Kevin Vabaorg,8,MPRO,EST,00:24:35,02:04:46,01:20:33,03:53:17,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
11,Kristian Rød,18,MPRO,NOR,00:28:21,02:06:10,01:16:46,03:54:27,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
12,Tomasz Szala,29,MPRO,POL,00:25:39,02:03:44,01:22:59,03:55:35,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
13,Thor Bendix Madsen,24,MPRO,DEN,00:24:02,02:10:32,01:16:07,03:54:16,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
14,Kristian Grue,28,MPRO,NOR,00:26:18,02:08:27,01:20:18,03:58:04,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
1,Matthew Brooke,139,M30-34,GBR,00:30:06,02:08:23,01:18:47,04:01:31,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
2,Team Wisercat,2077,MRELAY,EST,00:30:28,02:16:19,01:11:27,04:00:57,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
1,Graham Crammond,195,M35-39,GBR,00:31:03,02:09:11,01:18:13,04:02:57,Ironman 70.3 Tallinn,09/05/2020,"Tallinn, Estonia"
