Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Markus Rolli,16,MPRO,DEU,00:23:15,02:06:09,01:15:45,03:49:02,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
2,Timothy Peter Van Berkel,1,MPRO,AUS,00:23:16,02:12:49,01:13:25,03:52:49,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
3,Fernando Toldi,26,MPRO,BRA,00:23:10,02:12:53,01:17:31,03:56:47,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
1,Team A.j.plast 2,3009,RELAY,THA,00:22:29,02:18:42,01:14:17,03:59:15,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
4,Alberto Casadei,13,MPRO,ITA,00:23:12,02:14:27,01:19:52,04:01:34,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
5,Alexander Polizzi,6,MPRO,AUS,00:23:10,02:16:04,01:20:56,04:04:01,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
6,Ricky Swindale,10,MPRO,AUS,00:25:41,02:16:54,01:18:10,04:05:03,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
2,Team A.j.plast 1,3008,RELAY,THA,00:23:30,02:15:11,01:20:42,04:05:11,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
7,Bartosz Banach,14,MPRO,KOP,00:27:11,02:12:09,01:22:14,04:05:32,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
8,Jakub Langhammer,18,MPRO,CZE,00:25:43,02:17:06,01:21:13,04:07:51,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
3,Team Thanyapura,3037,RELAY,THA,00:24:59,02:19:06,01:17:49,04:08:19,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
9,Sebastien Jouffret,5,MPRO,FRA,00:27:07,02:15:30,01:23:19,04:09:49,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
1,Tiaan Swart,124,M25-29,ZAF,00:26:04,02:13:36,01:25:52,04:10:38,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
4,Team Hkpp,3003,RELAY,HKG,00:30:49,02:23:13,01:12:50,04:11:07,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
10,Matt Slee,17,MPRO,AUS,00:25:46,02:14:28,01:27:08,04:11:31,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
11,Guy Crawford,3,MPRO,NZL,00:24:25,02:18:34,01:26:40,04:13:20,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
12,Benjamin Williams,8,MPRO,USA,00:26:53,02:24:39,01:19:03,04:14:08,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
1,Jaray Jearanai,1346,M35-39,THA,00:27:03,02:21:02,01:22:21,04:14:23,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
13,Pawel Miziarski,15,MPRO,POL,00:26:55,02:22:41,01:22:03,04:15:47,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
2,Andy Wibowo,1320,M35-39,IDN,00:24:41,02:24:14,01:22:49,04:16:01,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
1,Imogen Simmonds,44,WPRO,CHE,00:26:18,02:21:55,01:24:54,04:16:49,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
14,Rudolf Naude,24,MPRO,ZAF,00:23:16,02:16:14,01:34:51,04:18:04,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
3,Jens Dahlman,1275,M35-39,FIN,00:30:19,02:17:52,01:25:41,04:18:23,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
2,Richard Ford,113,M25-29,USA,00:28:06,02:19:52,01:28:34,04:20:21,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
2,Eimear Mullan,41,WPRO,IRL,00:26:33,02:27:37,01:23:27,04:21:37,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
4,Pastor Domingo Marcos,1308,M35-39,ESP,00:31:15,02:23:17,01:22:26,04:21:46,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
1,Alexandre Delort,428,M40-44,FRA,00:28:12,02:27:11,01:23:10,04:22:46,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
3,Dimity Lee Duke,33,WPRO,AUS,00:28:18,02:22:04,01:28:20,04:22:53,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
2,Mark Jansen,840,M40-44,AUS,00:28:09,02:24:01,01:27:09,04:23:39,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
15,Nikko Huelgas,53,MPRO,PHL,00:26:58,02:26:43,01:27:59,04:25:19,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
16,August Benedicto,51,MPRO,PHL,00:31:56,02:21:41,01:28:53,04:26:19,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
1,Jurgen Zack,1323,M50-54,DEU,00:27:11,02:21:43,01:34:40,04:28:21,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
3,Pipatpon Ingkanont,154,M25-29,THA,00:26:27,02:34:14,01:23:06,04:28:35,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
1,Alan Blakie,227,M30-34,GBR,00:29:57,02:27:57,01:26:37,04:28:45,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
4,Parys Edwards,34,WPRO,GBR,00:30:08,02:27:12,01:27:33,04:28:52,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
5,Robin Pomeroy,37,WPRO,USA,00:25:21,02:35:26,01:25:22,04:30:02,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
17,Sam Burns,52,MPRO,THA,00:30:59,02:30:16,01:25:38,04:31:08,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
6,Manami Iijima,45,WPRO,GUM,00:25:02,02:35:31,01:26:47,04:31:27,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
4,Jack Skelton,1314,M25-29,GBR,00:28:51,02:28:23,01:29:35,04:31:28,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
2,Matthew Gatzoubaros,897,M30-34,AUS,00:32:53,02:26:24,01:27:15,04:31:47,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
3,Mizobata Yuichi,1207,M40-44,JPN,00:31:01,02:28:41,01:27:48,04:32:03,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
1,Kevin Fergusson,1268,M55-59,AUS,00:27:45,02:25:11,01:34:46,04:32:18,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
1,Holger Lorenz,652,M45-49,DEU,00:26:38,02:26:12,01:34:47,04:32:43,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
5,Aron Reitz,1206,M25-29,DEU,00:30:10,02:27:08,01:31:34,04:33:24,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
3,Jeremie Vinko,1319,M30-34,FRA,00:32:30,02:28:44,01:28:03,04:33:57,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
7,Annelise Jefferies,42,WPRO,AUS,00:28:20,02:32:28,01:29:46,04:34:28,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
4,Igor Lysov,236,M30-34,RUS,00:25:59,02:31:52,01:32:12,04:34:42,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
6,Wong Wai Ho,1260,M25-29,HKG,00:31:08,02:28:32,01:30:12,04:34:45,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
8,Kate Bevilaqua Crawford,35,WPRO,AUS,00:26:28,02:34:09,01:29:45,04:34:46,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
5,Wille Loo,828,M30-34,SGP,00:26:08,02:30:50,01:33:35,04:34:48,Ironman 70.3 Thailand,11/26/2017,"Phuket, Thailand"
