Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Matt Hanson,2,MPRO,USA,00:25:19,02:09:45,01:12:35,03:50:32,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
2,Taylor Reid,5,MPRO,CAN,00:24:28,02:11:26,01:11:51,03:50:44,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
3,Stephen Kilshaw,21,MPRO,CAN,00:25:20,02:09:41,01:14:24,03:52:22,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
4,Joe Gambles,4,MPRO,AUS,00:24:18,02:10:08,01:16:37,03:54:17,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
5,Hunter Lussi,24,MPRO,USA,00:23:28,02:11:50,01:17:50,03:56:28,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
6,Patrick Brady,12,MPRO,USA,00:27:24,02:13:29,01:13:37,03:57:57,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
7,Andrew Keily,20,MPRO,USA,00:23:29,02:15:12,01:17:50,04:00:08,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
8,Matthew Alford,8,MPRO,USA,00:23:58,02:15:30,01:18:54,04:01:37,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
9,Curtis Feltner,17,MPRO,USA,00:26:25,02:14:16,01:18:23,04:02:34,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
10,Blake Becker,9,MPRO,USA,00:27:15,02:13:41,01:18:41,04:03:09,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
11,Ben Rudson,29,MPRO,CAN,00:25:51,02:17:03,01:18:46,04:05:05,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
12,Mikael Nathan,25,MPRO,CAN,00:27:16,02:15:51,01:20:07,04:06:19,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
13,Patrick Smith,31,MPRO,CAN,00:23:32,02:15:00,01:24:57,04:06:41,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
14,Benson Hall,19,MPRO,USA,00:27:23,02:15:36,01:21:02,04:07:09,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
1,James Burke,269,M40-44,USA,00:25:18,02:14:49,01:22:56,04:07:35,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
15,Timothy Winslow,33,MPRO,USA,00:25:17,02:17:48,01:21:10,04:07:46,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
16,Justin Metzler,7,MPRO,USA,00:24:17,02:14:45,01:28:06,04:10:27,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
17,Andrew Bolton,11,MPRO,CAN,00:27:19,02:15:40,01:24:09,04:10:45,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
18,Brian Duffy,16,MPRO,USA,00:24:08,02:18:57,01:25:29,04:12:04,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
1,Brian Reynolds,343,M30-34,USA,00:28:59,02:19:25,01:20:19,04:12:31,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
1,Jackie Hering,40,FPRO,USA,00:26:43,02:28:55,01:16:20,04:15:17,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
19,Weston Christensen,13,MPRO,USA,00:24:19,02:32:20,01:15:54,04:15:47,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
20,Evan Price,28,MPRO,USA,00:28:58,02:21:34,01:22:15,04:16:11,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
21,Erik Peterson,27,MPRO,USA,00:29:00,02:21:56,01:24:51,04:19:26,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
1,Ben Hammer,1970,M35-39,USA,00:30:50,02:25:44,01:18:59,04:19:26,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
22,Evan Culbert,14,MPRO,USA,00:23:33,02:16:31,01:37:04,04:20:10,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
2,Ronaldo Ferreira,263,M35-39,BRA,00:30:52,02:22:13,01:23:26,04:20:27,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
3,Matt Barcus,218,M35-39,USA,00:31:38,02:23:35,01:21:10,04:20:35,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
2,Linsey Corbin,43,FPRO,USA,00:27:49,02:27:53,01:21:56,04:21:07,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
2,Derek Stone,259,M30-34,USA,00:29:13,02:33:03,01:16:36,04:22:53,Ironman 70.3 Traverse City,08/25/2019,"Traverse City, Michigan, USA
"
