Place,Name,Bib,Division,Nation,Swim,Bike,Run,Time,Race,Date,Location
1,Ashley Hurdman,854,M30-34,GBR,00:27:05,02:06:55,01:13:03,03:51:39,Ironman 70.3 Turkey,11/01/2020,"Belek, Turkey"
2,Matthew Brooke,303,M30-34,GBR,00:29:39,02:02:57,01:18:04,03:55:12,Ironman 70.3 Turkey,11/01/2020,"Belek, Turkey"
1,Iron Russian Forces,2042,RELAY,RUS,00:30:35,02:10:22,01:13:06,03:57:22,Ironman 70.3 Turkey,11/01/2020,"Belek, Turkey"
1,Yulian Demianov,939,M25-29,UKR,00:25:03,02:09:58,01:18:14,03:57:39,Ironman 70.3 Turkey,11/01/2020,"Belek, Turkey"
3,Andrii Kuzminskyi,531,M30-34,UKR,00:28:35,02:07:27,01:19:02,03:59:35,Ironman 70.3 Turkey,11/01/2020,"Belek, Turkey"
1,Ilya Slepov,385,M35-39,RUS,00:28:05,02:09:25,01:20:08,04:02:22,Ironman 70.3 Turkey,11/01/2020,"Belek, Turkey"
2,Ruso Yakimovic,391,M35-39,TUR,00:27:04,02:11:08,01:21:15,04:04:44,Ironman 70.3 Turkey,11/01/2020,"Belek, Turkey"
3,Andrey Sharipov,379,M35-39,UZB,00:26:50,02:09:09,01:24:29,04:04:52,Ironman 70.3 Turkey,11/01/2020,"Belek, Turkey"
2,Toma Alexandru,100,M25-29,ROU,00:24:46,02:10:10,01:26:09,04:06:01,Ironman 70.3 Turkey,11/01/2020,"Belek, Turkey"
4,Anton Lavrov,360,M35-39,RUS,00:27:43,02:09:35,01:23:42,04:06:18,Ironman 70.3 Turkey,11/01/2020,"Belek, Turkey"
1,Artur Czerwiec,404,M40-44,POL,00:26:36,02:09:24,01:26:43,04:07:35,Ironman 70.3 Turkey,11/01/2020,"Belek, Turkey"
2,Victor Osokin,886,M40-44,RUS,00:29:57,02:05:50,01:26:30,04:08:03,Ironman 70.3 Turkey,11/01/2020,"Belek, Turkey"
2,Threesome ,2012,RELAY,TUR,00:27:24,02:15:13,01:21:43,04:08:26,Ironman 70.3 Turkey,11/01/2020,"Belek, Turkey"
